,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
800,3227.488004912688,810.990028323192,35.640588124334315,34.82461709006863,35.60483529969067,210684.24265295122
900,3239.757402814503,812.9547221980047,35.64149408136183,34.82550230572424,35.60612279939727,230549.81920219146
1000,3252.0259777025535,814.9193330592601,35.64240003836955,34.82638752136053,35.607410299044595,249397.29994121668
2000,3374.666466899448,834.5608763128178,35.651459608387505,34.83523967766545,35.62028529553767,387768.56546920893
3000,3497.2246850852885,854.1941201411992,35.66051917808903,34.84409183366119,35.633160291359076,453788.88847353886
4000,3619.70065986438,873.8190662982141,35.66957874749391,34.85294398936708,35.64603528652857,474238.84940679104
5000,3742.0944188408807,893.4357165376689,35.67863831658237,34.86179614476378,35.65891028116467,475780.45747909957
6000,3864.405989619082,913.0440726133761,35.6876978853544,34.8706482998513,35.671785275109364,475780.45747909957
7000,3986.6353998031254,932.644136279139,35.69675745377045,34.879500454590996,35.6846602685009,475780.45747909957
8000,4108.782676997304,952.2359092887738,35.705817021949194,34.88835260909881,35.697535261201025,475780.45747909957
9000,4230.847848805774,971.8193933960695,35.7148765898115,34.89720476329744,35.710410253288735,475780.45747909957
10000,4352.830942832788,991.3945903548631,35.72393615735739,34.90605691718689,35.723285244803556,475780.45747909957
20000,5568.153678052036,1186.6911526123197,35.814531816026005,34.994578439675536,35.8520351254398,475780.45747909957
30000,6775.298999769943,1381.1609292076687,35.9051274438828,35.083099932057785,35.98078494404538,475780.45747909957
40000,7974.294512208394,1574.80567394953,35.99572304104642,35.171621394449566,36.10953470052155,475780.45747909957
50000,9165.167819589124,1767.6271406464793,36.086318607497105,35.260142826831576,36.23828439490779,475780.45747909957
60000,10347.94652613399,1959.6270831071265,36.176914143274416,35.348664229242445,36.367034027125094,475780.45747909957
70000,11522.658236064832,2150.807255140081,36.26750964827945,35.43718560158556,36.495783597292004,475780.45747909957
80000,12689.33055360338,2341.169410553918,36.35810512257156,35.5257069439189,36.62453310534924,475780.45747909957
90000,13847.991082971512,2530.7153031572548,36.44870056613094,35.61422825622313,36.75328255125728,475780.45747909957
100000,14998.667428390982,2719.446686758673,36.5392959790565,35.702749538594865,36.88203193509517,475780.45747909957
200000,26072.37369420879,4562.348365559419,37.445248418250074,36.58796071094331,38.16952235758041,475780.45747909957
300000,36378.02620915292,6325.72833362706,38.3511977857939,37.47316888196568,39.45700656943435,475780.45747909957
400000,45943.229195032356,8011.340399559695,39.257144081549534,38.3583740515267,40.74448457069649,475780.45747909957
500000,54795.586873656095,9620.938371955428,40.163087305635635,39.24357621974233,42.03195636138659,475780.45747909957
600000,62962.70346683316,11156.276059412357,41.069027457953325,40.12877538651593,43.31942194150467,475780.45747909957
700000,70472.18319637251,12619.10727052859,41.97496453864104,41.01397155198279,44.6068813110507,475780.45747909957
800000,77351.63028408322,14011.185813902226,42.8808985475999,41.89916471604627,45.89433447008396,475780.45747909957
900000,83628.64895177424,15334.265498131363,43.78682948482989,42.78435487870639,47.18178141856493,475780.45747909957
1000000,89330.84342125457,16590.100131814095,44.692757350410126,43.66954204004042,48.46922215655288,475780.45747909957
2000000,120810.38601245073,25835.80658017193,53.751867064091705,52.5212485790939,61.3432879618451,475780.45747909957
3000000,125172.12759561905,30286.197431801516,62.810669614241554,61.37265498695037,74.21673273273078,475780.45747909957
4000000,125172.12759561905,31695.08128480415,71.86916500619935,70.22376126882725,87.08955648422372,475780.45747909957
5000000,125172.12759561905,31810.779545068806,80.927353245107,79.07456742974868,99.96175923137721,475780.45747909957
6000000,125172.12759561905,31810.779545068806,89.9852343361855,87.92507347481617,112.83334098906674,475780.45747909957
7000000,125172.12759561905,31810.779545068806,99.04280828455697,96.77527940903458,125.70430177230611,475780.45747909957
8000000,125172.12759561905,31810.779545068806,108.10007509558082,105.6251852376406,138.57464159614864,475780.45747909957
9000000,125172.12759561905,31810.779545068806,117.15703477435945,114.47479096561979,151.44436047546978,475780.45747909957
