,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
70000,41251.458629362656,7178.145741322872,46.77393135365601,45.70306874582894,51.42683276256694,475780.45747909957
80000,45943.229195032356,8011.340399559695,48.3654064179524,47.25810789190501,53.688512875269055,475780.45747909957
90000,50456.78843388809,8825.531534412294,49.95687200251168,48.813137775277184,55.950173821369084,475780.45747909957
100000,54795.58687365608,9620.938371955428,51.54832810733384,50.36815839594544,58.21181560096582,475780.45747909957
200000,89330.84342125454,16590.100131814095,67.46236777650134,65.91785516025134,80.82717925598412,475780.45747909957
300000,110185.60055881106,21921.980842965368,83.37545950393674,81.46662568541302,103.44062634828578,475780.45747909957
400000,120810.38601245073,25835.80658017193,99.28760331780181,97.0144699989475,126.05215695908352,475780.45747909957
500000,124655.72750829867,28550.80341819642,115.19879924625833,112.56138812837179,148.6617711695901,475780.45747909957
600000,125172.12759561905,30286.197431801513,131.1090473176658,128.10738010139613,171.26946906101827,475780.45747909957
700000,125172.12759561905,31261.21469574987,147.01834756020585,143.65244594555693,193.87525071460055,475780.45747909957
800000,125172.12759561905,31695.08128480415,162.92670000209947,159.1965856884291,216.4791162115101,475780.45747909957
900000,125172.12759561905,31807.023273727013,178.83410467152825,174.73979935754906,239.08106563299924,475780.45747909957
1000000,125172.12759561905,31810.779545068806,194.74056159685173,190.282086980627,261.68109906020163,475780.45747909957
2000000,125172.12759561905,31810.779545068806,353.75301113178836,345.65403674447396,487.5760715177041,475780.45747909957
3000000,125172.12759561905,31810.779545068806,512.6707173064401,500.93341224349,713.2795338884127,475780.45747909957
4000000,125172.12759561905,31810.779545068806,671.4937083543819,656.1202410648584,938.7915673864122,475780.45747909957
5000000,125172.12759561905,31810.779545068806,830.2220125091292,811.2145507957046,1164.1122532256295,475780.45747909957
6000000,125172.12759561905,31810.779545068806,988.8556580043957,966.2163690233473,1389.2416726201493,475780.45747909957
7000000,125172.12759561905,31810.779545068806,1147.394673073658,1121.1257233348736,1614.179906783859,475780.45747909957
8000000,125172.12759561905,31810.779545068806,1305.83908595053,1275.9426413175047,1838.927036930882,475780.45747909957
9000000,125172.12759561905,31810.779545068806,1464.1889248685477,1430.6671505583863,2063.483144275126,475780.45747909957
