,Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
40000,8.239321557044336,4.805936950733586,0.006843660262463611,0.008105428539945182,0.008817214426292408,51.68448422019981
50000,9.897498453192302,5.745056758715976,0.007102990074457778,0.008412571089221796,0.009263932082528435,51.68448422019981
60000,11.496086204624085,6.663465632825041,0.007362318341746527,0.00871971180899506,0.009710645953114098,51.68448422019981
70000,13.036175237850536,7.561394503846602,0.007621645064323413,0.00902685069925734,0.010157356038061111,51.68448422019981
80000,14.518855979382522,8.439074302566489,0.007880970242210994,0.009333987760035353,0.010604062337377275,51.68448422019981
90000,15.94521885573087,9.296735959770524,0.00814029387540927,0.009641122991329097,0.011050764851082097,51.68448422019981
100000,17.31635429340647,10.134610406244533,0.008399615963918238,0.009948256393138575,0.011497463579195087,51.68448422019981
200000,28.230093375547973,17.4758630537147,0.010992751892153119,0.013019489790850507,0.015964242656079115,51.68448422019981
300000,34.82055775235155,23.09241849258978,0.013585733356668264,0.016090540246307225,0.02043064319108458,51.68448422019981
400000,38.17817393467058,27.215207508694814,0.01617856036205253,0.019161407764943635,0.024896665200251883,51.68448422019981
500000,39.39336843335846,30.07516088785481,0.018771232912894772,0.022232092352194643,0.02936230869962142,51.68448422019981
600000,39.556559802944555,31.903209415894803,0.021363751013816084,0.02530259401353333,0.033827573705233586,51.68448422019981
700000,39.556559802944555,32.93028387863983,0.023956114669408543,0.02837291275439842,0.03829246023313268,51.68448422019981
800000,39.556559802944555,33.3873150619149,0.026548323884270673,0.03144304858023627,0.042756968299351286,51.68448422019981
900000,39.556559802944555,33.50523375154504,0.02914037866299456,0.03451300149648561,0.047221097919937616,51.68448422019981
1000000,39.556559802944555,33.509190574170596,0.03173227901020129,0.037582771508619515,0.05168484911091645,51.68448422019981
2000000,39.556559802944555,33.509190574170596,0.05764278976031373,0.06827041310158712,0.09630155092205735,51.68448422019981
3000000,39.556559802944555,33.509190574170596,0.0835378624182369,0.09893977027536463,0.14088042741843648,51.68448422019981
4000000,39.556559802944555,33.509190574170596,0.10941750158453097,0.12959084847871932,0.18542149464071453,51.68448422019981
5000000,39.556559802944555,33.509190574170596,0.1352817118597465,0.16022365316040701,0.22992476862952096,51.68448422019981
6000000,39.556559802944555,33.509190574170596,0.16113049784446626,0.19083818976922173,0.2743902654255165,51.68448422019981
7000000,39.556559802944555,33.509190574170596,0.18696386413923446,0.2214344637539117,0.3188180010693228,51.68448422019981
8000000,39.556559802944555,33.509190574170596,0.21278181534461763,0.2520124805632517,0.36320799160160816,51.68448422019981
9000000,39.556559802944555,33.509190574170596,0.23858435606116962,0.28257224564600164,0.4075602530629983,51.68448422019981
