Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
1.75,1.1985249503793873,76969.0200129499,0.088095758792298,1101932989512.9934,339360925.3640797,0.10508302661537892,1198603.2723316657,602.5300263732346,6872608113.319707,8478240111880651.0,1.0372889995344391e+22
2.0,1.198502478730176,76969.0200129499,0.10068086719119772,1149540997435.502,354022704.05396473,0.10881630970300953,1241186.0325499524,662.6863616062551,7558766312.071347,9981976846700906.0,1.221266989381543e+22
2.5,1.1968816763948993,76969.0200129499,0.12585108398899714,1229361547686.6768,378604939.1391313,0.11502041596291465,1311951.6195769955,774.2133362589184,8830870866.703289,1.2996795817021738e+16,1.590121670569365e+22
3.0,1.1982618381811572,76969.0200129499,0.1510213007867966,1302242480335.6392,401049988.86586636,0.12067465334259439,1376445.2646889675,876.1431332917768,9993507614.109331,1.6018705539119838e+16,1.9598438854339798e+22
4.0,1.1959380296477702,76969.0200129499,0.20136173438239544,1416211182146.0198,436148787.501532,0.12971453766864882,1479556.4452830257,1054.5095969019121,12028000089.662436,2.2081733906271844e+16,2.701638473239888e+22
7.0,1.195637741613917,76969.0200129499,0.352383035169192,1649157587921.5693,507889000.90522075,0.14941059531044085,1704214.6027597159,1452.0888115222021,16562888006.425117,4.042102570982109e+16,4.945399607159224e+22
14.0,1.1920458049556366,76969.0200129499,0.704766070338384,1887018614131.725,581142763.8208797,0.17359503667344145,1980068.3870564415,1972.7138780362877,22501267671.35141,8.405323887195829e+16,1.0283679030857599e+23
21.0,1.18770460882301,76969.0200129499,1.0571491055075761,1997713699518.3281,615233390.8985351,0.18722050359390588,2135483.869117989,2257.1835883530603,25746000304.652096,1.2876391534739322e+17,1.5753905428989684e+23
28.0,1.1871693568427186,76969.0200129499,1.409532140676768,2070534568153.2878,637659942.7859579,0.19664471755290308,2242978.809587801,2438.5572026025225,27814793092.18502,1.7443225500239334e+17,2.1341299242565707e+23
42.0,1.1827257806827123,76969.0200129499,2.1142982110151523,2172613314016.7698,669097006.5511022,0.20929553772133358,2387277.2271339614,2656.6531101229643,30302449537.34006,2.682260069179305e+17,3.281670284085654e+23
56.0,1.181053943739615,76969.0200129499,2.819064281353536,2242679101029.027,690675079.3950331,0.21730715250930216,2478659.7083092276,2784.763140973533,31763704576.729366,3.6474103322623456e+17,4.46250467610871e+23
70.0,1.1772482042531134,76969.0200129499,3.5238303516919203,2300549362944.5146,708497311.6193186,0.22327666531215073,2546749.4637167193,2875.6436300604037,32800310155.37648,4.6345967608031955e+17,5.670299701140114e+23
84.0,1.1739784151712713,76969.0200129499,4.2285964220303045,2336284999854.6943,719502771.0490004,0.22709579141788735,2590311.370860278,2941.7513199701352,33554350993.409355,5.639869922671682e+17,6.900223339268923e+23
98.0,1.1721090971016008,76969.0200129499,4.933362492368688,2378671702275.992,732556550.8103094,0.23104690229399738,2635378.7292909077,3001.6335060310766,34237382178.16697,6.660406740454331e+17,8.148821634123072e+23
112.0,1.1690626253646441,76969.0200129499,5.638128562707072,2399621262398.954,739008360.6544279,0.23330357695224851,2661118.9246115847,3046.850941447358,34753143550.88393,7.694012732089189e+17,9.413409698187585e+23
140.0,1.1625187793528884,76969.0200129499,7.0476607033838405,2450890779531.772,754797769.7589254,0.23807817293265912,2715579.1600131434,3128.9578706343123,35689675711.92262,9.794037031045608e+17,1.198273077817209e+24
168.0,1.1574334690785015,76969.0200129499,8.457192844060609,2486871682854.5845,765878763.5791229,0.24145260006633495,2754068.7195066335,3194.0149082702483,36431732547.45752,1.1931012008802383e+18,1.4597259981704816e+24
196.0,1.1526738605524323,76969.0200129499,9.866724984737376,2525651815560.8145,777821832.5734947,0.24477296278725946,2791941.6067921785,3252.7652210476335,37101853302.57457,1.4099522209087964e+18,1.725037164928119e+24
224.0,1.1479938487348587,76969.0200129499,11.276257125414144,2551936624406.25,785916732.2976123,0.24703724390447254,2817768.56328539,3300.8465201319154,37650280620.25466,1.6296169379913183e+18,1.9937908114499344e+24
252.0,1.1412441051964979,76969.0200129499,12.685789266090914,2576910539962.5737,793607917.8540988,0.24906783248584966,2840929.9642917225,3344.357749687824,38146580582.37674,1.8518518651853263e+18,2.2656890382619455e+24
280.0,1.1354975665561138,76969.0200129499,14.095321406767681,2591487271654.121,798097095.6922302,0.25026631403308164,2854600.1444398374,3380.326110087374,38556844693.18411,2.0765310108602079e+18,2.5405776981228107e+24
308.0,1.1290066411328525,76969.0200129499,15.504853547444448,2609796987378.658,803735915.9567711,0.25165041020922524,2870387.4914489756,3415.680039241448,38960100447.59777,2.303522687316728e+18,2.818295674810309e+24
336.0,1.1275224731572429,76969.0200129499,16.914385688121218,2628630222013.0557,809535963.6855834,0.2530115433290797,2885912.9160973155,3449.3423993560054,39344061742.654434,2.5327025511387494e+18,3.0986908376274796e+24
365.0,1.1184265303382197,76969.0200129499,18.37425826239358,2638668884545.789,812627558.037461,0.25372406478434895,2894040.11394648,3478.7810227417513,39679846040.6481,2.772278351724025e+18,3.3918051387352335e+24
396.0,1.1129558217629083,76969.0200129499,19.934811703857147,2650639960595.153,816314275.3645386,0.2545306178194901,2903239.8595035593,3509.1950195764234,40026755692.04359,3.0308214730127795e+18,3.7081254270015616e+24
427.0,1.1046134325465415,76969.0200129499,21.495365145320715,2673432133497.0527,823333552.3629204,0.25607879268292666,2920898.7290396322,3543.1560367219854,40414123543.860146,3.291758330465909e+18,4.027374384612386e+24
458.0,1.10066154561721,76969.0200129499,23.055918586784276,2684771724537.141,826825792.0410476,0.2568202599745059,2929356.090334208,3571.560011714084,40738106383.61377,3.5550730393874253e+18,4.3495325770857935e+24
488.0,1.0963326938813267,76969.0200129499,24.566131594652244,2696053110410.5513,830300106.3467495,0.2575591991466534,2937784.6152665154,3598.4325449162066,41044621215.450485,3.812019596685979e+18,4.663899513899187e+24
