Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
580.0,1.1246783187898626,190066.3555421825,12.05498822325271,1310412463754.6135,489171016.2993074,0.12198445996245919,1686527.5714506668,1638.732174458823,22656713775.661755,2.586696740817594e+18,2.6587891574939097e+24
611.0,1.1202391654328123,190066.3555421825,12.699306559323114,1312827656750.1995,490072596.86640966,0.1221289846140865,1688525.7342477867,1647.778767935903,22781789783.962296,2.733862034774728e+18,2.810056015242746e+24
641.0,1.119133639794783,190066.3555421825,13.322840432939634,1313712405655.6987,490402869.6112466,0.12217095517842766,1689106.0090956856,1655.716384268668,22891533343.108475,2.8768924356848266e+18,2.957072738591451e+24
672.0,1.1159379553170226,190066.3555421825,13.967158769010037,1319941528965.4165,492728173.0285673,0.12258501142012844,1694830.6503161697,1665.9952369095868,23033646267.878757,3.0253116151067704e+18,3.1096284281642753e+24
731.0,1.1100907497743784,190066.3555421825,15.193442053789193,1324474468006.246,494420298.5682407,0.12286396825511231,1698687.4398907572,1681.894177558141,23253461166.997025,3.309541481568088e+18,3.401779910500172e+24
792.0,1.1064335797173241,190066.3555421825,16.461294263476116,1332738364727.6475,497505173.65117294,0.12341436678225307,1706297.1164970594,1699.4043244632512,23495552213.22298,3.605607310196663e+18,3.7060972286614415e+24
853.0,1.099345059911444,190066.3555421825,17.72914647316304,1338242892487.014,499559988.8431637,0.12377599956889399,1711296.9637366023,1715.3409283458604,23715887835.084812,3.9040205951352115e+18,4.012827427809554e+24
915.0,1.0926105071562844,190066.3555421825,19.01778314530385,1343727103599.2168,501607219.9231167,0.12414906727180222,1716454.9073563565,1731.1511434693666,23934476036.602985,4.2095472284556063e+18,4.3268692275997854e+24
976.0,1.0880593384939656,190066.3555421825,20.28563535499077,1346676916491.0142,502708371.66738427,0.12434922258416499,1719222.2061825842,1745.3695349208228,24131056069.928043,4.5123028065370363e+18,4.638062741579037e+24
1037.0,1.0829006061358124,190066.3555421825,21.553487564677692,1358999360411.9268,507308283.9719522,0.1252131175420316,1731166.2084409671,1763.3917030467917,24380226197.42723,4.817125043655101e+18,4.951380513323855e+24
1097.0,1.0775165714731358,190066.3555421825,22.80055531191073,1364592595752.482,509396213.3007844,0.1256107269638937,1736663.4599174696,1778.18276010895,24584723766.65783,5.118963112243023e+18,5.261630946401994e+24
1158.0,1.0705205904046178,190066.3555421825,24.068407521597653,1372450391583.219,512329492.7671448,0.12617476056585247,1744461.651762733,1793.9978983612125,24803380034.1607,5.42770182876713e+18,5.578974351618263e+24
1219.0,1.066505283525918,190066.3555421825,25.336259731284578,1379486027459.993,514955863.6597814,0.12668524720311214,1751519.516255149,1809.4528221122,25017056063.29367,5.738446045166316e+18,5.898379150904844e+24
1281.0,1.058733138306904,190066.3555421825,26.624896403425385,1382538055116.4248,516095171.7110744,0.12692724066103803,1754865.2591393513,1823.2498192516075,25207810001.016544,6.056253140214605e+18,6.225043674486356e+24
1342.0,1.0565072679811944,190066.3555421825,27.892748613112307,1390237065381.601,518969177.2475636,0.12749371854815789,1762697.245078698,1838.9140727609183,25424380172.641483,6.370840912238432e+18,6.548399151043977e+24
1403.0,1.0516144892190709,190066.3555421825,29.16060082279923,1392610727770.855,519855254.62809753,0.1276912192913311,1765427.8424748424,1852.202500856782,25608102758.057777,6.687335636952537e+18,6.873714727932168e+24
1523.0,1.0407925980283232,190066.3555421825,31.65473631726531,1404397424534.7422,524255174.95416224,0.12858132118869725,1777734.175525549,1881.0041162092434,26006306909.71113,7.314833798313051e+18,7.518701548940556e+24
1643.0,1.0303103347411497,190066.3555421825,34.14887181173139,1416519398604.5093,528780252.77452415,0.12952785353942903,1790820.7023443787,1910.6171922678755,26415730120.370243,7.949363805758619e+18,8.170916196788128e+24
1763.0,1.0208608770074794,190066.3555421825,36.64300730619747,1427375322102.3308,532832719.67115414,0.13040531694597335,1802952.2986848587,1939.9054520629775,26820662500.113132,8.590155742281595e+18,8.829567296529454e+24
1883.0,1.0109578463630127,190066.3555421825,39.13714280066354,1439802785072.5825,537471835.1094811,0.13141821546067203,1816956.3879979276,1970.377551344577,27241962357.604946,9.237275934562193e+18,9.494723023399548e+24
2003.0,1.0028220871295852,190066.3555421825,41.63127829512962,1451233346975.3303,541738811.9106773,0.1323651167980034,1830048.0163360317,2000.9668959547237,27664883220.58614,9.890665047486755e+18,1.0166322388588097e+25
2123.0,0.9933651758109501,190066.3555421825,44.1254137895957,1463976400509.1714,546495735.8718896,0.13343214766951506,1844800.5264914013,2032.5224286939667,28101162366.412796,1.0549843483167846e+19,1.084387242759604e+25
2243.0,0.9848749253412518,190066.3555421825,46.61954928406178,1476915591394.0483,551325877.0147101,0.13453414635353003,1860036.4931453962,2064.65087206305,28545362435.720196,1.1214643273050636e+19,1.1527200490508398e+25
2363.0,0.9774026622968496,190066.3555421825,49.113684778527855,1482747329197.5803,553502838.2288694,0.13514494759578835,1868481.2830478314,2094.2921616815233,28955175720.218033,1.1885022104329576e+19,1.221626308524245e+25
2483.0,0.9692420224210541,190066.3555421825,51.60782027299393,1496697916135.5,558710528.921036,0.136349968770677,1885141.6136854966,2127.890803315869,29419702394.32925,1.2560756693800344e+19,1.291083070558924e+25
2603.0,0.9621523575076641,190066.3555421825,54.10195576746001,1507873267670.3564,562882236.8519456,0.13737843506283914,1899360.9393157682,2160.8365653930514,29875202513.95696,1.3241758249991438e+19,1.3610812085418507e+25
2723.0,0.9533616677498372,190066.3555421825,56.59609126192609,1520423290760.039,567567103.4257646,0.13852016124096167,1915146.1686723866,2195.1582146248556,30349725315.83607,1.3927724417429953e+19,1.4315896442472551e+25
2843.0,0.9448253777380982,190066.3555421825,59.09022675639218,1530686450803.9077,571398294.4194132,0.13952267044014513,1929006.617827764,2229.07319491995,30818625611.582638,1.4618838051680125e+19,1.5026271728583506e+25
2963.0,0.9383294662653991,190066.3555421825,61.58436225085825,1543405570675.586,576146284.0533295,0.1407078416052034,1945392.5070416378,2264.646403195846,31310452165.39711,1.531489455111753e+19,1.574172763978645e+25
3083.0,0.9305241781383919,190066.3555421825,64.07849774532433,1553404731204.9355,579878925.228206,0.14172160239446352,1959408.517953757,2299.7431655939686,31795691494.007515,1.6015801036871506e+19,1.6462168708634281e+25
3203.0,0.9242777691630776,190066.3555421825,66.5726332397904,1568509159744.1953,585517339.7454183,0.14312566662796328,1978820.7696669165,2337.8781593004696,32322936672.146645,1.6721091084496316e+19,1.7187115511219458e+25
3323.0,0.9149987876330522,190066.3555421825,69.06676873425648,1576331510719.1665,588437387.8082342,0.14400131952768913,1990927.3343790353,2372.98012925047,32808247999.106873,1.7431058377830304e+19,1.79168699164827e+25
3443.0,0.9093544580626757,190066.3555421825,71.56090422872255,1586170678917.292,592110304.5731027,0.1450622940688162,2005596.1111787087,2409.784380539249,33317094655.182796,1.8145308326480818e+19,1.8651026336617332e+25
3563.0,0.9023339058805021,190066.3555421825,74.05503972318864,1603391979387.9172,598538937.7601486,0.14665485265437606,2027614.4401078508,2450.8019612450576,33884193782.36538,1.886391550105713e+19,1.938966142054948e+25
3683.0,0.8975638123398921,190066.3555421825,76.54917521765472,1609669615017.831,600882350.6060882,0.1474850157797174,2039092.074227153,2487.601489056706,34392975132.79158,1.958688205111418e+19,2.0132777377743175e+25
3803.0,0.8900263688422099,190066.3555421825,79.0433107121208,1629212586171.442,608177652.9060439,0.14928802862383458,2064020.0927158946,2531.123838179743,34994704580.89417,2.0313928747203674e+19,2.0880087196498165e+25
3849.029061905309,0.0,0.0,0.0,1628182900422.2065,607793275.896244,0.1494134258347302,2065753.8041544133,2545.1685921623084,35188883944.66828,2.059402592773918e+19,2.1167990813068625e+25
3849.0690619053094,0.0,0.0,0.0,1271115276328.4902,474501554.8567148,0.121967093982465,1686287.4736212017,2526.8086351149545,34935043629.430244,2.0594279247508443e+19,2.116825119297527e+25
3850.0690619053094,0.0,0.0,0.0,952193477996.9751,355449497.18409806,0.08891060243206074,1229256.4351402335,2305.243333327736,31871735479.72059,2.059685391813198e+19,2.1170897620842116e+25
3857.0690619053094,0.0,0.0,0.0,461974395901.6332,172452942.10646194,0.050431610229304515,697255.2171854601,1665.0467645284448,23020532918.669785,2.06034715017777e+19,2.117769963955904e+25
3887.0690619053094,0.0,0.0,0.0,237196903612.16736,88544525.95067836,0.025182585949924768,348168.32847433863,1158.7345811326168,16020383413.386559,2.062301487013847e+19,2.1197787690500066e+25
3917.0690619053094,0.0,0.0,0.0,181805225273.93884,67867064.20737375,0.01825707675052743,252417.9171947921,1047.9700577162328,14488979964.637308,2.063353984847188e+19,2.1208606004774855e+25
4217.069061905309,0.0,0.0,0.0,72426952132.87102,27036652.01778196,0.005627770595900614,77808.19195089865,774.7914978893651,10712079421.576448,2.0645797319059415e+19,2.122120509665222e+25
4582.069061905309,0.0,0.0,0.0,54160712196.34285,20217947.67783935,0.003921949982798179,54223.929686414216,662.6446449350317,9161564219.745703,2.0645821603421196e+19,2.122123005783023e+25
4947.069061905309,0.0,0.0,0.0,45736843838.9068,17073355.910319187,0.00329025062849579,45490.20755306679,601.5699297259614,8317160013.256663,2.0645820706068005e+19,2.1221229135467395e+25
5312.069061905309,0.0,0.0,0.0,40679691498.8968,15185543.928849543,0.0029192301428615547,40360.56826304801,563.5248415319641,7791157846.938139,2.0645819795194876e+19,2.1221228199207814e+25
