,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
2.5,1.1871283722453732,0.05196115613470997,190066.35554218251,645993646727.7626,241146491.9887159,0.058237345417506046,805175.4195980949,366.66622545872053,5069438344.41034,7779336862649988.0,8.092930779723349e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
3.0,1.189162084449671,0.06235338736165197,190066.35554218251,682252663340.6194,254681818.07658342,0.061003968578663186,843426.0807277296,414.517470647736,5731018060.0918045,9587808164298708.0,9.9743036164787e+21,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
4.0,1.1895859673471147,0.08313784981553596,190066.35554218251,738419388224.5221,275648601.1724494,0.06536906148375149,903776.7970291399,497.7057786507196,6881159439.67851,1.3215656717785796e+16,1.374839487143551e+22,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
7.0,1.1871486308975248,0.14549123717718793,190066.35554218251,849752529974.0358,317208756.9278077,0.07458365927232098,1031175.5922120136,679.9862773101088,9401325424.931427,2.4183267412064504e+16,2.51581224272513e+22,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
14.0,1.186717851599885,0.29098247435437585,190066.35554218251,959679535808.2375,358244008.5375068,0.08553368030671793,1182567.928483032,912.6481176565148,12618051626.69045,5.023639521999615e+16,5.2261481449687674e+22,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
21.0,1.1857377732929995,0.4364737115315638,190066.35554218251,1009864698072.3575,376977901.4963289,0.09160608673562855,1266523.547670622,1038.021514125529,14351433812.720379,7.687119181999829e+16,7.996995699478714e+22,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
28.0,1.1837050725157463,0.5819649487087517,190066.35554218251,1042222149520.1152,389056791.0424521,0.09575867397061484,1323936.212093728,1117.4899152130984,15450144661.090185,1.0401652226169774e+17,1.0820954658141886e+23,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
42.0,1.1823560044415695,0.8729474230631276,190066.35554218251,1087762818130.5022,406056915.6316704,0.10134753524984452,1401206.4532648956,1212.9887528137945,16770488438.524052,1.59593364927676e+17,1.6602675498780767e+23,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
56.0,1.1807964515556455,1.1639298974175034,190066.35554218251,1119082849716.888,417748541.05908823,0.10489287911911574,1450223.518124138,1269.010410029876,17545030290.185787,2.165550229591218e+17,2.252846022421212e+23,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
70.0,1.1779517282212675,1.4549123717718793,190066.35554218251,1138980642577.0942,425176296.6892902,0.10712287708002809,1481054.9293261457,1306.2616618686998,18060057067.502857,2.7459400077263123e+17,2.8566319726424607e+23,0.33,21.8,13.825757575757574,301.4015151515151,75,3803.0,679.8543742278844,9144.636574744076
