,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
640342.2197965737,0.0,0.0,0.0,76576056.3593278,23583.03235691173,6.418616933608109e-05,732.1234939896749,17.40985061215855,198581108.54493347,1.4370908923190362e+19,1.8346424121402912e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
731592.2197965737,0.0,0.0,0.0,67986344.86905672,20937.669646392307,5.649809887776108e-05,644.4314403244623,15.653853981871688,178551771.98072395,1.4370750415411112e+19,1.83462217646167e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
822842.2197965739,0.0,0.0,0.0,61976897.504236616,19086.947653257866,5.113580020940482e-05,583.2677211385237,14.414847168360362,164419350.5141104,1.4370591909380497e+19,1.834601941006286e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
914092.2197965739,0.0,0.0,0.0,57701747.15229703,17770.334943308975,4.7336425185067766e-05,539.9310997671793,13.523590129134055,154253449.91043532,1.4370433405097632e+19,1.8345817057740256e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1096592.2197965737,0.0,0.0,0.0,52273850.74010371,16098.712470116312,4.255014358197096e-05,485.3375752318563,12.368020912741834,141072738.53596157,1.4370116401778653e+19,1.834541235979325e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1461592.2197965737,0.0,0.0,0.0,46874685.220327586,14435.938213947762,3.7885256775353334e-05,432.12871009387396,11.157150256527867,127261245.113521,1.4369482416118518e+19,1.834460299068028e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
1826592.2197965737,0.0,0.0,0.0,43736180.62105417,13469.376875640277,3.524263586412023e-05,401.9863153251213,10.409169241443607,118729586.66021615,1.4368848458428625e+19,1.8343793657275136e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2191592.2197965737,0.0,0.0,0.0,41217599.109439686,12693.732475735254,3.314404954791343e-05,378.04931515588754,9.79483599156786,111722348.0288209,1.4368214528707656e+19,1.8342984359576137e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2556592.2197965737,0.0,0.0,0.0,38972827.74268249,12002.413043879247,3.127873240894866e-05,356.77304153957067,9.24400791279457,105439465.25531307,1.436758062695486e+19,1.8342175097582324e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
2921592.2197965737,0.0,0.0,0.0,36918303.67756156,11369.683835699037,2.9572589126566467e-05,337.3123447248988,8.739159650062268,99681039.75852275,1.4366946753168738e+19,1.8341365871291784e+25,0.4,21.8,11.40625,248.65625,56,1523.0,164.00239084657193,1528.9701441840405
