Time [y],Ref_PWR,SPWR,HTGR,HPR,HTGR_FCM,SFR
7000.0,2.8092782260315317e-44,2.8092782260315317e-44,2.8092782260315317e-44,2.8092782260315317e-44,2.8092782260315317e-44,2.8092782260315317e-44
7500.0,2.809278220629078e-44,2.809278220629078e-44,2.809278220629078e-44,2.809278220629078e-44,2.809278220629078e-44,2.809278220629078e-44
8000.0,2.8092782098241683e-44,2.8092782098241683e-44,2.8092782098241683e-44,2.8092782098241683e-44,2.8092782098241683e-44,2.8092782098241683e-44
8500.0,2.8092782530438025e-44,2.8092782530438025e-44,2.8092782530438025e-44,2.8092782530438025e-44,2.8092782530438025e-44,2.8092782530438025e-44
9000.0,2.8092779180916416e-44,2.8092779180916416e-44,2.8092779180916416e-44,2.8092779180916416e-44,2.8092779180916416e-44,2.8092779180916416e-44
9500.0,2.809278199019261e-44,2.809278199019261e-44,2.809278199019261e-44,2.809278199019261e-44,2.809278199019261e-44,2.809278199019261e-44
10000.0,2.8092781720069896e-44,2.8092781720069896e-44,2.8092781720069896e-44,2.8092781720069896e-44,2.8092781720069896e-44,2.8092781720069896e-44
15000.0,2.809279009387392e-44,2.809279009387392e-44,2.809279009387392e-44,2.809279009387392e-44,2.809279009387392e-44,2.809279009387392e-44
25000.0,2.809279663084351e-44,2.809279663084351e-44,2.809279663084351e-44,2.809279663084351e-44,2.809279663084351e-44,2.809279663084351e-44
35000.0,2.8835637056096434e-44,2.8500438219004525e-44,2.8092414839404475e-44,2.8092427859319125e-44,2.809248112751763e-44,1.7435785397111634e-43
45000.0,9.392594566475351e-40,5.1572456546115e-40,1.541914898595441e-43,1.7052836087882794e-43,2.379179145710378e-43,1.675948682994425e-37
55000.0,1.1485735386301094e-35,6.306673756087461e-36,1.5422088811278452e-39,1.7420055891877844e-39,2.5661672436472946e-39,1.8368760784978518e-33
65000.0,1.42145450427645e-32,5.899578303455727e-33,1.4425671833397546e-36,1.6294584635832352e-36,2.4003849586324457e-36,1.5265190080642807e-30
75000.0,6.112074046549014e-30,2.114606130126587e-30,2.610977657210877e-34,2.949242438294843e-34,4.344582891759623e-34,2.4392152020182346e-28
85000.0,4.164626537968542e-28,2.1277909159258385e-28,1.9364285812290345e-32,2.1873016492921366e-32,3.2221542485708724e-32,1.2569032293912727e-26
95000.0,1.0335526543294709e-26,6.373903388782011e-27,9.112702616385327e-31,1.029329501083283e-30,1.516324207141806e-30,2.877725834677669e-25
115000.0,2.170325469936903e-24,1.3021155406220147e-24,3.0926294012621246e-28,3.493293486883527e-28,5.14603564471644e-28,4.858892205936497e-23
165000.0,1.642861021954683e-21,8.84334713744575e-22,2.145193873451473e-25,2.424448633172042e-25,3.5704835986245467e-25,5.285235003690558e-20
215000.0,3.851833558518649e-20,2.1478318988739086e-20,5.393177066728863e-24,6.0919464467937995e-24,8.974067954109064e-24,8.119865942009531e-19
265000.0,2.592183699474483e-19,1.4571601642043916e-19,3.708577908941534e-23,4.1891677505929663e-23,6.171180655729172e-23,3.931166051211745e-18
315000.0,9.67118913151134e-19,5.487529322688893e-19,1.4181323286623085e-22,1.6018276371631187e-22,2.3596800274186716e-22,1.1127917177278448e-17
365000.0,2.537577255666606e-18,1.45351808217371e-18,3.8155339383110057e-22,4.309853719425115e-22,6.348923874726118e-22,2.304319705525188e-17
415000.0,5.2985457729043125e-18,3.0643495201056043e-18,8.177644987328418e-22,9.23709728072114e-22,1.3607336657026743e-21,3.91396246531811e-17
465000.0,9.482498609378662e-18,5.534594453098452e-18,1.4981674377776902e-21,1.6922619217592963e-21,2.4929024934908456e-21,5.817208135195571e-17
515000.0,1.5188580283906948e-17,8.939890636973365e-18,2.453726075084123e-21,2.7716176825891113e-21,4.082920826855927e-21,7.890984690576673e-17
565000.0,2.2375555523869482e-17,1.328453635274308e-17,3.696709998192137e-21,4.175635588782017e-21,6.151205350967207e-21,1.0015470483197485e-16
615000.0,3.0871740435929754e-17,1.8529820092423903e-17,5.225897522810526e-21,5.902936079996775e-21,8.695723637669722e-21,1.2085509434214459e-16
665000.0,4.0425437689638556e-17,2.447651449631074e-17,7.028781553077118e-21,7.939392937891861e-21,1.1695665427573003e-20,1.405134123811681e-16
715000.0,5.0738906595577036e-17,3.104704263771089e-17,9.104965299580975e-21,1.0284557646975366e-20,1.5150374322659172e-20,1.5860162827086327e-16
765000.0,6.144112699846499e-17,3.807402258087901e-17,1.1403824681415536e-20,1.2881243372640208e-20,1.8975594534743712e-20,1.748888193163541e-16
815000.0,7.239535785882286e-17,4.540468069380376e-17,1.3889354240272724e-20,1.5688784695636014e-20,2.3111436013531848e-20,1.8960188113455876e-16
865000.0,8.319456954196201e-17,5.290223395781016e-17,1.6557587223385938e-20,1.8702699084640136e-20,2.7551291129141855e-20,2.0243566582898297e-16
915000.0,9.356452595201605e-17,6.034062931268321e-17,1.9421733142368345e-20,2.1937906796773278e-20,3.231713341254171e-20,2.1351423483005426e-16
965000.0,1.0336729894225455e-16,6.762840564706329e-17,2.2421210616305757e-20,2.5325980414585265e-20,3.7308170179307445e-20,2.2304412475965663e-16
