isotope,ST1-charged (g),ST1-discharged (g), ST2-charged (g),ST2-discharged (g)
SR87,0.000E+00,1.738E+00,0.000E+00,4.093E-02
SR87M,0.000E+00,1.869E-05,0.000E+00,3.928E-06
SR88,0.000E+00,1.924E+03,0.000E+00,1.266E+03
SR89,0.000E+00,7.000E+01,0.000E+00,7.450E+01
SR90,0.000E+00,2.162E+03,0.000E+00,1.540E+03
SR91,0.000E+00,6.318E-01,0.000E+00,6.294E-01
SR92,0.000E+00,1.810E-01,0.000E+00,1.829E-01
SR93,0.000E+00,7.598E-03,0.000E+00,8.869E-03
SR94,0.000E+00,9.982E-04,0.000E+00,1.264E-03
SR95,0.000E+00,2.173E-04,0.000E+00,2.981E-04
SR96,0.000E+00,5.074E-06,0.000E+00,2.744E-05
SR97,0.000E+00,8.672E-07,0.000E+00,5.324E-07
SR98,0.000E+00,3.464E-07,0.000E+00,5.844E-07
SR99,0.000E+00,3.173E-08,0.000E+00,7.337E-08
SR100,0.000E+00,3.856E-09,0.000E+00,0.000E+00
SR101,0.000E+00,4.177E-10,0.000E+00,0.000E+00
SR102,0.000E+00,8.786E-11,0.000E+00,0.000E+00
SR103,0.000E+00,1.665E-11,0.000E+00,0.000E+00
SR104,0.000E+00,3.282E-11,0.000E+00,0.000E+00
Y89,0.000E+00,2.187E+03,0.000E+00,1.394E+03
Y89M,0.000E+00,2.112E-06,0.000E+00,0.000E+00
Y90,0.000E+00,5.668E-01,0.000E+00,4.117E-01
Y90M,0.000E+00,1.195E-04,0.000E+00,4.921E-06
Y91,0.000E+00,9.266E+01,0.000E+00,9.373E+01
Y91M,0.000E+00,3.175E-02,0.000E+00,3.194E-02
Y92,0.000E+00,2.498E-01,0.000E+00,2.413E-01
Y93,0.000E+00,7.096E-01,0.000E+00,7.429E-01
Y94,0.000E+00,2.035E-02,0.000E+00,2.227E-02
Y95,0.000E+00,1.082E-02,0.000E+00,1.140E-02
Y96,0.000E+00,2.853E-05,0.000E+00,2.110E-03
Y97,0.000E+00,2.408E-05,0.000E+00,1.249E-05
Y98,0.000E+00,1.764E-06,0.000E+00,1.843E-06
Y99,0.000E+00,4.078E-06,0.000E+00,2.210E-06
Y100,0.000E+00,6.314E-07,0.000E+00,6.767E-07
Y101,0.000E+00,9.663E-08,0.000E+00,1.966E-07
Y102,0.000E+00,4.308E-08,0.000E+00,0.000E+00
Y103,0.000E+00,2.501E-09,0.000E+00,0.000E+00
Y104,0.000E+00,5.637E-10,0.000E+00,0.000E+00
Y105,0.000E+00,3.700E-11,0.000E+00,0.000E+00
Y106,0.000E+00,1.653E-11,0.000E+00,0.000E+00
Y107,0.000E+00,1.195E-11,0.000E+00,0.000E+00
ZR90,0.000E+00,8.445E+01,0.000E+00,7.713E+01
ZR91,0.000E+00,2.490E+03,0.000E+00,1.491E+03
ZR92,0.000E+00,2.785E+03,0.000E+00,1.645E+03
ZR93,0.000E+00,2.728E+03,0.000E+00,1.734E+03
ZR94,0.000E+00,2.567E+03,0.000E+00,1.732E+03
ZR95,0.000E+00,1.043E+02,0.000E+00,1.044E+02
ZR96,0.000E+00,2.466E+03,0.000E+00,1.500E+03
ZR97,0.000E+00,1.109E+00,0.000E+00,1.001E+00
ZR98,0.000E+00,4.153E-04,0.000E+00,4.685E-04
ZR99,0.000E+00,2.294E-05,0.000E+00,3.265E-05
ZR100,0.000E+00,4.532E-05,0.000E+00,7.027E-05
ZR101,0.000E+00,7.559E-06,0.000E+00,1.583E-05
ZR102,0.000E+00,3.928E-06,0.000E+00,4.732E-05
ZR103,0.000E+00,7.288E-07,0.000E+00,1.730E-06
ZR104,0.000E+00,2.632E-07,0.000E+00,5.040E-07
ZR105,0.000E+00,3.464E-08,0.000E+00,0.000E+00
ZR106,0.000E+00,3.154E-09,0.000E+00,0.000E+00
ZR107,0.000E+00,3.553E-10,0.000E+00,0.000E+00
ZR108,0.000E+00,1.070E-10,0.000E+00,0.000E+00
ZR109,0.000E+00,3.087E-11,0.000E+00,0.000E+00
NB91,0.000E+00,4.620E-01,0.000E+00,0.000E+00
NB92,0.000E+00,1.211E-01,0.000E+00,0.000E+00
NB93,0.000E+00,6.497E-01,0.000E+00,2.366E-04
NB93M,0.000E+00,1.304E-01,0.000E+00,1.438E-03
NB94,0.000E+00,5.781E-01,0.000E+00,5.300E-03
NB94M,0.000E+00,7.973E-07,0.000E+00,0.000E+00
NB95,0.000E+00,5.655E+01,0.000E+00,5.726E+01
NB95M,0.000E+00,6.690E-02,0.000E+00,4.283E-02
NB96,0.000E+00,1.662E-02,0.000E+00,3.999E-03
NB97,0.000E+00,8.117E-02,0.000E+00,7.216E-02
NB97M,0.000E+00,1.038E-03,0.000E+00,9.373E-04
NB98,0.000E+00,4.231E-05,0.000E+00,4.401E-05
NB98M,0.000E+00,6.965E-04,0.000E+00,1.005E-03
NB99,0.000E+00,1.091E-04,0.000E+00,2.113E-04
NB99M,0.000E+00,1.117E-03,0.000E+00,1.257E-04
NB100,0.000E+00,1.335E-05,0.000E+00,1.706E-05
NB100M,0.000E+00,7.502E-06,0.000E+00,1.713E-05
NB101,0.000E+00,6.519E-05,0.000E+00,6.909E-05
NB102,0.000E+00,5.236E-06,0.000E+00,1.796E-05
NB103,0.000E+00,7.288E-06,0.000E+00,6.673E-05
NB104,0.000E+00,7.266E-06,0.000E+00,1.462E-06
NB105,0.000E+00,4.027E-06,0.000E+00,6.483E-07
NB106,0.000E+00,3.769E-07,0.000E+00,0.000E+00
NB107,0.000E+00,3.696E-08,0.000E+00,0.000E+00
NB108,0.000E+00,5.598E-09,0.000E+00,0.000E+00
NB109,0.000E+00,1.191E-09,0.000E+00,0.000E+00
NB110,0.000E+00,2.322E-10,0.000E+00,0.000E+00
NB111,0.000E+00,1.278E-10,0.000E+00,0.000E+00
NB112,0.000E+00,3.883E-11,0.000E+00,0.000E+00
MO95,0.000E+00,1.923E+03,0.000E+00,1.330E+03
MO96,0.000E+00,5.519E+02,0.000E+00,1.266E+02
MO97,0.000E+00,2.515E+03,0.000E+00,1.408E+03
MO98,0.000E+00,2.113E+03,0.000E+00,1.394E+03
MO99,0.000E+00,3.754E+00,0.000E+00,3.762E+00
MO100,0.000E+00,1.644E+03,0.000E+00,1.245E+03
MO101,0.000E+00,9.733E-03,0.000E+00,9.728E-03
MO102,0.000E+00,6.611E-03,0.000E+00,5.631E-03
MO103,0.000E+00,6.388E-04,0.000E+00,3.714E-04
MO104,0.000E+00,4.226E-04,0.000E+00,3.478E-04
MO105,0.000E+00,1.927E-04,0.000E+00,9.132E-05
MO106,0.000E+00,2.599E-05,0.000E+00,7.450E-06
