isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
ZR95,0.000E+00,3.533E+01,4.331E-05,1.630E-07
ZR96,0.000E+00,9.468E+02,0.000E+00,1.030E+03
ZR97,0.000E+00,4.273E-01,0.000E+00,0.000E+00
ZR98,0.000E+00,2.242E-04,0.000E+00,0.000E+00
ZR99,0.000E+00,1.732E-05,0.000E+00,0.000E+00
ZR100,0.000E+00,4.624E-05,0.000E+00,0.000E+00
ZR101,0.000E+00,1.311E-05,0.000E+00,0.000E+00
ZR102,0.000E+00,7.246E-05,0.000E+00,0.000E+00
ZR103,0.000E+00,1.741E-06,0.000E+00,0.000E+00
ZR104,0.000E+00,9.167E-07,0.000E+00,0.000E+00
ZR105,0.000E+00,1.821E-08,0.000E+00,0.000E+00
ZR106,0.000E+00,2.432E-09,0.000E+00,0.000E+00
ZR107,0.000E+00,2.882E-11,0.000E+00,0.000E+00
ZR108,0.000E+00,2.152E-11,0.000E+00,0.000E+00
ZR109,0.000E+00,7.105E-13,0.000E+00,0.000E+00
NB91,0.000E+00,0.000E+00,0.000E+00,1.130E-08
NB92,0.000E+00,0.000E+00,0.000E+00,9.861E-07
NB93,0.000E+00,2.212E-04,0.000E+00,4.561E-04
NB93M,0.000E+00,1.021E-03,0.000E+00,2.070E-03
NB94,0.000E+00,3.513E-03,0.000E+00,3.370E-03
NB94M,0.000E+00,4.824E-09,0.000E+00,0.000E+00
NB95,0.000E+00,1.932E+01,0.000E+00,1.960E-07
NB95M,0.000E+00,2.412E-02,0.000E+00,1.050E-10
NB96,0.000E+00,1.881E-03,0.000E+00,0.000E+00
NB97,0.000E+00,3.152E-02,0.000E+00,0.000E+00
NB97M,0.000E+00,3.303E-04,0.000E+00,0.000E+00
NB98,0.000E+00,2.061E-05,0.000E+00,0.000E+00
NB98M,0.000E+00,3.943E-04,0.000E+00,0.000E+00
NB99,0.000E+00,1.071E-04,0.000E+00,0.000E+00
NB99M,0.000E+00,6.395E-05,0.000E+00,0.000E+00
NB100,0.000E+00,1.041E-05,0.000E+00,0.000E+00
NB100M,0.000E+00,1.051E-05,0.000E+00,0.000E+00
NB101,0.000E+00,5.314E-05,0.000E+00,0.000E+00
NB102,0.000E+00,2.152E-05,0.000E+00,0.000E+00
NB103,0.000E+00,7.626E-05,0.000E+00,0.000E+00
NB104,0.000E+00,2.442E-06,0.000E+00,0.000E+00
NB105,0.000E+00,1.281E-06,0.000E+00,0.000E+00
NB106,0.000E+00,8.665E-08,0.000E+00,0.000E+00
NB107,0.000E+00,1.151E-08,0.000E+00,0.000E+00
NB108,0.000E+00,1.421E-09,0.000E+00,0.000E+00
NB109,0.000E+00,4.273E-10,0.000E+00,0.000E+00
NB110,0.000E+00,6.094E-12,0.000E+00,0.000E+00
NB111,0.000E+00,7.115E-13,0.000E+00,0.000E+00
MO95,0.000E+00,8.543E+02,0.000E+00,9.272E+02
MO96,0.000E+00,2.392E+01,0.000E+00,5.760E+01
MO97,0.000E+00,9.955E+02,0.000E+00,1.120E+03
MO98,0.000E+00,1.101E+03,0.000E+00,1.200E+03
MO99,0.000E+00,1.952E+00,0.000E+00,0.000E+00
MO100,0.000E+00,1.271E+03,0.000E+00,1.420E+03
MO101,0.000E+00,8.113E-03,0.000E+00,0.000E+00
MO102,0.000E+00,6.195E-03,0.000E+00,0.000E+00
MO103,0.000E+00,5.514E-04,0.000E+00,0.000E+00
MO104,0.000E+00,7.848E-04,0.000E+00,0.000E+00
MO105,0.000E+00,2.822E-04,0.000E+00,0.000E+00
MO106,0.000E+00,2.672E-05,0.000E+00,0.000E+00
MO107,0.000E+00,5.544E-06,0.000E+00,0.000E+00
MO108,0.000E+00,3.333E-07,0.000E+00,0.000E+00
MO109,0.000E+00,1.151E-07,0.000E+00,0.000E+00
MO110,0.000E+00,1.471E-08,0.000E+00,0.000E+00
MO111,0.000E+00,4.053E-10,0.000E+00,0.000E+00
MO112,0.000E+00,5.454E-11,0.000E+00,0.000E+00
MO113,0.000E+00,2.212E-12,0.000E+00,0.000E+00
MO114,0.000E+00,2.021E-13,0.000E+00,0.000E+00
MO115,0.000E+00,4.243E-15,0.000E+00,0.000E+00
TC98,0.000E+00,0.000E+00,0.000E+00,1.280E-02
TC99,0.000E+00,1.131E+03,1.110E-08,1.140E+03
TC99M,0.000E+00,1.531E-01,0.000E+00,0.000E+00
TC100,0.000E+00,1.021E-05,0.000E+00,0.000E+00
TC101,0.000E+00,7.898E-03,0.000E+00,0.000E+00
TC102,0.000E+00,4.944E-05,0.000E+00,0.000E+00
TC102M,0.000E+00,4.644E-06,0.000E+00,0.000E+00
TC103,0.000E+00,4.693E-04,0.000E+00,0.000E+00
TC104,0.000E+00,9.740E-03,0.000E+00,0.000E+00
TC105,0.000E+00,3.313E-03,0.000E+00,0.000E+00
TC106,0.000E+00,2.091E-04,0.000E+00,0.000E+00
TC107,0.000E+00,8.687E-05,0.000E+00,0.000E+00
TC108,0.000E+00,7.035E-06,0.000E+00,0.000E+00
TC109,0.000E+00,4.553E-05,0.000E+00,0.000E+00
TC110,0.000E+00,1.121E-07,0.000E+00,0.000E+00
TC111,0.000E+00,3.773E-08,0.000E+00,0.000E+00
TC112,0.000E+00,1.621E-09,0.000E+00,0.000E+00
TC113,0.000E+00,5.464E-10,0.000E+00,0.000E+00
TC114,0.000E+00,2.942E-11,0.000E+00,0.000E+00
TC115,0.000E+00,6.505E-12,0.000E+00,0.000E+00
TC116,0.000E+00,2.462E-13,0.000E+00,0.000E+00
TC117,0.000E+00,1.541E-14,0.000E+00,0.000E+00
RU99,0.000E+00,1.191E-02,0.000E+00,6.620E-02
RU100,0.000E+00,4.293E+01,0.000E+00,1.930E+02
RU101,0.000E+00,1.211E+03,0.000E+00,1.220E+03
RU102,0.000E+00,1.431E+03,0.000E+00,1.410E+03
RU103,0.000E+00,3.382E+01,0.000E+00,5.931E-13
RU104,0.000E+00,1.281E+03,0.000E+00,1.310E+03
RU105,0.000E+00,1.161E-01,0.000E+00,0.000E+00
RU106,0.000E+00,1.982E+02,3.500E-04,1.150E+01
RU107,0.000E+00,1.021E-03,0.000E+00,0.000E+00
RU108,0.000E+00,7.648E-04,0.000E+00,0.000E+00
RU109,0.000E+00,7.275E-05,0.000E+00,0.000E+00
RU110,0.000E+00,1.191E-05,0.000E+00,0.000E+00
RU111,0.000E+00,4.973E-06,0.000E+00,0.000E+00
RU112,0.000E+00,6.555E-08,0.000E+00,0.000E+00
RU113,0.000E+00,9.869E-08,0.000E+00,0.000E+00
RU114,0.000E+00,5.134E-08,0.000E+00,0.000E+00
RU115,0.000E+00,2.071E-09,0.000E+00,0.000E+00
RU116,0.000E+00,8.887E-10,0.000E+00,0.000E+00
RU117,0.000E+00,2.892E-11,0.000E+00,0.000E+00
RU118,0.000E+00,3.763E-10,0.000E+00,0.000E+00
RU120,0.000E+00,4.963E-14,0.000E+00,0.000E+00
RH102,0.000E+00,0.000E+00,0.000E+00,4.851E-06
RH103,0.000E+00,1.351E+03,0.000E+00,9.821E+02
RH103M,0.000E+00,3.323E-02,0.000E+00,5.811E-16
RH104,0.000E+00,1.831E-09,0.000E+00,0.000E+00
RH104M,0.000E+00,1.031E-09,0.000E+00,0.000E+00
RH105,0.000E+00,9.310E-01,0.000E+00,0.000E+00
RH105M,0.000E+00,6.955E-05,0.000E+00,0.000E+00
RH106,0.000E+00,1.861E-04,0.000E+00,1.060E-05
RH106M,0.000E+00,1.581E-05,0.000E+00,0.000E+00
RH107,0.000E+00,5.304E-03,0.000E+00,0.000E+00
RH108,0.000E+00,4.884E-05,0.000E+00,0.000E+00
RH108M,0.000E+00,1.381E-05,0.000E+00,0.000E+00
RH109,0.000E+00,1.932E-04,0.000E+00,0.000E+00
RH109M,0.000E+00,5.424E-05,0.000E+00,0.000E+00
RH110,0.000E+00,2.352E-05,0.000E+00,0.000E+00
RH110M,0.000E+00,2.041E-07,0.000E+00,0.000E+00
RH111,0.000E+00,2.972E-05,0.000E+00,0.000E+00
RH112,0.000E+00,1.141E-06,0.000E+00,0.000E+00
RH113,0.000E+00,1.141E-07,0.000E+00,0.000E+00
RH114,0.000E+00,1.071E-07,0.000E+00,0.000E+00
RH115,0.000E+00,1.741E-07,0.000E+00,0.000E+00
RH116,0.000E+00,8.629E-09,0.000E+00,0.000E+00
RH117,0.000E+00,4.233E-09,0.000E+00,0.000E+00
RH118,0.000E+00,1.421E-09,0.000E+00,0.000E+00
RH119,0.000E+00,9.576E-10,0.000E+00,0.000E+00
RH120,0.000E+00,1.111E-11,0.000E+00,0.000E+00
RH121,0.000E+00,2.802E-12,0.000E+00,0.000E+00
RH122,0.000E+00,2.031E-13,0.000E+00,0.000E+00
RH123,0.000E+00,3.392E-14,0.000E+00,0.000E+00
PD102,0.000E+00,0.000E+00,0.000E+00,1.340E-03
PD104,0.000E+00,5.554E-03,0.000E+00,4.820E+02
PD105,0.000E+00,9.497E+02,0.000E+00,1.070E+03
PD106,0.000E+00,7.454E+02,0.000E+00,1.060E+03
PD107,0.000E+00,5.464E+02,8.990E-07,6.820E+02
PD107M,0.000E+00,3.412E-10,0.000E+00,0.000E+00
PD108,0.000E+00,4.483E+02,0.000E+00,4.740E+02
PD109,0.000E+00,1.111E-01,0.000E+00,0.000E+00
PD109M,0.000E+00,3.032E-04,0.000E+00,0.000E+00
PD110,0.000E+00,1.231E+02,0.000E+00,1.560E+02
PD111,0.000E+00,6.745E-04,0.000E+00,0.000E+00
PD111M,0.000E+00,2.642E-04,0.000E+00,0.000E+00
PD112,0.000E+00,1.932E-02,0.000E+00,0.000E+00
PD113,0.000E+00,1.621E-05,0.000E+00,0.000E+00
PD114,0.000E+00,1.891E-05,0.000E+00,0.000E+00
PD115,0.000E+00,3.923E-06,0.000E+00,0.000E+00
PD116,0.000E+00,9.740E-07,0.000E+00,0.000E+00
PD117,0.000E+00,2.472E-07,0.000E+00,0.000E+00
PD118,0.000E+00,9.189E-08,0.000E+00,0.000E+00
PD119,0.000E+00,8.336E-08,0.000E+00,0.000E+00
PD120,0.000E+00,2.011E-08,0.000E+00,0.000E+00
PD121,0.000E+00,1.081E-09,0.000E+00,0.000E+00
PD122,0.000E+00,7.196E-10,0.000E+00,0.000E+00
PD123,0.000E+00,5.214E-11,0.000E+00,0.000E+00
PD124,0.000E+00,2.592E-11,0.000E+00,0.000E+00
PD126,0.000E+00,4.864E-13,0.000E+00,0.000E+00
AG107,0.000E+00,1.861E-04,0.000E+00,4.971E-04
AG108,0.000E+00,2.912E-11,0.000E+00,7.521E-13
AG108M,0.000E+00,5.834E-06,0.000E+00,8.021E-04
AG109,0.000E+00,2.882E+02,0.000E+00,2.301E+02
AG109M,0.000E+00,9.038E-05,0.000E+00,3.270E-11
AG110,0.000E+00,8.436E-06,0.000E+00,1.870E-10
AG110M,0.000E+00,1.972E-01,0.000E+00,1.210E-02
AG111,0.000E+00,3.333E-01,0.000E+00,0.000E+00
AG111M,0.000E+00,3.323E-05,0.000E+00,0.000E+00
AG112,0.000E+00,3.022E-03,0.000E+00,0.000E+00
AG113,0.000E+00,3.102E-03,0.000E+00,0.000E+00
AG113M,0.000E+00,1.221E-06,0.000E+00,0.000E+00
AG114,0.000E+00,6.205E-07,0.000E+00,0.000E+00
AG115,0.000E+00,1.021E-04,0.000E+00,0.000E+00
AG115M,0.000E+00,5.704E-07,0.000E+00,0.000E+00
AG116,0.000E+00,7.397E-06,0.000E+00,0.000E+00
AG116M,0.000E+00,3.923E-07,0.000E+00,0.000E+00
AG117,0.000E+00,3.152E-06,0.000E+00,0.000E+00
AG117M,0.000E+00,2.281E-07,0.000E+00,0.000E+00
AG118,0.000E+00,1.101E-08,0.000E+00,0.000E+00
AG118M,0.000E+00,1.511E-07,0.000E+00,0.000E+00
AG119,0.000E+00,5.224E-07,0.000E+00,0.000E+00
AG120,0.000E+00,4.373E-08,0.000E+00,0.000E+00
AG121,0.000E+00,5.824E-08,0.000E+00,0.000E+00
AG122,0.000E+00,9.984E-10,0.000E+00,0.000E+00
AG123,0.000E+00,4.533E-09,0.000E+00,0.000E+00
AG124,0.000E+00,6.875E-10,0.000E+00,0.000E+00
AG125,0.000E+00,4.573E-10,0.000E+00,0.000E+00
AG126,0.000E+00,6.365E-11,0.000E+00,0.000E+00
AG128,0.000E+00,6.345E-12,0.000E+00,0.000E+00
CD108,0.000E+00,1.271E-05,0.000E+00,1.680E-03
CD109,0.000E+00,1.071E-07,0.000E+00,3.290E-05
CD110,0.000E+00,2.332E+01,0.000E+00,1.630E+02
CD111,0.000E+00,6.415E+01,0.000E+00,7.631E+01
CD111M,0.000E+00,8.873E-07,0.000E+00,0.000E+00
CD112,0.000E+00,4.363E+01,0.000E+00,3.601E+01
CD113,0.000E+00,2.332E+01,0.000E+00,3.250E-01
CD113M,0.000E+00,1.271E+00,1.230E-11,3.821E-03
CD114,0.000E+00,2.101E+01,0.000E+00,3.741E+01
CD115,0.000E+00,1.992E-02,0.000E+00,0.000E+00
CD115M,0.000E+00,6.395E-02,0.000E+00,1.630E-14
