isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
BR80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.780E-09
BR80M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.874E-08
BR81,0.000E+00,2.733E+01,0.000E+00,5.125E+00,0.000E+00,2.396E+01
BR82,0.000E+00,1.218E-09,0.000E+00,1.412E-10,0.000E+00,4.722E-03
BR82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.398E-06
BR83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.929E-03
BR84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E-03
BR84M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.947E-05
BR85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.796E-04
BR86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.840E-05
BR86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.136E-06
BR87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.931E-05
BR88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.364E-05
BR89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.625E-06
BR90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.583E-07
BR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.052E-07
BR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.308E-08
BR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.311E-09
BR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.613E-11
BR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.106E-12
BR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.647E-13
KR79,0.000E+00,2.811E-18,0.000E+00,1.966E-19,0.000E+00,2.049E-12
KR80,0.000E+00,7.200E-04,0.000E+00,8.404E-05,0.000E+00,6.158E-04
KR81,0.000E+00,5.571E-05,0.000E+00,3.760E-06,0.000E+00,8.616E-05
KR81M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.468E-12
KR82,0.000E+00,1.838E+00,0.000E+00,1.759E-01,0.000E+00,1.636E+00
KR83,0.000E+00,9.321E+01,0.000E+00,1.552E+01,0.000E+00,3.787E+01
KR83M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.792E-03
KR84,0.000E+00,1.642E+02,0.000E+00,2.657E+01,0.000E+00,1.032E+02
KR85,0.000E+00,3.583E+01,0.000E+00,5.722E+00,0.000E+00,1.922E+01
KR85M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.710E-02
KR86,0.000E+00,2.542E+02,0.000E+00,4.118E+01,0.000E+00,1.446E+02
KR87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.737E-03
KR88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.730E-02
KR89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.733E-04
KR90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.665E-05
KR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.962E-05
KR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.504E-06
KR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.097E-07
KR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.910E-08
KR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.781E-08
KR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.278E-09
KR97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.402E-11
KR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.689E-12
RB85,0.000E+00,1.393E+02,0.000E+00,2.228E+01,0.000E+00,7.986E+01
RB86,0.000E+00,6.906E-02,0.000E+00,6.541E-03,0.000E+00,1.713E-02
RB86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.803E-08
RB87,0.000E+00,3.282E+02,0.000E+00,5.277E+01,0.000E+00,1.806E+02
RB88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.931E-03
RB89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.134E-03
RB90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.959E-04
RB90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.442E-04
RB91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.645E-04
RB92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.938E-05
RB93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.032E-05
RB94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.361E-06
RB95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.289E-07
RB96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.757E-08
RB97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.124E-08
RB98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.129E-09
RB99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.230E-10
RB100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.494E-11
SR86,0.000E+00,4.179E+00,0.000E+00,3.213E-01,0.000E+00,4.847E-01
SR87,0.000E+00,3.851E-02,0.000E+00,2.159E-03,0.000E+00,6.930E-03
SR87M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.370E-07
SR88,0.000E+00,4.270E+02,0.000E+00,7.093E+01,0.000E+00,2.522E+02
SR89,0.000E+00,2.743E+01,0.000E+00,6.477E+00,0.000E+00,1.527E+01
SR90,0.000E+00,6.349E+02,0.000E+00,1.034E+02,0.000E+00,3.739E+02
SR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E-01
SR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.062E-02
SR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.536E-03
SR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.907E-04
SR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.922E-04
SR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.098E-05
SR97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.717E-07
SR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.758E-07
SR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.910E-07
SR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.392E-08
SR101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.515E-09
SR102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.073E-10
SR103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.098E-12
SR104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.319E-13
Y89,0.000E+00,5.294E+02,0.000E+00,8.536E+01,0.000E+00,3.020E+02
