isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
TC98,0.00E+00,8.58E-03,0.00E+00,4.60E-03
TC99,0.00E+00,1.19E+03,0.00E+00,5.17E+02
TC99M,0.00E+00,2.44E-01,0.00E+00,1.09E-01
TC100,0.00E+00,6.12E-05,0.00E+00,2.05E-05
TC101,0.00E+00,1.01E-02,0.00E+00,3.36E-03
TC102,0.00E+00,6.07E-05,0.00E+00,1.58E-05
TC102M,0.00E+00,3.10E-06,0.00E+00,2.83E-06
TC103,0.00E+00,5.62E-04,0.00E+00,1.09E-04
TC104,0.00E+00,1.08E-02,0.00E+00,1.43E-03
TC105,0.00E+00,3.93E-03,0.00E+00,3.10E-04
TC106,0.00E+00,2.30E-04,0.00E+00,1.41E-05
TC107,0.00E+00,1.11E-04,0.00E+00,5.10E-06
TC108,0.00E+00,1.11E-05,0.00E+00,4.10E-07
TC109,0.00E+00,4.56E-05,0.00E+00,2.06E-06
TC110,0.00E+00,1.86E-07,0.00E+00,0.00E+00
TC111,0.00E+00,8.83E-08,0.00E+00,0.00E+00
RU99,0.00E+00,9.02E-03,0.00E+00,3.92E-03
RU100,0.00E+00,1.73E+02,0.00E+00,6.92E+01
RU101,0.00E+00,1.20E+03,0.00E+00,3.85E+02
RU102,0.00E+00,1.24E+03,0.00E+00,3.22E+02
RU103,0.00E+00,3.88E+01,0.00E+00,7.49E+00
RU104,0.00E+00,9.15E+02,0.00E+00,1.34E+02
RU105,0.00E+00,1.33E-01,0.00E+00,1.05E-02
RU106,0.00E+00,1.95E+02,0.00E+00,1.18E+01
RU107,0.00E+00,1.34E-03,0.00E+00,4.75E-05
RU108,0.00E+00,1.02E-03,0.00E+00,2.75E-05
RU109,0.00E+00,8.00E-05,0.00E+00,2.84E-06
RU110,0.00E+00,1.64E-05,0.00E+00,7.03E-07
RU111,0.00E+00,6.78E-06,0.00E+00,3.85E-07
RU112,0.00E+00,1.25E-07,0.00E+00,0.00E+00
RU113,0.00E+00,2.51E-07,0.00E+00,0.00E+00
RU114,0.00E+00,1.92E-07,0.00E+00,0.00E+00
RH102,0.00E+00,1.33E-03,0.00E+00,3.36E-04
RH103,0.00E+00,6.39E+02,0.00E+00,1.38E+02
RH103M,0.00E+00,3.46E-02,0.00E+00,6.71E-03
RH104,0.00E+00,3.67E-04,0.00E+00,5.78E-05
RH104M,0.00E+00,1.48E-04,0.00E+00,2.54E-05
RH105,0.00E+00,1.01E+00,0.00E+00,7.99E-02
RH105M,0.00E+00,1.05E-04,0.00E+00,8.28E-06
RH106,0.00E+00,1.91E-04,0.00E+00,1.17E-05
RH106M,0.00E+00,1.08E-03,0.00E+00,7.42E-05
RH107,0.00E+00,6.98E-03,0.00E+00,2.46E-04
RH108,0.00E+00,6.39E-05,0.00E+00,1.72E-06
RH108M,0.00E+00,1.12E-05,0.00E+00,6.28E-08
RH109,0.00E+00,2.15E-04,0.00E+00,7.45E-06
RH109M,0.00E+00,5.97E-05,0.00E+00,2.07E-06
RH110,0.00E+00,3.21E-05,0.00E+00,1.35E-06
RH110M,0.00E+00,2.44E-07,0.00E+00,0.00E+00
RH111,0.00E+00,3.85E-05,0.00E+00,2.29E-06
RH112,0.00E+00,1.40E-06,0.00E+00,1.27E-07
RH113,0.00E+00,1.82E-07,0.00E+00,0.00E+00
RH114,0.00E+00,1.89E-07,0.00E+00,0.00E+00
RH115,0.00E+00,4.69E-07,0.00E+00,3.24E-08
PD104,0.00E+00,4.20E+02,0.00E+00,7.78E+01
PD105,0.00E+00,6.78E+02,0.00E+00,6.07E+01
PD106,0.00E+00,4.57E+02,0.00E+00,3.35E+01
PD107,0.00E+00,4.37E+02,0.00E+00,1.86E+01
PD108,0.00E+00,3.08E+02,0.00E+00,1.01E+01
PD109,0.00E+00,1.54E-01,0.00E+00,4.96E-03
PD109M,0.00E+00,3.40E-04,0.00E+00,1.17E-05
PD110,0.00E+00,1.01E+02,0.00E+00,5.00E+00
PD111,0.00E+00,8.32E-04,0.00E+00,4.96E-05
PD111M,0.00E+00,1.95E-04,0.00E+00,1.52E-05
PD112,0.00E+00,2.31E-02,0.00E+00,2.24E-03
PD113,0.00E+00,2.21E-05,0.00E+00,2.43E-06
PD114,0.00E+00,2.35E-05,0.00E+00,3.75E-06
PD115,0.00E+00,5.67E-06,0.00E+00,8.49E-07
PD116,0.00E+00,1.56E-06,0.00E+00,3.75E-07
PD117,0.00E+00,4.87E-07,0.00E+00,6.07E-08
PD118,0.00E+00,2.45E-07,0.00E+00,0.00E+00
PD119,0.00E+00,9.85E-08,0.00E+00,0.00E+00
PD120,0.00E+00,9.22E-08,0.00E+00,0.00E+00
AG107,0.00E+00,9.53E-05,0.00E+00,4.39E-06
AG108M,0.00E+00,1.86E-06,0.00E+00,0.00E+00
AG109,0.00E+00,1.42E+02,0.00E+00,5.78E+00
AG109M,0.00E+00,1.25E-04,0.00E+00,4.07E-06
AG110,0.00E+00,4.77E-05,0.00E+00,1.50E-06
AG110M,0.00E+00,1.48E+00,0.00E+00,5.10E-02
AG111,0.00E+00,4.12E-01,0.00E+00,2.44E-02
AG111M,0.00E+00,4.12E-05,0.00E+00,2.44E-06
AG112,0.00E+00,3.60E-03,0.00E+00,3.50E-04
AG113,0.00E+00,4.22E-03,0.00E+00,4.67E-04
AG113M,0.00E+00,1.64E-06,0.00E+00,1.86E-07
AG114,0.00E+00,7.49E-07,0.00E+00,1.22E-07
AG115,0.00E+00,1.34E-04,0.00E+00,2.18E-05
AG115M,0.00E+00,7.36E-07,0.00E+00,1.33E-07
AG116,0.00E+00,1.01E-05,0.00E+00,2.26E-06
AG116M,0.00E+00,6.46E-07,0.00E+00,1.46E-07
AG117,0.00E+00,4.43E-06,0.00E+00,8.35E-07
AG117M,0.00E+00,3.21E-07,0.00E+00,6.03E-08
AG118,0.00E+00,3.03E-07,0.00E+00,5.35E-08
AG118M,0.00E+00,1.57E-07,0.00E+00,2.83E-08
AG119,0.00E+00,6.72E-07,0.00E+00,8.96E-08
AG120,0.00E+00,9.15E-08,0.00E+00,0.00E+00
AG121,0.00E+00,1.62E-07,0.00E+00,0.00E+00
CD108,0.00E+00,7.94E-04,0.00E+00,4.39E-05
CD109,0.00E+00,1.01E-06,0.00E+00,5.14E-08
CD110,0.00E+00,8.70E+01,0.00E+00,3.56E+00
CD111,0.00E+00,5.34E+01,0.00E+00,3.75E+00
CD111M,0.00E+00,1.29E-06,0.00E+00,4.32E-08
CD112,0.00E+00,2.95E+01,0.00E+00,3.31E+00
CD113,0.00E+00,2.30E-01,0.00E+00,2.82E-02
CD113M,0.00E+00,4.38E-01,0.00E+00,5.42E-02
CD114,0.00E+00,3.55E+01,0.00E+00,5.53E+00
CD115,0.00E+00,2.89E-02,0.00E+00,4.75E-03
CD115M,0.00E+00,5.59E-02,0.00E+00,1.00E-02
CD116,0.00E+00,1.11E+01,0.00E+00,2.89E+00
CD117,0.00E+00,7.55E-04,0.00E+00,1.49E-04
CD117M,0.00E+00,5.33E-04,0.00E+00,1.10E-04
CD118,0.00E+00,3.75E-04,0.00E+00,7.99E-05
CD119,0.00E+00,3.51E-05,0.00E+00,7.31E-06
CD119M,0.00E+00,1.20E-05,0.00E+00,2.49E-06
CD120,0.00E+00,6.27E-06,0.00E+00,1.42E-06
CD121,0.00E+00,1.57E-06,0.00E+00,3.40E-07
CD122,0.00E+00,6.46E-07,0.00E+00,1.74E-07
CD123,0.00E+00,9.41E-07,0.00E+00,2.64E-07
CD124,0.00E+00,1.78E-06,0.00E+00,4.46E-07
CD125,0.00E+00,1.24E-07,0.00E+00,0.00E+00
CD126,0.00E+00,2.24E-07,0.00E+00,3.17E-08
IN113,0.00E+00,3.68E-02,0.00E+00,5.17E-03
IN114M,0.00E+00,2.40E-04,0.00E+00,2.62E-05
IN115,0.00E+00,2.82E+00,0.00E+00,6.28E-01
IN115M,0.00E+00,2.32E-03,0.00E+00,3.82E-04
IN116,0.00E+00,1.33E-06,0.00E+00,1.98E-07
IN116M,0.00E+00,2.22E-04,0.00E+00,3.85E-05
IN117,0.00E+00,1.96E-04,0.00E+00,3.96E-05
IN117M,0.00E+00,6.53E-04,0.00E+00,1.31E-04
IN118,0.00E+00,6.21E-07,0.00E+00,1.33E-07
IN119,0.00E+00,5.38E-06,0.00E+00,1.15E-06
IN119M,0.00E+00,1.01E-04,0.00E+00,2.13E-05
IN120,0.00E+00,2.80E-06,0.00E+00,6.53E-07
IN120M,0.00E+00,1.94E-07,0.00E+00,4.53E-08
IN121,0.00E+00,2.92E-06,0.00E+00,6.60E-07
IN121M,0.00E+00,5.15E-06,0.00E+00,1.31E-06
IN122,0.00E+00,1.27E-06,0.00E+00,3.71E-07
IN123,0.00E+00,6.25E-07,0.00E+00,2.23E-07
IN123M,0.00E+00,2.12E-06,0.00E+00,9.78E-07
IN124,0.00E+00,5.46E-07,0.00E+00,2.43E-07
IN125,0.00E+00,2.59E-07,0.00E+00,1.26E-07
IN125M,0.00E+00,9.66E-07,0.00E+00,5.71E-07
IN126,0.00E+00,3.91E-07,0.00E+00,1.76E-07
IN127,0.00E+00,3.24E-07,0.00E+00,1.22E-07
IN127M,0.00E+00,5.89E-07,0.00E+00,2.23E-07
IN128,0.00E+00,1.02E-06,0.00E+00,2.18E-07
IN129,0.00E+00,1.87E-07,0.00E+00,0.00E+00
IN130,0.00E+00,1.29E-07,0.00E+00,0.00E+00
SN114,0.00E+00,4.01E-03,0.00E+00,4.89E-04
SN115,0.00E+00,4.46E-01,0.00E+00,8.67E-02
SN116,0.00E+00,1.06E+01,0.00E+00,2.02E+00
SN117,0.00E+00,1.09E+01,0.00E+00,2.54E+00
SN117M,0.00E+00,1.16E-03,0.00E+00,1.67E-04
SN118,0.00E+00,1.12E+01,0.00E+00,2.74E+00
SN119,0.00E+00,1.11E+01,0.00E+00,2.70E+00
SN119M,0.00E+00,4.69E-02,0.00E+00,1.02E-02
SN120,0.00E+00,1.13E+01,0.00E+00,3.02E+00
SN121,0.00E+00,1.26E-02,0.00E+00,2.92E-03
SN121M,0.00E+00,4.76E-03,0.00E+00,5.93E-03
SN122,0.00E+00,1.22E+01,0.00E+00,4.46E+00
SN123,0.00E+00,3.46E-01,0.00E+00,1.61E-01
SN123M,0.00E+00,2.97E-04,0.00E+00,1.15E-04
SN124,0.00E+00,1.66E+01,0.00E+00,9.53E+00
SN125,0.00E+00,8.89E-02,0.00E+00,5.28E-02
SN125M,0.00E+00,1.02E-04,0.00E+00,7.07E-05
SN126,0.00E+00,3.81E+01,0.00E+00,3.68E+01
SN127,0.00E+00,4.49E-03,0.00E+00,3.64E-03
SN127M,0.00E+00,6.66E-05,0.00E+00,8.88E-05
SN128,0.00E+00,4.94E-03,0.00E+00,3.16E-03
SN129,0.00E+00,4.37E-04,0.00E+00,1.86E-04
SN129M,0.00E+00,1.65E-04,0.00E+00,6.39E-05
SN130,0.00E+00,7.04E-04,0.00E+00,3.00E-04
SN131,0.00E+00,1.81E-04,0.00E+00,4.35E-05
SN132,0.00E+00,6.24E-05,0.00E+00,1.04E-05
SN133,0.00E+00,6.85E-07,0.00E+00,6.63E-08
SB121,0.00E+00,1.08E+01,0.00E+00,2.88E+00
SB122,0.00E+00,5.01E-03,0.00E+00,1.00E-03
SB123,0.00E+00,1.29E+01,0.00E+00,5.93E+00
SB124,0.00E+00,7.55E-02,0.00E+00,2.77E-02
SB125,0.00E+00,1.54E+01,0.00E+00,1.13E+01
SB126,0.00E+00,9.98E-03,0.00E+00,1.66E-02
SB126M,0.00E+00,4.40E-06,0.00E+00,1.33E-05
SB127,0.00E+00,3.05E-01,0.00E+00,3.39E-01
SB128,0.00E+00,3.81E-03,0.00E+00,8.31E-03
SB128M,0.00E+00,9.41E-04,0.00E+00,7.17E-04
SB129,0.00E+00,4.34E-02,0.00E+00,3.23E-02
SB130,0.00E+00,2.18E-03,0.00E+00,2.12E-03
SB130M,0.00E+00,1.57E-03,0.00E+00,8.46E-04
SB131,0.00E+00,1.04E-02,0.00E+00,4.39E-03
SB132,0.00E+00,7.68E-04,0.00E+00,2.17E-04
SB132M,0.00E+00,7.55E-04,0.00E+00,2.60E-04
SB133,0.00E+00,7.81E-04,0.00E+00,1.32E-04
SB134,0.00E+00,1.03E-05,0.00E+00,1.70E-06
SB134M,0.00E+00,9.34E-06,0.00E+00,1.59E-06
SB135,0.00E+00,8.58E-07,0.00E+00,1.03E-07
TE122,0.00E+00,8.51E-01,0.00E+00,2.16E-01
TE123,0.00E+00,1.09E-02,0.00E+00,2.81E-03
TE123M,0.00E+00,1.92E-03,0.00E+00,3.96E-04
TE124,0.00E+00,5.73E-01,0.00E+00,2.74E-01
TE125,0.00E+00,9.47E+00,0.00E+00,7.67E+00
TE125M,0.00E+00,1.95E-01,0.00E+00,1.46E-01
