isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
AS83,0.00E+00,1.25E-05,0.00E+00,1.25E-05,0.00E+00,0.00E+00
AS84,0.00E+00,1.15E-06,0.00E+00,1.15E-06,0.00E+00,0.00E+00
AS85,0.00E+00,4.64E-07,0.00E+00,4.64E-07,0.00E+00,0.00E+00
AS86,0.00E+00,1.37E-07,0.00E+00,1.37E-07,0.00E+00,0.00E+00
AS87,0.00E+00,7.44E-09,0.00E+00,7.44E-09,0.00E+00,0.00E+00
AS88,0.00E+00,1.41E-09,0.00E+00,1.41E-09,0.00E+00,0.00E+00
AS89,0.00E+00,4.74E-12,0.00E+00,4.74E-12,0.00E+00,0.00E+00
AS90,0.00E+00,2.76E-13,0.00E+00,2.76E-13,0.00E+00,0.00E+00
SE76,0.00E+00,0.00E+00,1.01E+01,0.00E+00,0.00E+00,0.00E+00
SE77,0.00E+00,0.00E+00,5.02E+01,0.00E+00,0.00E+00,0.00E+00
SE77M,0.00E+00,0.00E+00,3.32E-05,0.00E+00,0.00E+00,0.00E+00
SE78,0.00E+00,0.00E+00,3.26E+02,0.00E+00,0.00E+00,0.00E+00
SE79,0.00E+00,0.00E+00,9.25E+02,0.00E+00,0.00E+00,0.00E+00
SE79M,0.00E+00,0.00E+00,1.14E+00,0.00E+00,0.00E+00,0.00E+00
SE80,0.00E+00,0.00E+00,1.56E+03,0.00E+00,0.00E+00,0.00E+00
SE81,0.00E+00,0.00E+00,1.53E+01,0.00E+00,0.00E+00,0.00E+00
SE81M,0.00E+00,0.00E+00,3.01E+00,0.00E+00,0.00E+00,0.00E+00
SE82,0.00E+00,0.00E+00,4.01E+03,0.00E+00,0.00E+00,0.00E+00
SE83,0.00E+00,0.00E+00,4.57E+01,0.00E+00,0.00E+00,0.00E+00
SE83M,0.00E+00,0.00E+00,2.50E-01,0.00E+00,0.00E+00,0.00E+00
SE84,0.00E+00,0.00E+00,1.08E+01,0.00E+00,0.00E+00,0.00E+00
SE85,0.00E+00,0.00E+00,1.58E+00,0.00E+00,0.00E+00,0.00E+00
SE86,0.00E+00,0.00E+00,5.40E-01,0.00E+00,0.00E+00,0.00E+00
SE87,0.00E+00,0.00E+00,8.36E-02,0.00E+00,0.00E+00,0.00E+00
SE88,0.00E+00,0.00E+00,8.29E-03,0.00E+00,0.00E+00,0.00E+00
SE89,0.00E+00,0.00E+00,3.72E-04,0.00E+00,0.00E+00,0.00E+00
SE90,0.00E+00,0.00E+00,4.60E-05,0.00E+00,0.00E+00,0.00E+00
SE91,0.00E+00,0.00E+00,1.13E-06,0.00E+00,0.00E+00,0.00E+00
SE92,0.00E+00,0.00E+00,5.92E-08,0.00E+00,0.00E+00,0.00E+00
SE93,0.00E+00,0.00E+00,3.29E-08,0.00E+00,0.00E+00,0.00E+00
BR79,0.00E+00,4.52E-04,4.84E-01,4.52E-04,0.00E+00,0.00E+00
BR79M,0.00E+00,0.00E+00,1.79E-08,0.00E+00,0.00E+00,0.00E+00
