isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
I143,0.00E+00,0.00E+00,7.12E-07,0.00E+00,0.00E+00,0.00E+00
I144,0.00E+00,0.00E+00,9.45E-09,0.00E+00,0.00E+00,0.00E+00
XE126,0.00E+00,0.00E+00,3.16E-06,0.00E+00,0.00E+00,0.00E+00
XE127,0.00E+00,0.00E+00,1.35E-08,0.00E+00,0.00E+00,0.00E+00
XE128,0.00E+00,0.00E+00,7.08E+00,0.00E+00,0.00E+00,0.00E+00
XE129,0.00E+00,0.00E+00,3.91E-04,0.00E+00,0.00E+00,0.00E+00
XE129M,0.00E+00,0.00E+00,6.95E-05,0.00E+00,0.00E+00,0.00E+00
XE130,0.00E+00,0.00E+00,1.15E+02,0.00E+00,0.00E+00,0.00E+00
XE131,0.00E+00,0.00E+00,2.75E+04,0.00E+00,0.00E+00,0.00E+00
XE131M,0.00E+00,0.00E+00,3.01E+02,0.00E+00,0.00E+00,0.00E+00
XE132,0.00E+00,0.00E+00,1.50E+04,0.00E+00,0.00E+00,0.00E+00
XE133,0.00E+00,0.00E+00,3.55E+04,0.00E+00,0.00E+00,0.00E+00
XE133M,0.00E+00,0.00E+00,5.90E+02,0.00E+00,0.00E+00,0.00E+00
XE134,0.00E+00,0.00E+00,7.07E+04,0.00E+00,0.00E+00,0.00E+00
XE134M,0.00E+00,0.00E+00,2.58E-03,0.00E+00,0.00E+00,0.00E+00
XE135,0.00E+00,0.00E+00,2.90E+03,0.00E+00,0.00E+00,0.00E+00
XE135M,0.00E+00,0.00E+00,7.47E+01,0.00E+00,0.00E+00,0.00E+00
XE136,0.00E+00,0.00E+00,1.32E+05,0.00E+00,0.00E+00,0.00E+00
XE137,0.00E+00,0.00E+00,8.94E+01,0.00E+00,0.00E+00,0.00E+00
XE138,0.00E+00,0.00E+00,2.74E+02,0.00E+00,0.00E+00,0.00E+00
XE139,0.00E+00,0.00E+00,8.36E+00,0.00E+00,0.00E+00,0.00E+00
XE140,0.00E+00,0.00E+00,1.54E+00,0.00E+00,0.00E+00,0.00E+00
XE141,0.00E+00,0.00E+00,4.63E-02,0.00E+00,0.00E+00,0.00E+00
XE142,0.00E+00,0.00E+00,9.70E-03,0.00E+00,0.00E+00,0.00E+00
XE143,0.00E+00,0.00E+00,3.36E-04,0.00E+00,0.00E+00,0.00E+00
XE144,0.00E+00,0.00E+00,5.04E-05,0.00E+00,0.00E+00,0.00E+00
XE145,0.00E+00,0.00E+00,1.83E-06,0.00E+00,0.00E+00,0.00E+00
XE146,0.00E+00,0.00E+00,7.71E-08,0.00E+00,0.00E+00,0.00E+00
XE147,0.00E+00,0.00E+00,1.04E-09,0.00E+00,0.00E+00,0.00E+00
CS132,0.00E+00,6.31E-07,0.00E+00,0.00E+00,1.32E-02,0.00E+00
CS133,0.00E+00,1.40E+02,0.00E+00,1.40E+02,2.61E+03,0.00E+00
CS134,0.00E+00,3.16E+01,0.00E+00,3.16E+01,5.97E+02,0.00E+00
CS134M,0.00E+00,8.60E-04,0.00E+00,0.00E+00,1.80E+01,0.00E+00
CS135,0.00E+00,6.75E+02,0.00E+00,6.75E+02,1.39E+04,0.00E+00
CS135M,0.00E+00,5.86E-05,0.00E+00,0.00E+00,1.23E+00,0.00E+00
CS136,0.00E+00,1.01E+00,0.00E+00,1.01E+00,2.02E+01,0.00E+00
CS137,0.00E+00,3.34E+03,0.00E+00,3.33E+03,6.70E+04,0.00E+00
CS138,0.00E+00,3.73E-02,0.00E+00,0.00E+00,7.81E+02,0.00E+00
CS138M,0.00E+00,3.77E-04,0.00E+00,0.00E+00,7.90E+00,0.00E+00
CS139,0.00E+00,1.04E-02,0.00E+00,0.00E+00,2.17E+02,0.00E+00
CS140,0.00E+00,9.43E-04,0.00E+00,0.00E+00,1.98E+01,0.00E+00
CS141,0.00E+00,3.00E-04,0.00E+00,0.00E+00,6.28E+00,0.00E+00
CS142,0.00E+00,7.95E-06,0.00E+00,0.00E+00,1.66E-01,0.00E+00
CS143,0.00E+00,2.84E-06,0.00E+00,0.00E+00,5.95E-02,0.00E+00
CS144,0.00E+00,4.35E-07,0.00E+00,0.00E+00,9.11E-03,0.00E+00
CS145,0.00E+00,6.18E-08,0.00E+00,0.00E+00,1.29E-03,0.00E+00
CS146,0.00E+00,3.08E-09,0.00E+00,0.00E+00,6.45E-05,0.00E+00
CS147,0.00E+00,1.46E-10,0.00E+00,0.00E+00,3.05E-06,0.00E+00
CS148,0.00E+00,5.43E-12,0.00E+00,0.00E+00,1.14E-07,0.00E+00
CS149,0.00E+00,8.88E-14,0.00E+00,0.00E+00,1.86E-09,0.00E+00
CS150,0.00E+00,1.39E-15,0.00E+00,0.00E+00,2.91E-11,0.00E+00
BA132,0.00E+00,2.00E-09,0.00E+00,0.00E+00,4.18E-05,0.00E+00
BA133,0.00E+00,1.81E-07,0.00E+00,0.00E+00,3.79E-03,0.00E+00
BA134,0.00E+00,7.25E+01,0.00E+00,7.25E+01,1.72E+03,0.00E+00
BA135,0.00E+00,2.77E+00,0.00E+00,2.76E+00,8.24E+01,0.00E+00
BA135M,0.00E+00,1.66E-04,0.00E+00,0.00E+00,3.49E+00,0.00E+00
BA136,0.00E+00,1.75E+02,0.00E+00,1.75E+02,4.11E+03,0.00E+00
BA136M,0.00E+00,3.16E-08,0.00E+00,0.00E+00,6.61E-04,0.00E+00
BA137,0.00E+00,5.21E+02,0.00E+00,5.21E+02,1.29E+04,0.00E+00
BA137M,0.00E+00,5.10E-04,0.00E+00,0.00E+00,1.07E+01,0.00E+00
BA138,0.00E+00,3.41E+03,0.00E+00,3.41E+03,7.10E+04,0.00E+00
BA139,0.00E+00,1.02E-01,0.00E+00,0.00E+00,2.13E+03,0.00E+00
BA140,0.00E+00,2.28E+01,0.00E+00,2.28E+01,4.16E+02,0.00E+00
BA141,0.00E+00,2.26E-02,0.00E+00,0.00E+00,4.73E+02,0.00E+00
BA142,0.00E+00,1.30E-02,0.00E+00,0.00E+00,2.71E+02,0.00E+00
BA143,0.00E+00,2.00E-04,0.00E+00,0.00E+00,4.19E+00,0.00E+00
BA144,0.00E+00,1.29E-04,0.00E+00,0.00E+00,2.70E+00,0.00E+00
BA145,0.00E+00,1.79E-05,0.00E+00,0.00E+00,3.76E-01,0.00E+00
BA146,0.00E+00,2.94E-06,0.00E+00,0.00E+00,6.15E-02,0.00E+00
BA147,0.00E+00,1.74E-07,0.00E+00,0.00E+00,3.64E-03,0.00E+00
BA148,0.00E+00,1.43E-08,0.00E+00,0.00E+00,3.00E-04,0.00E+00
BA149,0.00E+00,5.16E-10,0.00E+00,0.00E+00,1.08E-05,0.00E+00
BA150,0.00E+00,2.37E-11,0.00E+00,0.00E+00,4.97E-07,0.00E+00
BA151,0.00E+00,1.58E-12,0.00E+00,0.00E+00,3.30E-08,0.00E+00
BA152,0.00E+00,3.45E-15,0.00E+00,0.00E+00,7.22E-11,0.00E+00
LA138,0.00E+00,1.10E-05,0.00E+00,0.00E+00,2.31E-01,0.00E+00
LA139,0.00E+00,5.93E+01,0.00E+00,5.57E+01,7.45E+04,0.00E+00
LA140,0.00E+00,2.94E+00,0.00E+00,2.76E+00,3.70E+03,0.00E+00
LA141,0.00E+00,2.92E-01,0.00E+00,0.00E+00,6.12E+03,0.00E+00
LA142,0.00E+00,1.19E-01,0.00E+00,0.00E+00,2.50E+03,0.00E+00
LA143,0.00E+00,1.68E-02,0.00E+00,0.00E+00,3.52E+02,0.00E+00
LA144,0.00E+00,6.30E-04,0.00E+00,0.00E+00,1.32E+01,0.00E+00
LA145,0.00E+00,2.51E-04,0.00E+00,0.00E+00,5.26E+00,0.00E+00
LA146,0.00E+00,2.01E-05,0.00E+00,0.00E+00,4.21E-01,0.00E+00
LA147,0.00E+00,8.23E-06,0.00E+00,0.00E+00,1.72E-01,0.00E+00
LA148,0.00E+00,6.59E-07,0.00E+00,0.00E+00,1.38E-02,0.00E+00
LA149,0.00E+00,1.27E-07,0.00E+00,0.00E+00,2.65E-03,0.00E+00
LA150,0.00E+00,7.00E-09,0.00E+00,0.00E+00,1.47E-04,0.00E+00
LA151,0.00E+00,1.10E-09,0.00E+00,0.00E+00,2.31E-05,0.00E+00
LA152,0.00E+00,2.49E-11,0.00E+00,0.00E+00,5.22E-07,0.00E+00
LA153,0.00E+00,5.86E-13,0.00E+00,0.00E+00,1.23E-08,0.00E+00
LA154,0.00E+00,2.18E-15,0.00E+00,0.00E+00,4.57E-11,0.00E+00
LA155,0.00E+00,1.89E-17,0.00E+00,0.00E+00,3.96E-13,0.00E+00
CE139,0.00E+00,4.17E-07,0.00E+00,0.00E+00,8.74E-03,0.00E+00
CE140,0.00E+00,5.93E+01,0.00E+00,5.57E+01,7.45E+04,0.00E+00
CE141,0.00E+00,2.85E+01,0.00E+00,2.68E+01,3.58E+04,0.00E+00
CE142,0.00E+00,6.35E+01,0.00E+00,5.97E+01,7.99E+04,0.00E+00
CE143,0.00E+00,2.31E+00,0.00E+00,2.17E+00,2.90E+03,0.00E+00
CE144,0.00E+00,4.28E+01,0.00E+00,4.02E+01,5.37E+04,0.00E+00
CE145,0.00E+00,2.11E-03,0.00E+00,0.00E+00,4.42E+01,0.00E+00
CE146,0.00E+00,7.13E-03,0.00E+00,0.00E+00,1.49E+02,0.00E+00
CE147,0.00E+00,3.22E-04,0.00E+00,0.00E+00,6.75E+00,0.00E+00
CE148,0.00E+00,2.25E-04,0.00E+00,0.00E+00,4.71E+00,0.00E+00
CE149,0.00E+00,9.46E-06,0.00E+00,0.00E+00,1.98E-01,0.00E+00
CE150,0.00E+00,3.01E-06,0.00E+00,0.00E+00,6.31E-02,0.00E+00
CE151,0.00E+00,1.57E-07,0.00E+00,0.00E+00,3.30E-03,0.00E+00
CE152,0.00E+00,3.68E-08,0.00E+00,0.00E+00,7.70E-04,0.00E+00
CE153,0.00E+00,1.71E-09,0.00E+00,0.00E+00,3.57E-05,0.00E+00
CE154,0.00E+00,6.94E-11,0.00E+00,0.00E+00,1.45E-06,0.00E+00
CE155,0.00E+00,1.19E-12,0.00E+00,0.00E+00,2.49E-08,0.00E+00
CE156,0.00E+00,1.18E-14,0.00E+00,0.00E+00,2.48E-10,0.00E+00
CE157,0.00E+00,5.72E-17,0.00E+00,0.00E+00,1.20E-12,0.00E+00
PR139,0.00E+00,1.30E-15,0.00E+00,0.00E+00,2.72E-11,0.00E+00
PR140,0.00E+00,1.17E-10,0.00E+00,0.00E+00,2.45E-06,0.00E+00
PR141,0.00E+00,2.93E+01,0.00E+00,2.75E+01,3.68E+04,0.00E+00
PR142,0.00E+00,1.40E-03,0.00E+00,1.32E-03,1.76E+00,0.00E+00
PR142M,0.00E+00,6.38E-06,0.00E+00,0.00E+00,1.34E-01,0.00E+00
PR143,0.00E+00,1.63E+01,0.00E+00,1.53E+01,2.04E+04,0.00E+00
PR144,0.00E+00,1.89E-03,0.00E+00,0.00E+00,3.96E+01,0.00E+00
PR144M,0.00E+00,3.35E-05,0.00E+00,0.00E+00,7.01E-01,0.00E+00
PR145,0.00E+00,2.51E-01,0.00E+00,0.00E+00,5.26E+03,0.00E+00
PR146,0.00E+00,1.28E-02,0.00E+00,0.00E+00,2.69E+02,0.00E+00
PR147,0.00E+00,4.85E-03,0.00E+00,0.00E+00,1.02E+02,0.00E+00
PR148,0.00E+00,5.86E-04,0.00E+00,0.00E+00,1.23E+01,0.00E+00
PR149,0.00E+00,3.62E-04,0.00E+00,0.00E+00,7.57E+00,0.00E+00
PR150,0.00E+00,9.38E-06,0.00E+00,0.00E+00,1.97E-01,0.00E+00
PR151,0.00E+00,1.38E-05,0.00E+00,0.00E+00,2.89E-01,0.00E+00
PR152,0.00E+00,8.36E-07,0.00E+00,0.00E+00,1.75E-02,0.00E+00
PR153,0.00E+00,2.42E-07,0.00E+00,0.00E+00,5.07E-03,0.00E+00
PR154,0.00E+00,1.50E-08,0.00E+00,0.00E+00,3.15E-04,0.00E+00
PR155,0.00E+00,6.49E-10,0.00E+00,0.00E+00,1.36E-05,0.00E+00
PR156,0.00E+00,3.69E-11,0.00E+00,0.00E+00,7.73E-07,0.00E+00
PR157,0.00E+00,7.40E-13,0.00E+00,0.00E+00,1.55E-08,0.00E+00
PR158,0.00E+00,1.06E-14,0.00E+00,0.00E+00,2.22E-10,0.00E+00
PR159,0.00E+00,1.32E-16,0.00E+00,0.00E+00,2.76E-12,0.00E+00
ND141,0.00E+00,9.12E-12,0.00E+00,0.00E+00,1.91E-07,0.00E+00
ND142,0.00E+00,5.90E-02,0.00E+00,5.55E-02,7.42E+01,0.00E+00
ND143,0.00E+00,3.87E+01,0.00E+00,3.63E+01,4.86E+04,0.00E+00
ND144,0.00E+00,6.88E+00,0.00E+00,6.46E+00,8.64E+03,0.00E+00
ND145,0.00E+00,3.04E+01,0.00E+00,2.86E+01,3.82E+04,0.00E+00
ND146,0.00E+00,2.66E+01,0.00E+00,2.50E+01,3.35E+04,0.00E+00
ND147,0.00E+00,4.35E+00,0.00E+00,4.09E+00,5.47E+03,0.00E+00
ND148,0.00E+00,1.39E+01,0.00E+00,1.30E+01,1.74E+04,0.00E+00
ND149,0.00E+00,1.71E-02,0.00E+00,0.00E+00,3.58E+02,0.00E+00
ND150,0.00E+00,5.34E+00,0.00E+00,5.02E+00,6.71E+03,0.00E+00
ND151,0.00E+00,8.33E-04,0.00E+00,0.00E+00,1.75E+01,0.00E+00
ND152,0.00E+00,5.04E-04,0.00E+00,0.00E+00,1.06E+01,0.00E+00
ND153,0.00E+00,1.03E-05,0.00E+00,0.00E+00,2.16E-01,0.00E+00
ND154,0.00E+00,3.23E-06,0.00E+00,0.00E+00,6.76E-02,0.00E+00
ND155,0.00E+00,2.73E-07,0.00E+00,0.00E+00,5.71E-03,0.00E+00
ND156,0.00E+00,4.37E-08,0.00E+00,0.00E+00,9.16E-04,0.00E+00
ND157,0.00E+00,1.59E-09,0.00E+00,0.00E+00,3.34E-05,0.00E+00
ND158,0.00E+00,7.01E-11,0.00E+00,0.00E+00,1.47E-06,0.00E+00
ND159,0.00E+00,1.70E-12,0.00E+00,0.00E+00,3.56E-08,0.00E+00
ND160,0.00E+00,2.66E-14,0.00E+00,0.00E+00,5.58E-10,0.00E+00
ND161,0.00E+00,3.89E-16,0.00E+00,0.00E+00,8.14E-12,0.00E+00
PM145,0.00E+00,3.09E-10,0.00E+00,0.00E+00,6.48E-06,0.00E+00
PM146,0.00E+00,2.17E-07,0.00E+00,0.00E+00,4.54E-03,0.00E+00
PM147,0.00E+00,1.19E+01,0.00E+00,1.12E+01,1.50E+04,0.00E+00
PM148,0.00E+00,7.25E-02,0.00E+00,6.81E-02,9.11E+01,0.00E+00
PM148M,0.00E+00,2.42E-02,0.00E+00,0.00E+00,5.07E+02,0.00E+00
PM149,0.00E+00,4.89E-01,0.00E+00,4.60E-01,6.14E+02,0.00E+00
PM150,0.00E+00,3.68E-04,0.00E+00,0.00E+00,7.71E+00,0.00E+00
PM151,0.00E+00,1.13E-01,0.00E+00,1.06E-01,1.42E+02,0.00E+00
PM152,0.00E+00,1.84E-04,0.00E+00,0.00E+00,3.86E+00,0.00E+00
PM152M,0.00E+00,8.28E-06,0.00E+00,0.00E+00,1.73E-01,0.00E+00
PM153,0.00E+00,1.18E-04,0.00E+00,0.00E+00,2.48E+00,0.00E+00
PM154,0.00E+00,2.34E-05,0.00E+00,0.00E+00,4.90E-01,0.00E+00
PM154M,0.00E+00,2.18E-06,0.00E+00,0.00E+00,4.57E-02,0.00E+00
PM155,0.00E+00,2.89E-06,0.00E+00,0.00E+00,6.05E-02,0.00E+00
PM156,0.00E+00,7.60E-07,0.00E+00,0.00E+00,1.59E-02,0.00E+00
PM157,0.00E+00,9.37E-08,0.00E+00,0.00E+00,1.96E-03,0.00E+00
PM158,0.00E+00,5.23E-09,0.00E+00,0.00E+00,1.10E-04,0.00E+00
PM159,0.00E+00,2.82E-10,0.00E+00,0.00E+00,5.92E-06,0.00E+00
PM160,0.00E+00,2.85E-11,0.00E+00,0.00E+00,5.96E-07,0.00E+00
PM161,0.00E+00,7.09E-13,0.00E+00,0.00E+00,1.49E-08,0.00E+00
PM162,0.00E+00,8.79E-15,0.00E+00,0.00E+00,1.84E-10,0.00E+00
SM145,0.00E+00,4.18E-13,0.00E+00,0.00E+00,8.74E-09,0.00E+00
SM146,0.00E+00,1.01E-08,0.00E+00,0.00E+00,2.12E-04,0.00E+00
SM147,0.00E+00,4.04E-01,0.00E+00,3.79E-01,5.07E+02,0.00E+00
SM148,0.00E+00,4.77E-01,0.00E+00,4.48E-01,5.99E+02,0.00E+00
SM149,0.00E+00,6.79E-01,0.00E+00,6.38E-01,8.53E+02,0.00E+00
SM150,0.00E+00,6.76E+00,0.00E+00,6.36E+00,8.50E+03,0.00E+00
SM151,0.00E+00,1.68E+00,0.00E+00,1.58E+00,2.11E+03,0.00E+00
SM152,0.00E+00,3.55E+00,0.00E+00,3.34E+00,4.46E+03,0.00E+00
SM153,0.00E+00,8.46E-02,0.00E+00,7.95E-02,1.06E+02,0.00E+00
SM154,0.00E+00,5.29E-01,0.00E+00,4.98E-01,6.65E+02,0.00E+00
SM155,0.00E+00,1.06E-04,0.00E+00,0.00E+00,2.22E+00,0.00E+00
SM156,0.00E+00,1.56E-03,0.00E+00,0.00E+00,3.28E+01,0.00E+00
SM157,0.00E+00,1.07E-05,0.00E+00,0.00E+00,2.24E-01,0.00E+00
SM158,0.00E+00,2.25E-06,0.00E+00,0.00E+00,4.72E-02,0.00E+00
SM159,0.00E+00,2.67E-08,0.00E+00,0.00E+00,5.60E-04,0.00E+00
SM160,0.00E+00,5.76E-09,0.00E+00,0.00E+00,1.21E-04,0.00E+00
SM161,0.00E+00,4.16E-10,0.00E+00,0.00E+00,8.71E-06,0.00E+00
SM162,0.00E+00,6.52E-12,0.00E+00,0.00E+00,1.37E-07,0.00E+00
SM163,0.00E+00,2.76E-13,0.00E+00,0.00E+00,5.77E-09,0.00E+00
SM164,0.00E+00,9.03E-15,0.00E+00,0.00E+00,1.89E-10,0.00E+00
SM165,0.00E+00,1.86E-16,0.00E+00,0.00E+00,3.90E-12,0.00E+00
EU149,0.00E+00,7.75E-15,0.00E+00,0.00E+00,1.62E-10,0.00E+00
EU151,0.00E+00,1.19E-03,0.00E+00,1.19E-03,1.50E-01,0.00E+00
EU152,0.00E+00,1.08E-03,0.00E+00,1.07E-03,1.36E-01,0.00E+00
EU152M,0.00E+00,5.72E-06,0.00E+00,0.00E+00,1.20E-01,0.00E+00
EU153,0.00E+00,7.98E+00,0.00E+00,7.94E+00,1.00E+03,0.00E+00
EU154,0.00E+00,1.22E+00,0.00E+00,1.21E+00,1.54E+02,0.00E+00
EU155,0.00E+00,5.09E-01,0.00E+00,5.06E-01,6.40E+01,0.00E+00
EU156,0.00E+00,3.49E-01,0.00E+00,3.47E-01,4.38E+01,0.00E+00
EU157,0.00E+00,1.65E-03,0.00E+00,1.64E-03,2.07E-01,0.00E+00
EU158,0.00E+00,2.15E-05,0.00E+00,0.00E+00,4.51E-01,0.00E+00
EU159,0.00E+00,3.54E-06,0.00E+00,0.00E+00,7.42E-02,0.00E+00
EU160,0.00E+00,4.05E-08,0.00E+00,0.00E+00,8.49E-04,0.00E+00
EU161,0.00E+00,8.53E-09,0.00E+00,0.00E+00,1.79E-04,0.00E+00
EU162,0.00E+00,2.18E-10,0.00E+00,0.00E+00,4.56E-06,0.00E+00
EU163,0.00E+00,3.18E-11,0.00E+00,0.00E+00,6.66E-07,0.00E+00
EU164,0.00E+00,1.17E-12,0.00E+00,0.00E+00,2.46E-08,0.00E+00
EU165,0.00E+00,7.89E-14,0.00E+00,0.00E+00,1.65E-09,0.00E+00
GD152,0.00E+00,2.82E-04,0.00E+00,2.65E-04,3.54E-01,0.00E+00
GD153,0.00E+00,1.58E-06,0.00E+00,0.00E+00,3.31E-02,0.00E+00
GD154,0.00E+00,1.32E-02,0.00E+00,1.24E-02,1.66E+01,0.00E+00
GD155,0.00E+00,2.58E-03,0.00E+00,2.43E-03,3.24E+00,0.00E+00
GD155M,0.00E+00,1.83E-15,0.00E+00,0.00E+00,3.84E-11,0.00E+00
GD156,0.00E+00,7.97E-01,0.00E+00,7.49E-01,1.00E+03,0.00E+00
GD157,0.00E+00,6.77E-03,0.00E+00,6.36E-03,8.50E+00,0.00E+00
GD158,0.00E+00,1.11E-01,0.00E+00,1.04E-01,1.39E+02,0.00E+00
GD159,0.00E+00,2.10E-04,0.00E+00,0.00E+00,4.40E+00,0.00E+00
GD160,0.00E+00,3.57E-03,0.00E+00,3.35E-03,4.48E+00,0.00E+00
GD161,0.00E+00,9.95E-08,0.00E+00,0.00E+00,2.09E-03,0.00E+00
GD162,0.00E+00,2.54E-08,0.00E+00,0.00E+00,5.33E-04,0.00E+00
GD163,0.00E+00,1.48E-09,0.00E+00,0.00E+00,3.09E-05,0.00E+00
GD164,0.00E+00,2.92E-10,0.00E+00,0.00E+00,6.11E-06,0.00E+00
GD165,0.00E+00,1.51E-11,0.00E+00,0.00E+00,3.17E-07,0.00E+00
TB159,0.00E+00,3.39E-01,0.00E+00,3.39E-01,0.00E+00,0.00E+00
TB160,0.00E+00,9.40E-03,0.00E+00,9.40E-03,0.00E+00,0.00E+00
TB161,0.00E+00,1.57E-04,0.00E+00,1.57E-04,0.00E+00,0.00E+00
TB162,0.00E+00,2.47E-08,0.00E+00,2.47E-08,0.00E+00,0.00E+00
TB163,0.00E+00,2.78E-08,0.00E+00,2.78E-08,0.00E+00,0.00E+00
TB164,0.00E+00,1.43E-09,0.00E+00,1.43E-09,0.00E+00,0.00E+00
TB165,0.00E+00,3.28E-10,0.00E+00,3.28E-10,0.00E+00,0.00E+00
DY160,0.00E+00,9.34E-02,0.00E+00,9.34E-02,0.00E+00,0.00E+00
DY161,0.00E+00,4.37E-02,0.00E+00,4.37E-02,0.00E+00,0.00E+00
DY162,0.00E+00,4.13E-02,0.00E+00,4.13E-02,0.00E+00,0.00E+00
DY163,0.00E+00,6.67E-02,0.00E+00,6.67E-02,0.00E+00,0.00E+00
DY164,0.00E+00,1.47E-02,0.00E+00,1.47E-02,0.00E+00,0.00E+00
DY165,0.00E+00,1.22E-05,0.00E+00,1.22E-05,0.00E+00,0.00E+00
DY165M,0.00E+00,7.00E-08,0.00E+00,7.00E-08,0.00E+00,0.00E+00
DY166,0.00E+00,8.54E-07,0.00E+00,8.54E-07,0.00E+00,0.00E+00
HO165,0.00E+00,1.02E-01,0.00E+00,1.02E-01,0.00E+00,0.00E+00
HO166,0.00E+00,8.58E-05,0.00E+00,8.58E-05,0.00E+00,0.00E+00
HO166M,0.00E+00,9.73E-06,0.00E+00,9.73E-06,0.00E+00,0.00E+00
ER166,0.00E+00,7.40E-02,0.00E+00,7.40E-02,0.00E+00,0.00E+00
ER167,0.00E+00,1.04E-03,0.00E+00,1.04E-03,0.00E+00,0.00E+00
ER167M,0.00E+00,2.51E-10,0.00E+00,2.51E-10,0.00E+00,0.00E+00
ER168,0.00E+00,2.59E-05,0.00E+00,2.59E-05,0.00E+00,0.00E+00
ER169,0.00E+00,6.75E-09,0.00E+00,6.75E-09,0.00E+00,0.00E+00
ER170,0.00E+00,2.29E-09,0.00E+00,2.29E-09,0.00E+00,0.00E+00
ER171,0.00E+00,1.35E-10,0.00E+00,1.35E-10,0.00E+00,0.00E+00
ER172,0.00E+00,2.47E-10,0.00E+00,2.47E-10,0.00E+00,0.00E+00
TM169,0.00E+00,7.17E-10,0.00E+00,7.17E-10,0.00E+00,0.00E+00
TM170,0.00E+00,3.65E-12,0.00E+00,3.65E-12,0.00E+00,0.00E+00
TM171,0.00E+00,7.65E-10,0.00E+00,7.65E-10,0.00E+00,0.00E+00
TM172,0.00E+00,1.24E-10,0.00E+00,1.24E-10,0.00E+00,0.00E+00
YB168,0.00E+00,3.95E-17,0.00E+00,3.95E-17,0.00E+00,0.00E+00
YB169,0.00E+00,7.15E-16,0.00E+00,7.15E-16,0.00E+00,0.00E+00
YB170,0.00E+00,3.75E-14,0.00E+00,3.75E-14,0.00E+00,0.00E+00
YB171,0.00E+00,1.09E-12,0.00E+00,1.09E-12,0.00E+00,0.00E+00
YB172,0.00E+00,3.95E-11,0.00E+00,3.95E-11,0.00E+00,0.00E+00
TL207,0.00E+00,4.05E-18,0.00E+00,4.05E-18,0.00E+00,0.00E+00
TL208,0.00E+00,1.85E-12,0.00E+00,1.85E-12,0.00E+00,0.00E+00
TL209,0.00E+00,2.94E-17,0.00E+00,2.94E-17,0.00E+00,0.00E+00
PB207,0.00E+00,5.69E-16,0.00E+00,5.69E-16,0.00E+00,0.00E+00
PB208,0.00E+00,1.49E-09,0.00E+00,1.49E-09,0.00E+00,0.00E+00
PB209,0.00E+00,9.72E-14,0.00E+00,9.72E-14,0.00E+00,0.00E+00
PB210,0.00E+00,2.83E-14,0.00E+00,2.83E-14,0.00E+00,0.00E+00
PB211,0.00E+00,3.14E-17,0.00E+00,3.14E-17,0.00E+00,0.00E+00
PB212,0.00E+00,1.08E-09,0.00E+00,1.08E-09,0.00E+00,0.00E+00
PB214,0.00E+00,1.38E-16,0.00E+00,1.38E-16,0.00E+00,0.00E+00
BI209,0.00E+00,3.74E-13,0.00E+00,3.74E-13,0.00E+00,0.00E+00
BI210,0.00E+00,1.39E-18,0.00E+00,1.39E-18,0.00E+00,0.00E+00
BI211,0.00E+00,1.86E-18,0.00E+00,1.86E-18,0.00E+00,0.00E+00
BI212,0.00E+00,1.04E-10,0.00E+00,1.04E-10,0.00E+00,0.00E+00
BI213,0.00E+00,2.97E-14,0.00E+00,2.97E-14,0.00E+00,0.00E+00
BI214,0.00E+00,1.02E-16,0.00E+00,1.02E-16,0.00E+00,0.00E+00
PO216,0.00E+00,6.12E-15,0.00E+00,6.12E-15,0.00E+00,0.00E+00
PO218,0.00E+00,1.62E-17,0.00E+00,1.62E-17,0.00E+00,0.00E+00
AT217,0.00E+00,3.57E-19,0.00E+00,3.57E-19,0.00E+00,0.00E+00
RN220,0.00E+00,2.39E-12,0.00E+00,2.39E-12,0.00E+00,0.00E+00
RN222,0.00E+00,2.93E-14,0.00E+00,2.93E-14,0.00E+00,0.00E+00
FR221,0.00E+00,3.31E-15,0.00E+00,3.31E-15,0.00E+00,0.00E+00
FR223,0.00E+00,7.05E-17,0.00E+00,7.05E-17,0.00E+00,0.00E+00
RA222,0.00E+00,2.40E-17,0.00E+00,2.40E-17,0.00E+00,0.00E+00
RA223,0.00E+00,1.51E-14,0.00E+00,1.51E-14,0.00E+00,0.00E+00
RA224,0.00E+00,1.38E-08,0.00E+00,1.38E-08,0.00E+00,0.00E+00
RA225,0.00E+00,2.24E-10,0.00E+00,2.24E-10,0.00E+00,0.00E+00
RA226,0.00E+00,1.99E-08,0.00E+00,1.99E-08,0.00E+00,0.00E+00
RA228,0.00E+00,3.98E-07,0.00E+00,3.98E-07,0.00E+00,0.00E+00
AC225,0.00E+00,9.91E-12,0.00E+00,9.91E-12,0.00E+00,0.00E+00
AC227,0.00E+00,2.71E-09,0.00E+00,2.71E-09,0.00E+00,0.00E+00
AC228,0.00E+00,4.49E-11,0.00E+00,4.49E-11,0.00E+00,0.00E+00
TH226,0.00E+00,1.18E-15,0.00E+00,1.18E-15,0.00E+00,4.11E-16
TH227,0.00E+00,4.10E-13,0.00E+00,4.10E-13,0.00E+00,1.43E-13
TH228,0.00E+00,1.13E-05,0.00E+00,1.13E-05,0.00E+00,3.94E-06
TH229,0.00E+00,5.90E-04,0.00E+00,5.90E-04,0.00E+00,2.05E-04
TH230,0.00E+00,2.69E-01,0.00E+00,2.69E-01,0.00E+00,9.35E-02
