Isotope;Conversion factors (Sv/Bq)
Nd138;6.4E-10
Nd139;2.0E-11
Nd139m;2.5E-10
Nd141;8.3E-12
Nd147;1.1E-09
Nd149;1.2E-10
Nd151;3.0E-11
Promethium;
Pm141;3.6E-11
Pm143;2.3E-10
Pm144;9.7E-10
Pm145;1.1E-10
Pm146;9.0E-10
Pm147;2.6E-10
Pm148;2.7E-09
Pm148m;1.7E-09
Pm149;9.9E-10
Pm150;2.6E-10
Pm151;7.3E-10
Samarium;
Sm141;3.9E-11
Sm141m;6.5E-11
Sm142;1.9E-10
Sm145;2.1E-10
Sm146;5.4E-08
Sm147;4.9E-08
Sm151;9.8E-11
Sm153;7.4E-10
Sm155;2.9E-11
Sm156;2.5E-10
Europium;
Eu145;7.5E-10
Eu146;1.3E-09
Eu147;4.4E-10
Eu148;1.3E-09
Eu149;1.0E-10
Eu150;1.3E-09
Eu150m;3.8E-10
Eu152;1.4E-09
Eu152m;5.0E-10
Eu154;2.0E-09
Eu155;3.2E-10
Eu156;2.2E-09
Eu157;6.0E-10
Eu158;9.4E-11
Gadolinium;
Gd145;4.4E-11
Gd146;9.6E-10
Gd147;6.1E-10
Gd148;5.6E-08
Gd149;4.5E-10
Gd151;2.0E-10
Gd152;4.1E-08
Gd153;2.7E-10
Gd159;4.9E-10
Terbium;
Tb147;1.6E-10
Tb149;2.5E-10
Tb150;2.5E-10
Tb151;3.4E-10
Tb153;2.5E-10
Tb154;6.5E-10
Tb155;2.1E-10
Tb156;1.2E-09
Tb156n;8.1E-11
Tb156m;1.7E-10
Tb157;3.4E-11
Tb158;1.1E-09
Tb160;1.6E-09
Tb161;7.2E-10
Dysprosium;
Dy155;1.3E-10
Dy157;6.1E-11
Dy159;1.0E-10
Dy165;1.1E-10
Dy166;1.6E-09
Holmium;
Ho155;3.7E-11
Ho157;6.5E-12
Ho159;7.9E-12
Ho161;1.3E-11
Ho162;3.3E-12
Ho162m;2.6E-11
Ho164;9.5E-12
Ho164m;1.6E-11
Ho166;1.4E-09
Ho166m;2.0E-09
Ho167;8.3E-11
Erbium;
Er161;8.0E-11
Er165;1.9E-11
Er169;3.7E-10
Er171;3.6E-10
Er172;1.0E-09
Thulium;
Tm162;2.9E-11
Tm166;2.8E-10
Tm167;5.6E-10
Tm170;1.3E-09
Tm171;1.1E-10
Tm172;1.7E-09
Tm173;3.1E-10
Tm175;2.7E-11
Ytterbium;
Yb162;2.3E-11
Yb166;9.5E-10
Yb167;6.7E-12
Yb169;7.1E-10
Yb175;4.4E-10
Yb177;8.8E-11
Yb178;1.2E-10
Lutetium;
Lu169;4.6E-10
Lu170;9.9E-10
Lu171;6.7E-10
Lu172;1.3E-09
Lu173;2.6E-10
Lu174;2.7E-10
Lu174m;5.3E-10
Lu176;1.8E-09
Lu176m;1.7E-10
Lu177;5.3E-10
Lu177m;1.7E-09
Lu178;4.7E-11
Lu178m;3.8E-11
Lu179;2.1E-10
Hafnium;
Hf170;4.8E-10
Hf172;1.0E-09
Hf173;2.3E-10
Hf175;4.1E-10
Hf177m;8.1E-11
Hf178m;4.7E-09
Hf179m;1.2E-09
Hf180m;1.7E-10
Hf181;1.1E-09
Hf182;3.0E-09
Hf182m;4.2E-11
Hf183;7.3E-11
Hf184;5.2E-10
Tantalum;
Ta172;5.3E-11
Ta173;1.9E-10
Ta174;5.7E-11
Ta175;2.1E-10
Ta176;3.1E-10
Ta177;1.1E-10
Ta178m;7.2E-11
Ta179;6.5E-11
Ta180;8.4E-10
Ta180m;5.4E-11
Ta182;1.5E-09
Ta182m;1.2E-11
Ta183;1.3E-09
Ta184;6.8E-10
Ta185;6.8E-11
Ta186;3.3E-11
Tungsten;
W176;1.0E-10
W177;5.8E-11
W178;2.2E-10
W179;3.3E-12
W181;7.6E-11
W185;4.4E-10
W187;6.3E-10
W188;2.1E-09
Rhenium;
Re177;2.2E-11
Re178;2.5E-11
Re181;4.2E-10
Re182;1.4E-09
Re182m;2.7E-10
Re184;1.0E-09
Re184m;1.5E-09
Re186;1.5E-09
Re186m;2.2E-09
Re187;5.1E-12
Re188;1.4E-09
Re188m;3.0E-11
Re189;7.8E-10
Osmium;
Os180;1.7E-11
Os181;8.9E-11
Os182;5.6E-10
Os185;5.1E-10
Os189m;1.8E-11
Os191;5.7E-10
Os191m;9.6E-11
Os193;8.1E-10
Os194;2.4E-09
Iridium;
Ir182;4.8E-11
Ir184;1.7E-10
Ir185;2.6E-10
Ir186;4.9E-10
Ir186m;6.1E-11
Ir187;1.2E-10
Ir188;6.3E-10
Ir189;2.4E-10
Ir190;1.2E-09
Ir190n;1.2E-10
Ir190m;8.0E-12
Ir192;1.4E-09
Ir192m;3.1E-10
Ir193m;2.7E-10
Ir194;1.3E-09
Ir194m;2.1E-09
Ir195;1.0E-10
Ir195m;2.1E-10
Platinum;
Pt186;9.3E-11
Pt188;7.6E-10
Pt189;1.2E-10
Pt191;3.4E-10
Pt193;3.1E-11
Pt193m;4.5E-10
Pt195m;6.3E-10
Pt197;4.0E-10
Pt197m;8.4E-11
Pt199;3.9E-11
Pt200;1.2E-09
Gold;
Au193;1.3E-10
Au194;4.2E-10
Au195;2.5E-10
Au198;1.0E-09
Au198m;1.3E-09
Au199;4.4E-10
Au200;6.8E-11
Au200m;1.1E-09
Au201;2.4E-11
Mercury;
Hg193;8.2E-11
Hg193m;4.0E-10
Hg194;1.4E-09
Hg195;9.7E-11
Hg195m;5.6E-10
Hg197;2.3E-10
Hg197m;4.7E-10
Hg199m;3.1E-11
Hg203;5.4E-10
Thallium;
Tl194;8.1E-12
Tl194m;4.0E-11
Tl195;2.7E-11
Tl197;2.3E-11
Tl198;7.3E-11
Tl198m;5.4E-11
Tl199;2.6E-11
Tl200;2.0E-10
Tl201;9.5E-11
Tl202;4.5E-10
Tl204;1.2E-09
Lead;
Pb195m;2.9E-11
Pb198;1.0E-10
Pb199;5.4E-11
Pb200;4.0E-10
Pb201;1.6E-10
Pb202;8.8E-09
Pb202m;1.3E-10
Pb203;2.4E-10
Pb205;2.8E-10
Pb209;5.7E-11
Pb210;6.9E-07
Pb211;1.8E-10
Pb212;6.0E-09
Pb214;1.4E-10
Bismuth;
Bi200;5.1E-11
Bi201;1.2E-10
Bi202;8.9E-11
Bi203;4.8E-10
Bi205;9.0E-10
Bi206;1.9E-09
Bi207;1.3E-09
Bi210;1.3E-09
Bi210m;1.5E-08
Bi212;2.6E-10
Bi213;2.0E-10
Bi214;1.1E-10
Polonium;
Po203;4.6E-11
Po205;5.8E-11
Po207;1.1E-10
Po210;1.2E-06
Astatine;
At207;2.4E-10
At211;1.1E-08
Francium;
Fr222;7.2E-10
Fr223;2.4E-09
Radium;
Ra223;1.0E-07
Ra224;6.5E-08
Ra225;9.9E-08
Ra226;2.8E-07
Ra227;8.1E-11
Ra228;6.9E-07
Actinium;
Ac224;7.0E-10
Ac225;2.4E-08
Ac226;1.0E-08
Ac227;1.1E-06
Ac228;4.3E-10
Thorium;
Th226;3.5E-10
Th227;8.8E-09
Th228;7.2E-08
Th229;4.9E-07
Th230;2.1E-07
Th231;3.4E-10
Th232;2.3E-07
Th234;3.4E-09
Protactinium;
Pa227;4.5E-10
Pa228;7.8E-10
Pa230;9.2E-10
Pa231;7.1E-07
Pa232;7.2E-10
Pa233;8.7E-10
