isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
RB93,0.000E+00,2.750E-05,0.000E+00,7.264E-10
RB94,0.000E+00,6.910E-06,0.000E+00,1.661E-10
RB95,0.000E+00,4.569E-07,0.000E+00,0.000E+00
RB96,0.000E+00,8.108E-08,0.000E+00,0.000E+00
RB97,0.000E+00,1.310E-08,0.000E+00,0.000E+00
RB98,0.000E+00,2.459E-09,0.000E+00,0.000E+00
RB99,0.000E+00,1.370E-10,0.000E+00,0.000E+00
RB100,0.000E+00,1.620E-11,0.000E+00,0.000E+00
SR86,0.000E+00,8.897E-01,2.441E-11,6.001E-01
SR87,0.000E+00,7.639E-03,5.834E-10,6.020E-03
SR87M,0.000E+00,8.098E-07,0.000E+00,0.000E+00
SR88,0.000E+00,5.188E+02,3.112E-08,3.561E+02
SR89,0.000E+00,2.469E+01,4.252E-07,2.871E+01
SR90,0.000E+00,7.779E+02,3.272E-06,4.942E+02
SR91,0.000E+00,2.519E-01,0.000E+00,2.821E-01
SR92,0.000E+00,8.098E-02,0.000E+00,8.503E-02
SR93,0.000E+00,4.409E-03,0.000E+00,3.841E-03
SR94,0.000E+00,7.150E-04,0.000E+00,2.641E-04
SR95,0.000E+00,2.310E-04,0.000E+00,7.510E-06
SR96,0.000E+00,2.499E-05,0.000E+00,1.590E-10
SR97,0.000E+00,6.730E-07,0.000E+00,0.000E+00
SR98,0.000E+00,1.150E-06,0.000E+00,0.000E+00
SR99,0.000E+00,2.149E-07,0.000E+00,0.000E+00
SR100,0.000E+00,8.108E-08,0.000E+00,0.000E+00
SR101,0.000E+00,2.789E-09,0.000E+00,0.000E+00
SR102,0.000E+00,4.339E-10,0.000E+00,0.000E+00
SR103,0.000E+00,5.038E-12,0.000E+00,0.000E+00
SR104,0.000E+00,3.009E-13,0.000E+00,0.000E+00
Y89,0.000E+00,6.511E+02,6.644E-09,4.101E+02
Y89M,0.000E+00,6.830E-11,0.000E+00,0.000E+00
Y90,0.000E+00,2.030E-01,2.381E-09,1.270E-01
Y90M,0.000E+00,1.610E-06,0.000E+00,0.000E+00
Y91,0.000E+00,3.899E+01,3.282E-08,4.031E+01
Y91M,0.000E+00,1.280E-02,0.000E+00,1.391E-02
Y92,0.000E+00,1.060E-01,0.000E+00,1.160E-01
Y93,0.000E+00,3.659E-01,0.000E+00,3.911E-01
Y94,0.000E+00,1.200E-02,0.000E+00,1.241E-02
Y95,0.000E+00,7.309E-03,0.000E+00,6.613E-03
Y96,0.000E+00,1.540E-03,0.000E+00,8.920E-10
Y97,0.000E+00,1.090E-05,0.000E+00,6.290E-10
Y98,0.000E+00,2.119E-06,0.000E+00,6.661E-11
Y99,0.000E+00,3.279E-06,0.000E+00,1.671E-10
Y100,0.000E+00,1.409E-06,0.000E+00,0.000E+00
Y101,0.000E+00,5.966E-07,0.000E+00,0.000E+00
Y102,0.000E+00,4.259E-08,0.000E+00,0.000E+00
Y103,0.000E+00,8.677E-09,0.000E+00,0.000E+00
Y104,0.000E+00,3.269E-10,0.000E+00,0.000E+00
Y105,0.000E+00,1.980E-11,0.000E+00,0.000E+00
Y107,0.000E+00,6.301E-15,0.000E+00,0.000E+00
ZR90,0.000E+00,4.449E+01,3.802E-10,2.111E+01
ZR90M,0.000E+00,3.279E-14,0.000E+00,0.000E+00
ZR91,0.000E+00,8.378E+02,9.563E-09,5.303E+02
ZR92,0.000E+00,9.556E+02,1.481E-08,6.642E+02
ZR93,0.000E+00,1.070E+03,5.895E-08,7.961E+02
ZR94,0.000E+00,1.120E+03,9.497E-07,8.973E+02
ZR95,0.000E+00,6.730E+01,4.132E-06,6.722E+01
ZR96,0.000E+00,1.210E+03,1.000E-04,9.955E+02
ZR97,0.000E+00,7.729E-01,0.000E+00,7.923E-01
ZR98,0.000E+00,4.039E-04,0.000E+00,3.291E-05
ZR99,0.000E+00,3.139E-05,0.000E+00,7.463E-10
ZR100,0.000E+00,8.618E-05,0.000E+00,3.911E-09
ZR101,0.000E+00,2.589E-05,0.000E+00,4.482E-10
ZR102,0.000E+00,1.310E-04,0.000E+00,3.221E-10
ZR103,0.000E+00,3.109E-06,0.000E+00,4.611E-11
ZR104,0.000E+00,1.670E-06,0.000E+00,0.000E+00
ZR105,0.000E+00,3.419E-08,0.000E+00,0.000E+00
ZR106,0.000E+00,6.571E-09,0.000E+00,0.000E+00
ZR107,0.000E+00,7.529E-11,0.000E+00,0.000E+00
ZR108,0.000E+00,3.519E-11,0.000E+00,0.000E+00
ZR109,0.000E+00,8.927E-13,0.000E+00,0.000E+00
NB92,0.000E+00,2.060E-11,0.000E+00,0.000E+00
NB93,0.000E+00,1.380E-04,0.000E+00,0.000E+00
NB93M,0.000E+00,9.476E-04,0.000E+00,0.000E+00
NB94,0.000E+00,1.180E-03,2.501E-10,3.041E-03
NB94M,0.000E+00,3.789E-09,0.000E+00,0.000E+00
NB95,0.000E+00,3.739E+01,2.712E-08,3.661E+01
NB95M,0.000E+00,2.720E-02,4.623E-09,4.101E-02
NB96,0.000E+00,2.199E-03,0.000E+00,3.551E-03
NB97,0.000E+00,5.547E-02,0.000E+00,5.754E-02
NB97M,0.000E+00,7.230E-04,0.000E+00,0.000E+00
NB98,0.000E+00,3.719E-05,0.000E+00,3.381E-06
NB98M,0.000E+00,4.509E-04,0.000E+00,2.541E-04
NB99,0.000E+00,1.960E-04,0.000E+00,1.890E-06
NB99M,0.000E+00,9.267E-05,0.000E+00,1.440E-04
NB100,0.000E+00,1.859E-05,0.000E+00,9.732E-10
NB100M,0.000E+00,1.869E-05,0.000E+00,1.180E-10
NB101,0.000E+00,9.127E-05,0.000E+00,4.741E-09
NB102,0.000E+00,3.409E-05,0.000E+00,2.691E-10
NB103,0.000E+00,1.280E-04,0.000E+00,3.341E-10
NB104,0.000E+00,4.129E-06,0.000E+00,3.241E-10
NB105,0.000E+00,2.609E-06,0.000E+00,1.470E-10
NB106,0.000E+00,2.089E-07,0.000E+00,0.000E+00
NB107,0.000E+00,4.129E-08,0.000E+00,0.000E+00
NB108,0.000E+00,2.589E-09,0.000E+00,0.000E+00
NB109,0.000E+00,6.511E-10,0.000E+00,0.000E+00
NB110,0.000E+00,3.239E-11,0.000E+00,0.000E+00
NB111,0.000E+00,3.439E-12,0.000E+00,0.000E+00
MO95,0.000E+00,1.010E+03,1.891E-08,8.223E+02
MO96,0.000E+00,8.138E+01,1.561E-10,4.711E+01
MO97,0.000E+00,1.200E+03,2.831E-08,1.090E+03
MO98,0.000E+00,1.240E+03,2.731E-05,1.150E+03
MO99,0.000E+00,3.589E+00,0.000E+00,3.511E+00
MO100,0.000E+00,1.419E+03,1.471E-04,1.330E+03
MO101,0.000E+00,1.230E-02,0.000E+00,1.120E-02
MO102,0.000E+00,9.197E-03,0.000E+00,8.351E-03
MO103,0.000E+00,8.318E-04,0.000E+00,3.031E-04
MO104,0.000E+00,1.110E-03,0.000E+00,2.131E-04
MO105,0.000E+00,4.599E-04,0.000E+00,3.881E-05
MO106,0.000E+00,4.319E-05,0.000E+00,6.832E-09
MO107,0.000E+00,1.170E-05,0.000E+00,2.631E-10
MO108,0.000E+00,7.519E-07,0.000E+00,0.000E+00
MO109,0.000E+00,1.570E-07,0.000E+00,0.000E+00
MO110,0.000E+00,5.527E-08,0.000E+00,0.000E+00
MO111,0.000E+00,2.320E-09,0.000E+00,0.000E+00
MO112,0.000E+00,7.499E-10,0.000E+00,0.000E+00
MO113,0.000E+00,1.540E-11,0.000E+00,0.000E+00
MO114,0.000E+00,2.579E-12,0.000E+00,0.000E+00
MO115,0.000E+00,6.291E-14,0.000E+00,0.000E+00
TC98,0.000E+00,1.080E-02,1.121E-11,1.190E-02
TC99,0.000E+00,1.130E+03,2.952E-08,1.100E+03
TC99M,0.000E+00,2.869E-01,0.000E+00,2.831E-01
TC100,0.000E+00,8.298E-05,0.000E+00,0.000E+00
TC101,0.000E+00,1.200E-02,0.000E+00,1.180E-02
TC102,0.000E+00,7.309E-05,0.000E+00,6.561E-05
TC102M,0.000E+00,4.619E-06,0.000E+00,6.964E-06
