isotope,ST1-charged (g),ST1-discharged (g)
CD125,0.000E+00,1.834E-07
CD126,0.000E+00,3.204E-07
CD127,0.000E+00,3.499E-08
CD128,0.000E+00,2.669E-08
CD129,0.000E+00,2.720E-09
CD130,0.000E+00,3.247E-09
CD131,0.000E+00,1.186E-10
CD132,0.000E+00,1.291E-11
IN113,0.000E+00,3.332E-02
IN113M,0.000E+00,2.883E-13
IN114,0.000E+00,1.273E-08
IN114M,0.000E+00,2.849E-04
IN115,0.000E+00,3.102E+00
IN115M,0.000E+00,3.545E-03
IN116,0.000E+00,1.900E-06
IN116M,0.000E+00,3.483E-04
IN117,0.000E+00,2.927E-04
IN117M,0.000E+00,9.799E-04
IN118,0.000E+00,9.318E-07
IN118M,0.000E+00,2.048E-08
IN119,0.000E+00,8.106E-06
IN119M,0.000E+00,1.522E-04
IN120,0.000E+00,4.199E-06
IN120M,0.000E+00,2.911E-07
IN121,0.000E+00,4.351E-06
IN121M,0.000E+00,7.638E-06
IN122,0.000E+00,1.877E-06
IN122M,0.000E+00,2.019E-08
IN123,0.000E+00,9.290E-07
IN123M,0.000E+00,3.157E-06
IN124,0.000E+00,8.000E-07
IN125,0.000E+00,3.829E-07
IN125M,0.000E+00,1.438E-06
IN126,0.000E+00,5.514E-07
IN127,0.000E+00,4.478E-07
IN127M,0.000E+00,8.156E-07
IN128,0.000E+00,1.351E-06
IN129,0.000E+00,2.503E-07
IN130,0.000E+00,1.627E-07
IN131,0.000E+00,3.394E-08
IN132,0.000E+00,3.268E-09
IN133,0.000E+00,3.629E-10
IN134,0.000E+00,1.433E-11
SN114,0.000E+00,3.843E-03
SN115,0.000E+00,5.497E-01
SN116,0.000E+00,1.299E+01
SN117,0.000E+00,1.319E+01
SN117M,0.000E+00,1.968E-03
SN118,0.000E+00,1.343E+01
SN119,0.000E+00,1.343E+01
SN119M,0.000E+00,7.005E-02
SN120,0.000E+00,1.356E+01
SN121,0.000E+00,1.877E-02
SN121M,0.000E+00,6.027E-03
SN122,0.000E+00,1.465E+01
SN123,0.000E+00,4.959E-01
SN123M,0.000E+00,4.417E-04
SN124,0.000E+00,1.944E+01
SN125,0.000E+00,1.279E-01
SN125M,0.000E+00,1.513E-04
SN126,0.000E+00,4.257E+01
SN127,0.000E+00,6.274E-03
SN127M,0.000E+00,9.417E-05
SN128,0.000E+00,6.574E-03
SN129,0.000E+00,5.822E-04
SN129M,0.000E+00,2.083E-04
SN130,0.000E+00,8.982E-04
SN131,0.000E+00,2.221E-04
SN132,0.000E+00,7.408E-05
SN133,0.000E+00,8.168E-07
SN134,0.000E+00,6.977E-08
SN135,0.000E+00,2.582E-09
SN136,0.000E+00,3.231E-10
SB121,0.000E+00,1.265E+01
SB122,0.000E+00,8.484E-03
SB122M,0.000E+00,6.849E-08
SB123,0.000E+00,1.509E+01
SB124,0.000E+00,1.294E-01
SB125,0.000E+00,1.994E+01
SB126,0.000E+00,1.578E-02
SB126M,0.000E+00,6.467E-06
SB127,0.000E+00,4.289E-01
SB128,0.000E+00,5.547E-03
SB128M,0.000E+00,1.263E-03
SB129,0.000E+00,5.769E-02
SB130,0.000E+00,2.894E-03
SB130M,0.000E+00,1.999E-03
SB131,0.000E+00,1.281E-02
SB132,0.000E+00,9.216E-04
SB132M,0.000E+00,9.134E-04
SB133,0.000E+00,8.969E-04
SB134,0.000E+00,1.277E-05
SB134M,0.000E+00,1.154E-05
SB135,0.000E+00,1.003E-06
SB136,0.000E+00,2.722E-08
SB137,0.000E+00,5.087E-09
SB138,0.000E+00,2.899E-10
SB139,0.000E+00,2.823E-11
TE122,0.000E+00,1.224E+00
