isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
SE90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.582E-08
BR79,1.432E-13,7.073E-03,1.561E-13,9.327E-03,1.558E-13,1.312E-02,0.000E+00,3.381E-04
BR80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.521E-27,6.446E-08,0.000E+00,5.160E-08
BR80M,0.000E+00,0.000E+00,0.000E+00,1.728E-07,1.061E-26,4.544E-07,0.000E+00,4.072E-07
BR81,1.469E-13,6.131E+01,1.600E-13,4.941E+01,1.597E-13,7.112E+01,0.000E+00,5.996E+01
BR82,5.824E-26,3.290E-03,6.917E-28,2.680E-03,9.211E-25,7.746E-03,0.000E+00,1.878E-02
BR82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.094E-05
BR83,2.760E-23,4.658E-03,1.680E-26,8.023E-03,4.967E-23,1.924E-02,0.000E+00,4.640E-02
BR84,2.686E-23,1.771E-03,5.652E-26,2.767E-03,1.059E-22,6.675E-03,0.000E+00,1.509E-02
BR84M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.931E-04
BR85,3.479E-22,2.232E-04,2.008E-24,3.447E-04,0.000E+00,0.000E+00,0.000E+00,1.595E-03
BR86,0.000E+00,0.000E+00,7.984E-24,1.174E-04,0.000E+00,0.000E+00,0.000E+00,3.309E-04
BR86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.703E-05
BR87,0.000E+00,0.000E+00,2.190E-23,1.130E-04,0.000E+00,0.000E+00,0.000E+00,5.838E-04
BR88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.404E-04
BR89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.957E-05
BR90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.748E-06
BR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.577E-07
BR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.351E-08
KR80,1.453E-13,1.147E-03,1.581E-13,2.166E-03,1.577E-13,3.249E-03,0.000E+00,1.924E-03
KR81,0.000E+00,6.392E-05,0.000E+00,1.190E-04,0.000E+00,1.757E-04,0.000E+00,1.094E-04
KR82,1.490E-13,2.626E+00,1.620E-13,1.680E+00,1.616E-13,2.468E+00,0.000E+00,3.255E+00
KR83,1.506E-13,1.195E+02,1.640E-13,9.604E+01,1.637E-13,1.476E+02,0.000E+00,2.227E+02
KR83M,2.226E-27,3.568E-03,0.000E+00,6.087E-03,4.362E-26,1.462E-02,0.000E+00,3.552E-02
KR84,1.522E-13,3.479E+02,1.661E-13,3.008E+02,1.656E-13,4.187E+02,0.000E+00,3.782E+02
KR85,1.543E-13,7.755E+01,1.680E-13,7.075E+01,1.674E-13,1.139E+02,0.000E+00,8.698E+01
KR85M,8.500E-24,2.001E-02,2.486E-27,3.106E-02,2.892E-23,7.532E-02,0.000E+00,1.516E-01
KR86,1.558E-13,5.659E+02,1.700E-13,4.268E+02,1.695E-13,6.124E+02,0.000E+00,6.029E+02
KR87,6.979E-22,1.111E-02,1.692E-24,1.719E-02,2.542E-21,4.156E-02,0.000E+00,7.182E-02
KR88,2.650E-21,3.348E-02,8.023E-24,4.980E-02,5.387E-21,1.214E-01,0.000E+00,2.240E-01
KR89,5.299E-21,7.859E-04,2.107E-23,9.565E-04,6.762E-21,2.370E-03,0.000E+00,4.448E-03
KR90,6.979E-21,1.420E-04,4.467E-23,1.328E-04,0.000E+00,0.000E+00,0.000E+00,7.182E-04
KR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.219E-04
KR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.193E-05
KR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.676E-06
KR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.818E-08
KR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.131E-08
RB85,1.543E-13,3.447E+02,1.680E-13,2.573E+02,1.674E-13,3.580E+02,0.000E+00,3.322E+02
RB86,1.558E-13,4.296E-02,1.700E-13,3.383E-02,0.000E+00,0.000E+00,0.000E+00,5.910E-01
RB86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.628E-07
RB87,1.579E-13,7.911E+02,1.720E-13,6.007E+02,1.714E-13,8.658E+02,0.000E+00,7.775E+02
RB88,3.542E-23,3.552E-03,5.099E-26,5.572E-03,4.642E-22,1.346E-02,0.000E+00,2.457E-02
RB89,3.280E-22,4.029E-03,5.652E-25,5.454E-03,1.399E-21,1.336E-02,0.000E+00,2.734E-02
RB90,2.177E-22,7.230E-04,4.862E-25,7.232E-04,6.273E-22,1.824E-03,0.000E+00,3.993E-03
RB90M,1.112E-21,2.122E-04,2.585E-24,4.585E-04,2.681E-21,1.082E-03,0.000E+00,2.306E-03
RB91,3.552E-21,3.212E-04,1.119E-23,3.119E-04,0.000E+00,0.000E+00,0.000E+00,2.076E-03
RB92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.410E-04
RB93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.311E-04
RB94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.070E-05
RB95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.516E-06
RB96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.266E-07
RB97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.327E-08
SR86,1.558E-13,2.841E+00,1.700E-13,1.751E+00,1.695E-13,2.422E+00,0.000E+00,7.182E+00
SR87,1.579E-13,1.467E-02,1.720E-13,1.237E-02,1.714E-13,1.717E-02,0.000E+00,5.996E-02
SR87M,3.757E-28,1.357E-06,0.000E+00,1.012E-06,1.066E-26,2.732E-06,0.000E+00,5.191E-06
SR88,1.595E-13,1.090E+03,1.739E-13,8.221E+02,1.735E-13,1.185E+03,0.000E+00,9.951E+02
SR89,1.616E-13,1.975E+01,1.759E-13,2.652E+01,1.754E-13,6.542E+01,0.000E+00,1.344E+02
SR90,1.632E-13,1.582E+03,1.775E-13,9.447E+02,1.775E-13,1.456E+03,0.000E+00,1.529E+03
SR91,4.124E-22,2.038E-01,2.225E-25,2.217E-01,1.590E-21,5.517E-01,0.000E+00,1.450E+00
SR92,1.742E-21,6.079E-02,2.040E-24,6.127E-02,3.940E-21,1.525E-01,0.000E+00,4.996E-01
SR93,4.166E-21,3.148E-03,6.601E-24,2.905E-03,6.669E-21,7.274E-03,0.000E+00,2.833E-02
SR94,7.450E-21,5.291E-04,1.846E-23,4.150E-04,7.555E-21,1.060E-03,0.000E+00,4.732E-03
SR95,7.660E-21,1.504E-04,3.035E-23,8.735E-05,0.000E+00,0.000E+00,0.000E+00,1.430E-03
SR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.351E-04
SR97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.063E-06
SR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.980E-06
SR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.667E-07
SR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.700E-07
Y89,1.616E-13,1.441E+03,1.759E-13,9.327E+02,1.754E-13,1.333E+03,0.000E+00,1.166E+03
Y90,1.632E-13,4.082E-01,1.775E-13,2.466E-01,1.775E-13,3.873E-01,0.000E+00,4.191E-01
Y90M,6.979E-27,2.055E-06,0.000E+00,1.877E-06,1.124E-25,5.182E-06,0.000E+00,2.168E-05
Y91,1.653E-13,3.018E+01,1.794E-13,3.209E+01,1.793E-13,8.051E+01,0.000E+00,2.188E+02
