Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
14.0,1.2865192823740375,161.220472440945,0.37465762001996833,1076811185040.8357,2143833177.490391,0.09712789887154355,7161956.179416848,1079.791959817588,79621023299.68073,4.550076196507399e+16,3.696215420113685e+23
21.0,1.2850967880092392,161.220472440945,0.5619864300299525,1143076013663.1567,2275760427.202103,0.10484562023147126,7731040.683734749,1233.4429428065696,90950843257.45412,6.975403017287285e+16,5.666408886469921e+23
28.0,1.2821009717748537,161.220472440945,0.7493152400399367,1180677302369.0325,2350621174.7165284,0.10975052305417148,8092715.336317696,1329.1331372962045,98006786891.53831,9.456032561673827e+16,7.681527046598564e+23
42.0,1.2771091477424323,161.220472440945,1.123972860059905,1234170567865.4468,2457121403.2957535,0.11638924632207864,8582237.355062364,1444.1182553978088,106485487519.23236,1.455980263953827e+17,1.1827530948027227e+24
56.0,1.2735590606853338,161.220472440945,1.4986304800798733,1271235886831.001,2530915083.78172,0.1206219255108912,8894344.002318239,1511.8805219586584,111482099093.92128,1.9822995620773872e+17,1.6103040679316957e+24
70.0,1.269662796648403,161.220472440945,1.8732881000998418,1300963852701.7534,2590100761.288037,0.12371795558366122,9122637.12889623,1559.6660426673145,115005677893.65045,2.5217206620247942e+17,2.0484981775359983e+24
84.0,1.26601947459301,161.220472440945,2.24794572011981,1321955915964.6855,2631894050.875147,0.12588457217031088,9282397.74589161,1595.6428116710827,117658510355.5445,3.072089550142235e+17,2.4955856290762616e+24
98.0,1.2623823771987106,161.220472440945,2.6226033401397784,1343200945538.8125,2674190973.3909082,0.12789452828137562,9430606.630848909,1627.009773017331,119971427707.33856,3.6318972662573766e+17,2.9503406316829627e+24
112.0,1.2587988491902862,161.220472440945,2.9972609601597466,1358420399564.9226,2704491522.770164,0.1293797757969987,9540124.882000914,1652.8378999022175,121875925952.38573,4.1997933705778035e+17,3.411666167159243e+24
140.0,1.2504828169694484,161.220472440945,3.7465762001996836,1387481396695.3809,2762349326.1480765,0.13203653216060904,9736027.118913596,1697.421624853827,125163412741.74686,5.356921069658031e+17,4.3516489410002587e+24
168.0,1.2432826235720527,161.220472440945,4.49589144023962,1408833071388.7195,2804858569.401178,0.13398648612146455,9879811.60289587,1733.3801217788746,127814897868.54326,6.538202919444468e+17,5.311253132251508e+24
196.0,1.2342785700439505,161.220472440945,5.245206680279557,1428342716780.539,2843700499.7721643,0.13568039524592518,10004716.013083372,1764.7738488309346,130129788853.19014,7.740792656368966e+17,6.288166603085857e+24
224.0,1.2277208642121242,161.220472440945,5.994521920319493,1443198708692.718,2873277429.1245933,0.13695552415860984,10098740.670281332,1791.4301180278644,132095352137.40817,8.962982420430156e+17,7.28100198806153e+24
252.0,1.2199253823685385,161.220472440945,6.74383716035943,1457228802562.379,2901210070.556009,0.13809347908830952,10182650.478228884,1815.5304271050343,133872445635.01768,1.0202694626531008e+18,8.288071578722542e+24
280.0,1.2132833971882864,161.220472440945,7.493152400399367,1468389611629.8823,2923430226.790402,0.13897962275343634,10247992.384849345,1837.0574411189787,135459791112.81357,1.1459384798429413e+18,9.30893307445786e+24
308.0,1.205227254355172,161.220472440945,8.242467640439305,1478564817552.4854,2943688136.763584,0.13975972080240867,10305514.766238214,1856.8743138127584,136921035260.94077,1.2732262378442445e+18,1.0342944272506048e+25
336.0,1.1977596933387378,161.220472440945,8.99178288047924,1488862223844.8638,2964189336.563865,0.14051790690958071,10361421.418585245,1875.8995765623106,138323908170.75626,1.402033375051899e+18,1.1389298017379772e+25
365.0,1.191116048068641,161.220472440945,9.767859379092032,1502592626165.7222,2991525319.366301,0.14149479276598076,10433454.416077368,1896.1621616827656,139818017982.66858,1.5369838294148928e+18,1.24855564728991e+25
396.0,1.1827758671331892,161.220472440945,10.597458394850534,1512440035722.3376,3011130616.574472,0.14219068628789433,10484767.776784128,1914.961638837363,141204242055.68433,1.6829300053612923e+18,1.367113773075536e+25
427.0,1.1731568871177958,161.220472440945,11.427057410609036,1523920680172.9878,3033987535.980767,0.14299357629468307,10543970.77728471,1934.0978856812826,142615298641.14508,1.8304931264499297e+18,1.486985410395937e+25
458.0,1.1686781249093385,161.220472440945,12.256656426367536,1529454153977.4644,3045004179.2824063,0.14337732343253978,10572267.283409499,1950.2591164099936,143806985351.44397,1.9797175259330616e+18,1.6082065729888038e+25
488.0,1.1587636261675713,161.220472440945,13.059494183553182,1540014582086.2607,3066029031.608101,0.14411833138870017,10626907.264015265,1967.8163191363997,145101607370.66382,2.1255742402838487e+18,1.7266920254136045e+25
519.0,1.1514654103559958,161.220472440945,13.889093199311684,1553525885266.2026,3092928807.939076,0.1450521045701107,10695761.24607887,1986.6514300895722,146490458986.4028,2.2778138897296689e+18,1.8503626004835944e+25
549.0,1.142171129387897,161.220472440945,14.691930956497332,1560258375165.4973,3106332583.2840357,0.14552545493989097,10730664.859204082,2002.135034379369,147632179302.72116,2.4264719234243773e+18,1.971123680679995e+25
