Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
21029.78267298146,0.0,54,10076.74267298146,0.0,0.0,10937960299.061087,2245699.9739009794,0.001208649344039609,9190.771053634528,317.6847560819401,2415727832.7064195,5.717714011292924e+19,3.1150244399290742e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
22854.78267298146,0.0,54,10076.74267298146,0.0,0.0,9711904938.637808,1993975.4827140747,0.0011519085351376207,8759.304485942324,302.865075763077,2303036513.6150646,5.717712749985092e+19,3.115023752765513e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
24679.78267298146,0.0,54,10076.74267298146,0.0,0.0,8650635926.98927,1776083.6887599844,0.0011008655628563157,8371.165217553234,289.49545208728455,2201371666.9137263,5.717711488677551e+19,3.11502306560211e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
26504.78267298146,0.0,54,10076.74267298146,0.0,0.0,7727829418.753912,1586619.9775379125,0.001054812993559061,8020.9738051886925,277.4265872358953,2109598007.106287,5.717710227370328e+19,3.1150223784388805e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
28329.78267298146,0.0,54,10076.74267298146,0.0,0.0,6922682003.252491,1421313.148792777,0.0010131790922858857,7704.382680923922,266.52486457704373,2026699491.0546033,5.71770896606341e+19,3.1150216912758173e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
31979.78267298146,0.0,54,10076.74267298146,0.0,0.0,5600323999.48038,1149816.5211433154,0.000941300739306288,7157.807705141565,247.7546135576922,1883967373.9282844,5.717706443450551e+19,3.1150203169502226e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
35629.78267298146,0.0,54,10076.74267298146,0.0,0.0,4578881205.249804,940101.5474528502,0.0008820727123801272,6707.427917057218,232.36264670254104,1766924292.633906,5.717703920838603e+19,3.115018942625124e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
39279.78267298146,0.0,54,10076.74267298146,0.0,0.0,3783963426.7285423,776894.9910502038,0.0008330345159009407,6334.533297996737,219.6863486134851,1670531609.2483764,5.7177013982278885e+19,3.1150175683006975e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
42929.78267298146,0.0,54,10076.74267298146,0.0,0.0,3161477329.641737,649090.814242069,0.0007922256082462604,6024.215562705938,209.193143414589,1590739528.0484374,5.717698875618434e+19,3.115016193976958e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
46579.78267298146,0.0,54,10076.74267298146,0.0,0.0,2671418857.500074,548475.6841804839,0.0007580701322772856,5764.491630858526,200.45596196297663,1524300544.0934682,5.7176963530098614e+19,3.1150148196536983e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
55704.78267298146,0.0,54,10076.74267298146,0.0,0.0,1846221918.9754107,379052.437739639,0.0006940523090423366,5277.689433342767,184.21705635627688,1400817199.3758554,5.7176900464925155e+19,3.115011383847776e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
64829.78267298146,0.0,54,10076.74267298146,0.0,0.0,1375506342.4906187,282408.64594260516,0.0006503586217142645,4945.435352618886,173.27318400815602,1317598170.0620196,5.7176837399821615e+19,3.1150079480456626e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
73954.78267298147,0.0,54,10076.74267298146,0.0,0.0,1099938673.5067844,225831.15890436166,0.0006188799599609953,4706.066362203402,165.49207169790122,1258429295.2027905,5.717677433478575e+19,3.1150045122472365e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
83079.78267298147,0.0,54,10076.74267298146,0.0,0.0,933720611.7421188,191704.51309830375,0.0005949300129407057,4523.946973403283,159.65029817306433,1214007475.69101,5.717671126982056e+19,3.1150010764526605e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
92204.78267298147,0.0,54,10076.74267298146,0.0,0.0,829728588.5390655,170353.6508344269,0.0005757865751986051,4378.377082239393,155.03910278256092,1178943177.409057,5.7176648204924535e+19,3.114997640661853e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
101329.78267298147,0.0,54,10076.74267298146,0.0,0.0,761731676.9538465,156393.0349245866,0.0005598463298628724,4257.164799998925,151.24151708968515,1150065702.8694806,5.717658514009919e+19,3.114994204874895e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
119579.78267298147,0.0,54,10076.74267298146,0.0,0.0,681092445.7732251,139836.79277281527,0.0005340845957863065,4061.268280458372,145.18025829831166,1103974880.8100781,5.7176459010664145e+19,3.1149873333127293e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
137829.78267298147,0.0,54,10076.74267298146,0.0,0.0,634622826.1098919,130295.99898568717,0.0005134783550682705,3904.574991664974,140.38745401419098,1067529598.2329106,5.717633288150524e+19,3.114980461765608e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
156079.78267298147,0.0,54,10076.74267298146,0.0,0.0,602977004.8436916,123798.71630697041,0.0004962012512690921,3773.1970148587206,136.3954515274065,1037173745.9896535,5.7176206752624075e+19,3.1149735902336175e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
174329.78267298147,0.0,54,10076.74267298146,0.0,0.0,579008806.6876968,118877.74562306775,0.0004813041079825284,3659.916654450476,132.96542982044997,1011091289.2596716,5.717608062401948e+19,3.1149667187166943e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
192579.78267298147,0.0,54,10076.74267298146,0.0,0.0,559695466.0975871,114912.47538316085,0.0004682161148037918,3560.393372987167,129.9565494297763,988211261.2889237,5.7175954495692005e+19,3.114959847214869e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
229079.78267298147,0.0,54,10076.74267298146,0.0,0.0,529676274.0330498,108749.16001241053,0.0004460672295773132,3391.9695582441523,124.86305511297769,949479481.5882678,5.717570223987162e+19,3.114946104256686e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
265579.78267298144,0.0,54,10076.74267298146,0.0,0.0,506801751.1739756,104052.73453790687,0.00042784775446682937,3253.425632924848,120.6597303591313,917516699.6058942,5.717544998516666e+19,3.114932361359271e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
302079.78267298144,0.0,54,10076.74267298146,0.0,0.0,488396282.10087305,100273.8616688355,0.0004124962488786018,3136.6902258477007,117.09915552491792,890441495.1373966,5.717519773157191e+19,3.114918618522341e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
338579.78267298144,0.0,54,10076.74267298146,0.0,0.0,473062809.33163637,97125.70804090159,0.00039935868097169905,3036.789969888962,114.03187505037661,867117383.1955723,5.7174945479092265e+19,3.1149048757461616e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
375079.78267298144,0.0,54,10076.74267298146,0.0,0.0,459997485.3826934,94443.23371763424,0.0003879957157525328,2950.3840885348845,111.35903512830755,846792662.9548388,5.717469322772247e+19,3.1148911330304478e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
466329.7826729815,0.0,54,10076.74267298146,0.0,0.0,434329918.1224115,89173.36131450761,0.0003654467960814048,2778.9183452023485,105.97890227865615,805881236.0772811,5.717406260416984e+19,3.1148567765065828e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
557579.7826729815,0.0,54,10076.74267298146,0.0,0.0,415479267.7400408,85303.08715787712,0.00034885489751409885,2652.7507831801267,101.925280084535,775056817.309485,5.717343198757237e+19,3.1148224203616356e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
648829.7826729815,0.0,54,10076.74267298146,0.0,0.0,401066107.9232358,82343.88528298933,0.00033622125824531293,2556.6824845737337,98.75639070552471,750960054.3232608,5.717280137792898e+19,3.1147880645955493e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
740079.7826729815,0.0,54,10076.74267298146,0.0,0.0,389628886.9558246,79995.68085311774,0.0003262562344876981,2480.906783083538,96.18670573895204,731419741.5566145,5.717217077524217e+19,3.114753709208459e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
831329.7826729815,0.0,54,10076.74267298146,0.0,0.0,380214513.91839755,78062.79238887099,0.00031810638613875733,2418.9339779301336,94.026970522434,714996755.0143418,5.717154017951013e+19,3.1147193542002666e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
922579.7826729815,0.0,54,10076.74267298146,0.0,0.0,372189439.72910655,76415.14434438218,0.0003112019615175587,2366.4315823731026,92.15069949366196,700729277.3997211,5.7170909590735405e+19,3.1146849995711096e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
1105079.7826729815,0.0,54,10076.74267298146,0.0,0.0,358750495.08622825,73655.96102239123,0.0002997277968747609,2279.1801220684943,88.937044521424,676292109.3816617,5.716964843405663e+19,3.114616291449836e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
1470079.7826729815,0.0,54,10076.74267298146,0.0,0.0,337762250.705458,69346.81209796434,0.00028204649788276625,2144.7285776502017,83.69223284891713,636409687.2886406,5.716712620415124e+19,3.1144788797537825e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
1835079.7826729817,0.0,54,10076.74267298146,0.0,0.0,319093971.2031018,65513.98096263684,0.0002663318722468508,2025.2319452104277,79.04679046626235,601084969.1705366,5.716460408552518e+19,3.1143414741202536e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
2200079.7826729817,0.0,54,10076.74267298146,0.0,0.0,302130652.14559317,62031.1995186421,0.0002520696116925788,1916.7793389123178,74.81232752552718,568885407.2253629,5.716208207816616e+19,3.1142040745485805e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
2565079.7826729817,0.0,54,10076.74267298146,0.0,0.0,286501971.2145046,58822.435964977965,0.0002389335230163877,1816.890331270448,70.90837185261202,539199077.6292372,5.715956018207832e+19,3.1140666810389875e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
2930079.7826729817,0.0,54,10076.74267298146,0.0,0.0,272043408.90869343,55853.91239156612,0.00022678227275681033,1724.4901990882452,67.29624683112137,511731876.94498533,5.715703839725072e+19,3.11392929359088e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
3295079.7826729817,0.0,54,10076.74267298146,0.0,0.0,258640767.56915858,53102.18259154288,0.0002155191520867711,1638.8435523264886,63.947884332215864,486270370.4428914,5.7154516723679715e+19,3.113791912204058e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
3660079.7826729817,0.0,54,10076.74267298146,0.0,0.0,246197667.8078225,50547.45867179356,0.0002050630431819037,1559.3335575290594,60.83931900630183,462632321.6104201,5.7151995161363096e+19,3.113654536878403e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
7310079.782672981,0.0,54,10076.74267298146,0.0,0.0,159270539.92429712,32700.232728207255,0.0001320391156992352,1004.0474422962675,39.12647488584581,297524236.11111915,5.7126785655983505e+19,3.112281116920342e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
18260079.782672983,0.0,54,10076.74267298146,0.0,0.0,47287665435.63383,9708748.80975357,0.0017962615284201685,13659.072039028364,36.84332672770599,280162796.99193096,5.705122383906787e+19,3.1081644908359878e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
36510079.78267298,0.0,54,10076.74267298146,0.0,0.0,47258110148.421616,9702680.739847815,0.001759322672305081,13378.18282065322,25.812789876172538,196284756.35006198,5.6925509514259644e+19,3.1013155439762225e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
73010079.78267297,0.0,54,10076.74267298146,0.0,0.0,47250276831.973114,9701072.462064479,0.0017489317685140727,13299.168656409094,22.671258315248913,172396026.77220526,5.667491130168246e+19,3.087662892667698e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
182510079.78267297,0.0,54,10076.74267298146,0.0,0.0,2026385.3451984192,416.04224118605043,1.0607964084114723e-06,8.066472688962238,0.17517236865566232,1332039.8866524324,5.5929716379583185e+19,3.047064492848023e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
365010079.782673,0.0,54,10076.74267298146,0.0,0.0,47255324777.19261,9702108.868317358,0.0017491274773481949,13300.656859001898,22.556735193086958,171525173.86409873,5.470943506080706e+19,2.980583271085814e+25,0.4,0.912,7.604166666666667,6.9350000000000005,1504.0640578268658,20993.213896530953
