Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
450.0,1.2594082976569476,250000.0,5.358874565584748,598880781430.1553,122957710.43737876,0.05750130117804007,437249.4777080131,980.6283493903966,7456861406.822807,2.6186514248774236e+18,1.4266476378561863e+24
475.0,1.2576935111799825,250000.0,5.656589819228345,599520592286.701,123089071.6038633,0.0575148465707349,437352.47913163,984.7341304470278,7488082450.274274,2.7665509582469873e+18,1.507223661803931e+24
500.0,1.2568001403768438,250000.0,5.954305072871942,600740582032.0792,123339550.74846125,0.05756954170712731,437768.39006461395,988.9302113596955,7519990148.881017,2.9144329205665654e+18,1.5877901130010922e+24
700.0,1.2511880158113142,250000.0,8.336027102020719,605618635193.6825,124341076.03820293,0.05766517729976471,438495.6190502941,1014.4896745219557,7714348566.677371,4.0966941916432753e+18,2.231888916563461e+24
900.0,1.2446079121398725,250000.0,10.717749131169496,610303417939.7631,125302920.4957576,0.057859302134120015,439971.776644871,1035.2140149751706,7871939905.540359,5.277188905734559e+18,2.8750252956021017e+24
1100.0,1.239793561362813,250000.0,13.099471160318272,614649310550.089,126195186.57231514,0.05808285585826731,441671.716422241,1051.8523472926072,7998460557.537534,6.455931099837703e+18,3.51720689750713e+24
1300.0,1.234204071225016,250000.0,15.48119318946705,618267206716.6156,126937985.87900512,0.058288654485298574,443236.6434819579,1065.6038411830164,8103029208.995852,7.632942036014845e+18,4.158445305901488e+24
1500.0,1.2277872911185626,250000.0,17.862915218615825,621947557854.1426,127693607.97192863,0.05852335751822493,445021.3644615021,1077.66582834938,8194750569.740077,8.808307827360245e+18,4.79878743540747e+24
1700.0,1.2219890985572344,250000.0,20.244637247764604,624843121659.7433,128288103.41576603,0.0587178439921173,446500.2720233919,1088.2470018724207,8275211576.738199,9.981816183620508e+18,5.438117629780921e+24
1900.0,1.2167584647541765,250000.0,22.62635927691338,627634353154.8455,128861178.13210419,0.05891676309376882,448012.8860255337,1098.014737003413,8349487062.630119,1.1153421651733195e+19,6.076411126083353e+24
2100.0,1.2097803521473223,250000.0,25.008081306062156,630619967714.5099,129474162.1213853,0.05913743081297672,449690.8801403438,1107.351345866212,8420484192.52432,1.232325246645147e+19,6.713737786918835e+24
2300.0,1.205234917941498,250000.0,27.389803335210935,633673216184.706,130101032.19792248,0.059368621081092844,451448.8894708102,1116.3846187989475,8489174705.45033,1.3491186154027604e+19,7.35003088829301e+24
2500.0,1.1996865696995576,250000.0,29.77152536435971,636189984914.8687,130617756.27783397,0.059565050535103414,452942.5717773489,1124.9247817444227,8554115527.848214,1.4657320302555054e+19,7.985343596435521e+24
2865.0,1.1874966222488534,250000.0,34.118168067556226,638911615843.9905,131176541.1279693,0.059757200697254924,454403.713635376,1137.9253535229814,8652974042.414337,1.678048662592277e+19,9.14204975107393e+24
3230.0,1.1771574529356443,250000.0,38.46481077075275,644073128721.7107,132236264.24067622,0.060173424380151795,457568.7478907376,1153.0559380424015,8768029528.864096,1.889692729288864e+19,1.0295091751817106e+25
3595.0,1.1675786642096708,250000.0,42.811453473949264,649144735988.4365,133277528.60762589,0.060589496071203314,460732.6263747752,1167.9901736600536,8881591945.539991,2.1006486318499815e+19,1.1444384617684984e+25
3960.0,1.157746973060958,250000.0,47.15809617714578,653560087182.822,134184055.39972313,0.0609628485308662,463571.66070346173,1182.5099222221456,8992002533.564232,2.3109088459721638e+19,1.2589887356090072e+25
