isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
SE77,4.837E-22,8.280E+00,5.907E-22,5.028E+00,2.632E+00,8.876E+00,4.789E+00,1.159E+01,6.402E+00,1.653E+01
SE77M,4.837E-22,1.965E-09,5.907E-22,1.976E-09,0.000E+00,2.388E-09,0.000E+00,2.637E-09,0.000E+00,9.592E-10
SE78,4.837E-22,1.765E+01,5.907E-22,1.095E+01,5.722E+00,2.027E+01,1.093E+01,2.761E+01,1.523E+01,4.254E+01
SE79,4.837E-22,2.845E+01,5.907E-22,1.581E+01,8.271E+00,2.917E+01,1.572E+01,3.961E+01,2.185E+01,6.080E+01
SE79M,4.837E-22,3.252E-05,5.907E-22,3.021E-05,0.000E+00,3.489E-05,0.000E+00,3.657E-05,0.000E+00,1.158E-05
SE80,4.837E-22,5.672E+01,5.907E-22,3.464E+01,1.811E+01,6.316E+01,3.403E+01,8.486E+01,4.679E+01,1.274E+02
SE81,4.837E-22,4.998E-04,5.907E-22,5.165E-04,0.000E+00,6.005E-04,0.000E+00,6.327E-04,0.000E+00,2.030E-04
SE81M,4.837E-22,3.285E-05,5.907E-22,3.149E-05,0.000E+00,3.643E-05,0.000E+00,3.823E-05,0.000E+00,1.214E-05
SE82,4.837E-22,1.361E+02,5.907E-22,7.876E+01,4.120E+01,1.444E+02,7.779E+01,1.948E+02,1.075E+02,2.956E+02
SE83,4.837E-22,6.482E-04,5.907E-22,6.171E-04,0.000E+00,7.141E-04,0.000E+00,7.501E-04,0.000E+00,2.388E-04
SE83M,4.837E-22,4.930E-05,5.907E-22,4.840E-05,0.000E+00,5.585E-05,0.000E+00,5.849E-05,0.000E+00,1.849E-05
SE84,4.837E-22,3.997E-04,5.907E-22,4.135E-04,0.000E+00,4.772E-04,0.000E+00,4.997E-04,0.000E+00,1.580E-04
SE85,4.837E-22,4.778E-05,5.907E-22,5.305E-05,0.000E+00,6.122E-05,0.000E+00,6.411E-05,0.000E+00,2.027E-05
SE85M,4.837E-22,1.645E-05,5.907E-22,1.840E-05,0.000E+00,2.123E-05,0.000E+00,2.224E-05,0.000E+00,7.027E-06
