isotope,SNF (g),FP1 (g)
NB97,2.87E-04,1.08E+03
NB97M,1.11E-08,4.19E-02
NB98,1.80E-07,6.78E-01
NB98M,1.86E-06,7.03E+00
NB99,7.77E-07,2.93E+00
NB99M,1.35E-06,5.09E+00
NB100,7.19E-08,2.71E-01
NB100M,1.68E-08,6.33E-02
NB101,2.71E-07,1.02E+00
NB102,2.00E-08,7.56E-02
NB102M,2.79E-08,1.05E-01
NB103,1.62E-08,6.12E-02
NB104,7.23E-09,2.73E-02
NB104M,1.12E-09,4.22E-03
NB105,3.02E-09,1.14E-02
NB106,6.85E-11,2.58E-04
NB107,5.37E-12,2.03E-05
NB108,4.80E-13,1.81E-06
NB109,2.89E-13,1.09E-06
NB110,1.46E-14,5.51E-08
NB111,1.85E-15,6.97E-09
NB112,2.25E-17,8.48E-11
NB113,6.29E-18,2.37E-11
MO91,4.64E-26,1.75E-19
MO92,6.96E-18,2.63E-11
MO93,4.25E-15,1.60E-08
MO93M,3.13E-16,1.18E-09
MO94,2.62E-11,9.88E-05
MO95,2.56E-04,9.67E+02
MO96,7.86E-06,2.96E+01
MO97,8.40E-03,3.17E+04
MO98,1.14E-02,4.30E+04
MO99,7.72E-03,2.91E+04
MO100,1.02E-02,3.85E+04
MO101,3.62E-05,1.37E+02
MO102,2.16E-05,8.13E+01
MO103,1.39E-06,5.26E+00
MO104,7.57E-07,2.86E+00
MO105,2.13E-07,8.03E-01
MO106,2.44E-08,9.21E-02
MO107,4.17E-09,1.57E-02
MO108,6.63E-10,2.50E-03
MO109,5.49E-11,2.07E-04
MO110,4.90E-12,1.85E-05
MO111,3.35E-13,1.26E-06
MO112,5.98E-14,2.26E-07
MO113,6.94E-15,2.62E-08
MO114,4.08E-16,1.54E-09
MO115,1.61E-17,6.08E-11
TC93,1.74E-34,6.56E-28
TC95,1.22E-17,4.60E-11
TC95M,7.65E-18,2.88E-11
TC96,1.81E-20,6.83E-14
TC97,1.96E-12,7.39E-06
TC97M,1.91E-12,7.22E-06
TC98,3.22E-10,1.21E-03
TC99,2.72E-03,1.03E+04
TC99M,5.64E-04,2.13E+03
TC100,8.07E-10,3.04E-03
TC101,3.52E-05,1.33E+02
TC102,1.68E-07,6.34E-01
TC102M,1.27E-08,4.80E-02
TC103,1.15E-06,4.35E+00
TC104,1.47E-05,5.54E+01
TC105,3.08E-06,1.16E+01
TC106,1.18E-07,4.47E-01
TC107,3.33E-08,1.26E-01
TC108,5.23E-09,1.97E-02
TC109,3.35E-10,1.26E-03
TC110,1.41E-10,5.34E-04
TC111,1.07E-11,4.03E-05
TC112,2.13E-12,8.05E-06
TC113,3.38E-13,1.28E-06
TC114,6.54E-14,2.47E-07
TC115,1.36E-14,5.12E-08
TC116,1.27E-15,4.78E-09
TC117,5.48E-17,2.07E-10
TC118,6.49E-18,2.45E-11
RU96,1.00E-22,1.37E-19
RU97,3.23E-18,1.22E-11
RU98,5.30E-15,2.00E-08
RU99,8.61E-08,3.25E-01
RU100,3.08E-06,1.16E+01
RU101,7.35E-03,2.77E+04
RU102,5.71E-03,2.15E+04
RU103,3.72E-03,1.40E+04
RU104,2.39E-03,9.02E+03
RU105,1.09E-04,4.12E+02
RU106,6.08E-04,2.29E+03
RU107,3.54E-07,1.34E+00
RU108,2.80E-07,1.05E+00
RU109,1.89E-08,7.12E-02
RU110,6.01E-09,2.27E-02
RU111,5.32E-10,2.01E-03
RU112,2.07E-10,7.79E-04
RU113,3.77E-11,1.42E-04
RU114,8.49E-12,3.20E-05
RU115,3.18E-12,1.20E-05
RU116,6.53E-13,2.46E-06
RU117,7.43E-14,2.80E-07
RU118,1.44E-14,5.44E-08
