isotope,ST1-discharged (g)
PO211,2.34E-21
PO212,2.65E-18
PO213,1.75E-23
PO214,3.22E-22
PO215,2.98E-21
PO216,6.12E-16
PO218,6.09E-17
AT217,5.90E-22
AT218,9.83E-23
RN217,1.28E-27
RN218,2.29E-27
RN219,6.74E-18
RN220,2.39E-13
RN222,1.10E-13
FR221,5.47E-18
FR223,3.15E-17
RA223,1.71E-12
RA224,1.38E-09
RA225,2.44E-14
RA226,1.72E-08
RA228,1.55E-13
AC225,1.64E-14
AC227,1.21E-09
AC228,1.90E-17
TH227,2.81E-12
TH228,2.68E-07
TH229,4.46E-09
TH230,6.72E-04
TH231,9.04E-09
TH232,8.51E-04
TH234,1.43E-05
PA231,1.76E-05
PA232,1.83E-16
PA233,1.04E-06
PA234,2.65E-10
PA234M,4.78E-10
U232,1.50E-05
U233,1.75E-04
U234,4.29E+01
U235,2.22E+03
U236,7.65E+02
U237,5.20E-06
U238,9.85E+05
U240,1.56E-14
NP235,2.31E-09
NP236,3.94E-06
NP237,3.08E+01
NP238,2.27E-09
NP239,2.35E-06
NP240,1.37E-18
NP240M,1.33E-16
PU236,5.70E-06
PU237,4.46E-18
PU238,3.86E+00
PU239,2.57E+03
PU240,1.01E+03
PU241,1.67E+02
PU242,5.90E+01
PU243,1.14E-17
PU244,7.99E-04
PU246,2.43E-19
AM241,4.72E+01
AM242,1.58E-07
AM242M,1.23E-02
AM243,2.73E+00
AM244,1.43E-22
AM245,9.61E-22
AM246M,3.89E-22
CM240,9.60E-32
CM241,1.34E-25
CM242,2.09E-04
CM243,2.70E-03
CM244,1.61E-01
CM245,1.94E-03
CM246,1.67E-04
CM247,3.20E-07
CM248,6.23E-09
CM250,3.83E-13
BK247,3.55E-20
BK248,1.13E-18
BK249,2.52E-13
BK250,4.04E-20
CF248,3.49E-20
CF249,1.33E-11
CF250,3.28E-12
CF251,7.52E-13
CF252,3.88E-13
CF254,2.91E-23
ES252,1.23E-22
ES254,8.18E-17
