isotope,ST1-charged (g),ST1-discharged (g),ST2-DF-charged (g),ST2-DF-discharged (g),ST2-BB-charged (g),ST2-BB-discharged (g),ST3-charged (g),ST3-discharged (g)
KR81,0.000E+00,4.238E-05,0.000E+00,6.689E-05,0.000E+00,1.048E-05,0.000E+00,1.564E-04
KR81M,0.000E+00,3.888E-12,0.000E+00,2.594E-12,0.000E+00,6.154E-13,0.000E+00,0.000E+00
KR82,0.000E+00,2.009E+00,0.000E+00,2.317E+00,0.000E+00,4.533E-01,0.000E+00,3.378E+00
KR83,0.000E+00,5.789E+01,0.000E+00,1.230E+02,0.000E+00,5.645E+01,0.000E+00,8.853E+01
KR83M,0.000E+00,4.848E-03,0.000E+00,9.431E-03,0.000E+00,7.254E-03,0.000E+00,6.544E-03
KR84,0.000E+00,1.729E+02,0.000E+00,2.161E+02,0.000E+00,1.005E+02,0.000E+00,2.823E+02
KR85,0.000E+00,3.409E+01,0.000E+00,4.526E+01,0.000E+00,2.346E+01,0.000E+00,5.539E+01
KR85M,0.000E+00,2.449E-02,0.000E+00,3.966E-02,0.000E+00,3.577E-02,0.000E+00,3.186E-02
KR86,0.000E+00,2.819E+02,0.000E+00,3.369E+02,0.000E+00,1.696E+02,0.000E+00,4.042E+02
KR87,0.000E+00,1.329E-02,0.000E+00,1.924E-02,0.000E+00,1.926E-02,0.000E+00,1.685E-02
KR88,0.000E+00,4.207E-02,0.000E+00,6.020E-02,0.000E+00,5.629E-02,0.000E+00,5.197E-02
KR89,0.000E+00,9.435E-04,0.000E+00,1.226E-03,0.000E+00,1.085E-03,0.000E+00,1.071E-03
KR90,0.000E+00,1.599E-04,0.000E+00,2.017E-04,0.000E+00,1.596E-04,0.000E+00,1.708E-04
KR91,0.000E+00,3.239E-05,0.000E+00,3.908E-05,0.000E+00,2.238E-05,0.000E+00,3.101E-05
KR92,0.000E+00,3.568E-06,0.000E+00,4.686E-06,0.000E+00,1.935E-06,0.000E+00,3.422E-06
KR93,0.000E+00,9.397E-07,0.000E+00,1.309E-06,0.000E+00,3.675E-07,0.000E+00,8.619E-07
KR94,0.000E+00,5.148E-08,0.000E+00,5.284E-08,0.000E+00,1.191E-08,0.000E+00,0.000E+00
KR95,0.000E+00,1.959E-08,0.000E+00,4.065E-08,0.000E+00,3.042E-09,0.000E+00,0.000E+00
KR96,0.000E+00,2.639E-09,0.000E+00,5.495E-09,0.000E+00,3.688E-10,0.000E+00,0.000E+00
KR97,0.000E+00,5.616E-11,0.000E+00,1.270E-10,0.000E+00,1.010E-11,0.000E+00,0.000E+00
KR98,0.000E+00,9.715E-12,0.000E+00,2.434E-11,0.000E+00,7.819E-13,0.000E+00,0.000E+00
RB85,0.000E+00,1.469E+02,0.000E+00,1.848E+02,0.000E+00,9.279E+01,0.000E+00,2.331E+02
RB86,0.000E+00,3.419E-02,0.000E+00,1.915E-01,0.000E+00,6.671E-02,0.000E+00,7.613E-02
RB86M,0.000E+00,1.299E-07,0.000E+00,1.416E-07,0.000E+00,3.740E-07,0.000E+00,3.786E-07
RB87,0.000E+00,3.618E+02,0.000E+00,4.334E+02,0.000E+00,2.211E+02,0.000E+00,5.495E+02
RB88,0.000E+00,4.487E-03,0.000E+00,6.564E-03,0.000E+00,6.078E-03,0.000E+00,5.603E-03
RB89,0.000E+00,4.917E-03,0.000E+00,7.268E-03,0.000E+00,5.965E-03,0.000E+00,5.817E-03
RB90,0.000E+00,8.007E-04,0.000E+00,1.075E-03,0.000E+00,8.359E-04,0.000E+00,8.811E-04
RB90M,0.000E+00,3.358E-04,0.000E+00,5.700E-04,0.000E+00,4.274E-04,0.000E+00,4.277E-04
RB91,0.000E+00,3.938E-04,0.000E+00,5.633E-04,0.000E+00,3.559E-04,0.000E+00,4.298E-04
RB92,0.000E+00,2.729E-05,0.000E+00,3.897E-05,0.000E+00,2.153E-05,0.000E+00,2.908E-05
RB93,0.000E+00,2.749E-05,0.000E+00,3.878E-05,0.000E+00,1.565E-05,0.000E+00,2.716E-05
RB94,0.000E+00,6.906E-06,0.000E+00,9.626E-06,0.000E+00,3.152E-06,0.000E+00,6.672E-06
RB95,0.000E+00,4.568E-07,0.000E+00,6.255E-07,0.000E+00,7.796E-08,0.000E+00,3.870E-07
RB96,0.000E+00,8.107E-08,0.000E+00,1.279E-07,0.000E+00,1.709E-08,0.000E+00,7.870E-08
RB97,0.000E+00,1.309E-08,0.000E+00,2.054E-08,0.000E+00,2.307E-09,0.000E+00,0.000E+00
RB98,0.000E+00,2.459E-09,0.000E+00,4.993E-09,0.000E+00,2.341E-10,0.000E+00,0.000E+00
RB99,0.000E+00,1.369E-10,0.000E+00,2.953E-10,0.000E+00,9.087E-12,0.000E+00,0.000E+00
RB100,0.000E+00,1.619E-11,0.000E+00,4.004E-11,0.000E+00,6.079E-13,0.000E+00,0.000E+00
SR86,0.000E+00,8.898E-01,0.000E+00,5.252E+00,0.000E+00,1.410E+00,0.000E+00,2.374E+00
SR87,0.000E+00,7.635E-03,0.000E+00,4.670E-02,0.000E+00,7.857E-03,0.000E+00,2.844E-02
SR87M,0.000E+00,8.096E-07,0.000E+00,1.653E-06,0.000E+00,4.508E-07,0.000E+00,2.609E-06
SR88,0.000E+00,5.186E+02,0.000E+00,5.647E+02,0.000E+00,2.942E+02,0.000E+00,7.592E+02
SR89,0.000E+00,2.469E+01,0.000E+00,3.513E+01,0.000E+00,2.783E+01,0.000E+00,2.952E+01
SR90,0.000E+00,7.777E+02,0.000E+00,8.279E+02,0.000E+00,3.583E+02,0.000E+00,9.538E+02
SR91,0.000E+00,2.519E-01,0.000E+00,3.833E-01,0.000E+00,2.404E-01,0.000E+00,2.844E-01
SR92,0.000E+00,8.096E-02,0.000E+00,1.306E-01,0.000E+00,7.012E-02,0.000E+00,9.175E-02
SR93,0.000E+00,4.407E-03,0.000E+00,7.372E-03,0.000E+00,3.440E-03,0.000E+00,4.983E-03
SR94,0.000E+00,7.147E-04,0.000E+00,1.207E-03,0.000E+00,4.787E-04,0.000E+00,7.891E-04
SR95,0.000E+00,2.309E-04,0.000E+00,3.833E-04,0.000E+00,1.109E-04,0.000E+00,2.374E-04
SR96,0.000E+00,2.499E-05,0.000E+00,3.841E-05,0.000E+00,9.952E-06,0.000E+00,2.481E-05
SR97,0.000E+00,6.725E-07,0.000E+00,1.003E-06,0.000E+00,1.742E-07,0.000E+00,6.437E-07
SR98,0.000E+00,1.150E-06,0.000E+00,1.788E-06,0.000E+00,1.750E-07,0.000E+00,1.086E-06
SR99,0.000E+00,2.149E-07,0.000E+00,3.862E-07,0.000E+00,2.240E-08,0.000E+00,2.159E-07
SR100,0.000E+00,8.107E-08,0.000E+00,1.602E-07,0.000E+00,4.539E-09,0.000E+00,8.555E-08
SR101,0.000E+00,2.789E-09,0.000E+00,5.775E-09,0.000E+00,8.241E-11,0.000E+00,0.000E+00
SR102,0.000E+00,4.338E-10,0.000E+00,9.557E-10,0.000E+00,6.447E-12,0.000E+00,0.000E+00
SR103,0.000E+00,5.036E-12,0.000E+00,1.113E-11,0.000E+00,4.676E-13,0.000E+00,0.000E+00
SR104,0.000E+00,3.009E-13,0.000E+00,6.841E-13,0.000E+00,1.026E-14,0.000E+00,0.000E+00
Y89,0.000E+00,6.506E+02,0.000E+00,6.986E+02,0.000E+00,3.109E+02,0.000E+00,8.639E+02
Y89M,0.000E+00,6.829E-11,0.000E+00,2.451E-10,0.000E+00,1.053E-10,0.000E+00,0.000E+00
Y90,0.000E+00,2.029E-01,0.000E+00,2.198E-01,0.000E+00,9.318E-02,0.000E+00,2.545E-01
Y90M,0.000E+00,1.609E-06,0.000E+00,4.993E-06,0.000E+00,1.718E-06,0.000E+00,2.716E-06
Y91,0.000E+00,3.900E+01,0.000E+00,5.703E+01,0.000E+00,3.433E+01,0.000E+00,4.427E+01
Y91M,0.000E+00,1.279E-02,0.000E+00,1.941E-02,0.000E+00,1.217E-02,0.000E+00,1.443E-02
Y92,0.000E+00,1.059E-01,0.000E+00,1.724E-01,0.000E+00,9.226E-02,0.000E+00,1.206E-01
Y93,0.000E+00,3.659E-01,0.000E+00,6.233E-01,0.000E+00,2.889E-01,0.000E+00,4.170E-01
Y94,0.000E+00,1.200E-02,0.000E+00,2.112E-02,0.000E+00,8.524E-03,0.000E+00,1.365E-02
Y95,0.000E+00,7.309E-03,0.000E+00,1.317E-02,0.000E+00,4.401E-03,0.000E+00,8.127E-03
Y96,0.000E+00,1.549E-03,0.000E+00,2.737E-03,0.000E+00,8.044E-04,0.000E+00,1.676E-03
Y97,0.000E+00,1.089E-05,0.000E+00,1.883E-05,0.000E+00,4.401E-06,0.000E+00,1.155E-05
Y98,0.000E+00,2.119E-06,0.000E+00,3.523E-06,0.000E+00,6.165E-07,0.000E+00,2.133E-06
Y99,0.000E+00,3.279E-06,0.000E+00,5.492E-06,0.000E+00,7.251E-07,0.000E+00,3.230E-06
Y100,0.000E+00,1.410E-06,0.000E+00,2.381E-06,0.000E+00,2.004E-07,0.000E+00,1.353E-06
Y101,0.000E+00,5.969E-07,0.000E+00,9.994E-07,0.000E+00,4.608E-08,0.000E+00,5.710E-07
Y102,0.000E+00,4.257E-08,0.000E+00,7.767E-08,0.000E+00,1.271E-09,0.000E+00,0.000E+00
Y103,0.000E+00,8.675E-09,0.000E+00,1.684E-08,0.000E+00,1.393E-09,0.000E+00,0.000E+00
