isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
RB94,0.000E+00,3.042E-06,0.000E+00,0.000E+00
RB95,0.000E+00,1.781E-07,0.000E+00,0.000E+00
RB96,0.000E+00,4.273E-08,0.000E+00,0.000E+00
RB97,0.000E+00,3.762E-09,0.000E+00,0.000E+00
RB98,0.000E+00,2.131E-09,0.000E+00,0.000E+00
RB99,0.000E+00,1.301E-10,0.000E+00,0.000E+00
RB100,0.000E+00,2.131E-11,0.000E+00,0.000E+00
SR86,0.000E+00,2.962E+00,0.000E+00,4.382E-01
SR87,0.000E+00,5.584E-02,0.000E+00,5.181E-03
SR87M,0.000E+00,1.952E-07,0.000E+00,0.000E+00
SR88,0.000E+00,2.731E+02,0.000E+00,2.641E+02
SR89,0.000E+00,1.081E+01,0.000E+00,2.330E-10
SR90,0.000E+00,3.892E+02,0.000E+00,3.630E+02
SR91,0.000E+00,1.171E-01,0.000E+00,0.000E+00
SR92,0.000E+00,3.912E-02,0.000E+00,0.000E+00
SR93,0.000E+00,2.161E-03,0.000E+00,0.000E+00
SR94,0.000E+00,3.612E-04,0.000E+00,0.000E+00
SR95,0.000E+00,1.120E-04,0.000E+00,0.000E+00
SR96,0.000E+00,1.120E-05,0.000E+00,0.000E+00
SR97,0.000E+00,2.852E-07,0.000E+00,0.000E+00
SR98,0.000E+00,5.823E-07,0.000E+00,0.000E+00
SR99,0.000E+00,1.461E-07,0.000E+00,0.000E+00
SR100,0.000E+00,6.844E-08,0.000E+00,0.000E+00
SR101,0.000E+00,2.762E-09,0.000E+00,0.000E+00
SR102,0.000E+00,4.533E-10,0.000E+00,0.000E+00
SR103,0.000E+00,5.083E-12,0.000E+00,0.000E+00
SR104,0.000E+00,3.072E-13,0.000E+00,0.000E+00
Y89,0.000E+00,3.472E+02,0.000E+00,3.481E+02
Y89M,0.000E+00,7.495E-11,0.000E+00,8.062E-20
Y90,0.000E+00,1.120E-01,0.000E+00,9.202E-02
Y90M,0.000E+00,1.561E-06,0.000E+00,0.000E+00
Y91,0.000E+00,1.731E+01,0.000E+00,1.210E-08
Y91M,0.000E+00,5.864E-03,0.000E+00,0.000E+00
Y92,0.000E+00,5.143E-02,0.000E+00,0.000E+00
Y93,0.000E+00,1.851E-01,0.000E+00,0.000E+00
Y94,0.000E+00,6.294E-03,0.000E+00,0.000E+00
Y95,0.000E+00,3.873E-03,0.000E+00,0.000E+00
Y96,0.000E+00,3.583E-05,0.000E+00,0.000E+00
Y97,0.000E+00,1.831E-05,0.000E+00,0.000E+00
Y98,0.000E+00,2.171E-06,0.000E+00,0.000E+00
Y99,0.000E+00,1.641E-06,0.000E+00,0.000E+00
Y100,0.000E+00,7.535E-07,0.000E+00,0.000E+00
Y101,0.000E+00,3.502E-07,0.000E+00,0.000E+00
Y102,0.000E+00,2.872E-08,0.000E+00,0.000E+00
Y103,0.000E+00,6.714E-09,0.000E+00,0.000E+00
Y104,0.000E+00,2.422E-10,0.000E+00,0.000E+00
Y105,0.000E+00,1.481E-11,0.000E+00,0.000E+00
Y107,0.000E+00,3.733E-15,0.000E+00,0.000E+00
ZR90,0.000E+00,3.703E+01,0.000E+00,6.622E+01
ZR90M,0.000E+00,5.093E-13,0.000E+00,0.000E+00
ZR91,0.000E+00,4.763E+02,0.000E+00,5.061E+02
ZR92,0.000E+00,5.934E+02,0.000E+00,6.092E+02
ZR93,0.000E+00,7.225E+02,0.000E+00,7.472E+02
ZR94,0.000E+00,8.185E+02,0.000E+00,8.582E+02
ZR95,0.000E+00,3.532E+01,0.000E+00,1.610E-07
ZR96,0.000E+00,9.464E+02,0.000E+00,1.010E+03
ZR97,0.000E+00,4.273E-01,0.000E+00,0.000E+00
ZR98,0.000E+00,2.242E-04,0.000E+00,0.000E+00
ZR99,0.000E+00,1.731E-05,0.000E+00,0.000E+00
ZR100,0.000E+00,4.623E-05,0.000E+00,0.000E+00
ZR101,0.000E+00,1.311E-05,0.000E+00,0.000E+00
ZR102,0.000E+00,7.245E-05,0.000E+00,0.000E+00
ZR103,0.000E+00,1.741E-06,0.000E+00,0.000E+00
ZR104,0.000E+00,9.166E-07,0.000E+00,0.000E+00
ZR105,0.000E+00,1.822E-08,0.000E+00,0.000E+00
ZR106,0.000E+00,2.431E-09,0.000E+00,0.000E+00
ZR107,0.000E+00,2.882E-11,0.000E+00,0.000E+00
ZR108,0.000E+00,2.151E-11,0.000E+00,0.000E+00
ZR109,0.000E+00,7.105E-13,0.000E+00,0.000E+00
