isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
SE83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.208E-04
SE83M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.199E-05
SE84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.678E-04
SE85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.673E-05
SE85M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.321E-06
SE86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.249E-05
SE87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.857E-06
SE88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.818E-07
SE89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.180E-08
SE90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.031E-08
SE91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.992E-10
SE92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.739E-11
BR79,0.000E+00,1.973E-04,0.000E+00,2.880E-05,0.000E+00,1.809E-04
BR79M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.161E-13
BR80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.773E-09
BR80M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.865E-08
BR81,0.000E+00,2.729E+01,0.000E+00,5.193E+00,0.000E+00,2.397E+01
BR82,0.000E+00,1.232E-09,0.000E+00,1.449E-10,0.000E+00,4.724E-03
BR82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.398E-06
BR83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.928E-03
BR84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E-03
BR84M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.946E-05
BR85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.796E-04
BR86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.837E-05
BR86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.135E-06
BR87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.928E-05
BR88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.363E-05
BR89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.628E-06
BR90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.587E-07
BR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.053E-07
BR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.310E-08
BR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.312E-09
BR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.618E-11
BR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.110E-12
BR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.649E-13
KR79,0.000E+00,2.823E-18,0.000E+00,2.051E-19,0.000E+00,2.050E-12
KR80,0.000E+00,7.148E-04,0.000E+00,8.648E-05,0.000E+00,6.156E-04
