isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
BR90,0.000E+00,1.484E-06,0.000E+00,3.760E-07
BR91,0.000E+00,2.754E-07,0.000E+00,6.895E-08
BR92,0.000E+00,3.462E-08,0.000E+00,8.434E-09
BR93,0.000E+00,3.579E-09,0.000E+00,8.696E-10
BR94,0.000E+00,1.921E-10,0.000E+00,4.794E-11
BR95,0.000E+00,2.331E-11,0.000E+00,5.789E-12
BR96,0.000E+00,9.417E-13,0.000E+00,2.340E-13
KR79,0.000E+00,1.951E-11,0.000E+00,1.464E-12
KR80,0.000E+00,7.592E-04,0.000E+00,1.789E-04
KR81,0.000E+00,6.364E-05,0.000E+00,1.145E-05
KR81M,0.000E+00,2.839E-12,0.000E+00,3.583E-13
KR82,0.000E+00,2.160E+00,0.000E+00,6.139E-01
KR83,0.000E+00,1.001E+02,0.000E+00,3.572E+01
KR83M,0.000E+00,9.736E-03,0.000E+00,1.887E-03
KR84,0.000E+00,1.785E+02,0.000E+00,6.406E+01
KR85,0.000E+00,3.821E+01,0.000E+00,1.261E+01
KR85M,0.000E+00,4.091E-02,0.000E+00,8.140E-03
KR86,0.000E+00,2.749E+02,0.000E+00,1.017E+02
KR87,0.000E+00,1.976E-02,0.000E+00,4.019E-03
KR88,0.000E+00,6.200E-02,0.000E+00,1.272E-02
KR89,0.000E+00,1.266E-03,0.000E+00,2.659E-04
KR90,0.000E+00,2.079E-04,0.000E+00,4.444E-05
KR91,0.000E+00,4.098E-05,0.000E+00,8.907E-06
KR92,0.000E+00,5.019E-06,0.000E+00,1.103E-06
KR93,0.000E+00,1.425E-06,0.000E+00,3.182E-07
KR94,0.000E+00,5.752E-08,0.000E+00,1.405E-08
KR95,0.000E+00,4.887E-08,0.000E+00,1.204E-08
KR96,0.000E+00,6.760E-09,0.000E+00,1.670E-09
KR97,0.000E+00,1.567E-10,0.000E+00,3.865E-11
KR98,0.000E+00,3.101E-11,0.000E+00,7.687E-12
RB85,0.000E+00,1.502E+02,0.000E+00,5.552E+01
RB86,0.000E+00,2.224E-01,0.000E+00,2.643E-02
RB86M,0.000E+00,1.520E-07,0.000E+00,2.305E-08
RB87,0.000E+00,3.542E+02,0.000E+00,1.302E+02
RB88,0.000E+00,6.762E-03,0.000E+00,1.377E-03
RB89,0.000E+00,7.499E-03,0.000E+00,1.524E-03
RB90,0.000E+00,1.104E-03,0.000E+00,2.288E-04
RB90M,0.000E+00,5.832E-04,0.000E+00,1.118E-04
RB91,0.000E+00,5.805E-04,0.000E+00,1.174E-04
RB92,0.000E+00,3.996E-05,0.000E+00,8.079E-06
RB93,0.000E+00,3.982E-05,0.000E+00,8.171E-06
RB94,0.000E+00,9.859E-06,0.000E+00,2.107E-06
RB95,0.000E+00,6.712E-07,0.000E+00,1.519E-07
RB96,0.000E+00,1.428E-07,0.000E+00,3.344E-08
RB97,0.000E+00,2.293E-08,0.000E+00,5.408E-09
RB98,0.000E+00,6.079E-09,0.000E+00,1.487E-09
RB99,0.000E+00,3.623E-10,0.000E+00,8.825E-11
RB100,0.000E+00,5.039E-11,0.000E+00,1.241E-11
SR86,0.000E+00,4.894E+00,0.000E+00,1.246E+00
SR87,0.000E+00,4.770E-02,0.000E+00,9.308E-03
SR87M,0.000E+00,2.021E-06,0.000E+00,2.200E-07
SR88,0.000E+00,4.624E+02,0.000E+00,1.779E+02
SR89,0.000E+00,3.619E+01,0.000E+00,7.266E+00
SR90,0.000E+00,6.818E+02,0.000E+00,2.499E+02
SR91,0.000E+00,3.945E-01,0.000E+00,7.883E-02
SR92,0.000E+00,1.341E-01,0.000E+00,2.627E-02
SR93,0.000E+00,7.540E-03,0.000E+00,1.456E-03
SR94,0.000E+00,1.225E-03,0.000E+00,2.328E-04
SR95,0.000E+00,3.904E-04,0.000E+00,7.579E-05
SR96,0.000E+00,3.912E-05,0.000E+00,7.816E-06
SR97,0.000E+00,1.038E-06,0.000E+00,2.169E-07
SR98,0.000E+00,1.936E-06,0.000E+00,4.324E-07
SR99,0.000E+00,4.403E-07,0.000E+00,1.022E-07
SR100,0.000E+00,1.882E-07,0.000E+00,4.467E-08
SR101,0.000E+00,6.960E-09,0.000E+00,1.686E-09
SR102,0.000E+00,1.164E-09,0.000E+00,2.813E-10
SR103,0.000E+00,1.333E-11,0.000E+00,3.178E-12
SR104,0.000E+00,8.081E-13,0.000E+00,1.899E-13
Y89,0.000E+00,5.658E+02,0.000E+00,2.218E+02
Y89M,0.000E+00,2.533E-10,0.000E+00,4.280E-11
Y90,0.000E+00,1.850E-01,0.000E+00,6.442E-02
Y90M,0.000E+00,5.165E-06,0.000E+00,8.722E-07
Y91,0.000E+00,5.850E+01,0.000E+00,1.155E+01
Y91M,0.000E+00,1.999E-02,0.000E+00,3.991E-03
Y92,0.000E+00,1.769E-01,0.000E+00,3.463E-02
Y93,0.000E+00,6.374E-01,0.000E+00,1.225E-01
Y94,0.000E+00,2.144E-02,0.000E+00,4.026E-03
Y95,0.000E+00,1.341E-02,0.000E+00,2.522E-03
Y96,0.000E+00,2.774E-03,0.000E+00,5.207E-04
Y97,0.000E+00,1.907E-05,0.000E+00,3.620E-06
Y98,0.000E+00,3.573E-06,0.000E+00,6.952E-07
Y99,0.000E+00,5.646E-06,0.000E+00,1.138E-06
Y100,0.000E+00,2.492E-06,0.000E+00,5.207E-07
Y101,0.000E+00,1.081E-06,0.000E+00,2.402E-07
Y102,0.000E+00,8.621E-08,0.000E+00,1.940E-08
Y103,0.000E+00,1.893E-08,0.000E+00,4.294E-09
Y104,0.000E+00,7.189E-10,0.000E+00,1.600E-10
Y105,0.000E+00,3.890E-11,0.000E+00,9.463E-12
Y107,0.000E+00,9.092E-15,0.000E+00,2.319E-15
ZR90,0.000E+00,2.922E+01,0.000E+00,1.915E+01
ZR90M,0.000E+00,1.461E-13,0.000E+00,2.461E-14
ZR91,0.000E+00,7.752E+02,0.000E+00,2.974E+02
ZR92,0.000E+00,1.017E+03,0.000E+00,3.597E+02
ZR93,0.000E+00,1.272E+03,0.000E+00,4.337E+02
ZR94,0.000E+00,1.385E+03,0.000E+00,4.447E+02
ZR95,0.000E+00,1.217E+02,0.000E+00,2.248E+01
ZR96,0.000E+00,1.671E+03,0.000E+00,5.300E+02
ZR97,0.000E+00,1.485E+00,0.000E+00,2.723E-01
ZR98,0.000E+00,7.882E-04,0.000E+00,1.445E-04
ZR99,0.000E+00,5.984E-05,0.000E+00,1.094E-05
ZR100,0.000E+00,1.616E-04,0.000E+00,2.981E-05
ZR101,0.000E+00,4.578E-05,0.000E+00,8.753E-06
ZR102,0.000E+00,2.478E-04,0.000E+00,4.809E-05
ZR103,0.000E+00,5.753E-06,0.000E+00,1.144E-06
ZR104,0.000E+00,3.127E-06,0.000E+00,6.257E-07
ZR105,0.000E+00,5.816E-08,0.000E+00,1.250E-08
ZR106,0.000E+00,8.364E-09,0.000E+00,1.722E-09
ZR107,0.000E+00,1.016E-10,0.000E+00,2.213E-11
ZR108,0.000E+00,1.155E-10,0.000E+00,2.886E-11
ZR109,0.000E+00,3.070E-12,0.000E+00,7.590E-13
NB92,0.000E+00,2.293E-10,0.000E+00,3.787E-11
NB93,0.000E+00,1.911E-04,0.000E+00,9.905E-05
NB93M,0.000E+00,9.445E-04,0.000E+00,5.104E-04
NB94,0.000E+00,5.943E-03,0.000E+00,1.373E-03
NB94M,0.000E+00,1.582E-08,0.000E+00,2.667E-09
NB95,0.000E+00,6.673E+01,0.000E+00,1.227E+01
NB95M,0.000E+00,4.865E-02,0.000E+00,8.948E-03
NB96,0.000E+00,1.018E-02,0.000E+00,7.883E-04
NB97,0.000E+00,1.064E-01,0.000E+00,1.952E-02
NB97M,0.000E+00,1.391E-03,0.000E+00,2.550E-04
NB98,0.000E+00,7.249E-05,0.000E+00,1.328E-05
NB98M,0.000E+00,1.340E-03,0.000E+00,2.270E-04
NB99,0.000E+00,3.773E-04,0.000E+00,6.874E-05
NB99M,0.000E+00,2.289E-04,0.000E+00,3.897E-05
NB100,0.000E+00,3.641E-05,0.000E+00,6.602E-06
NB100M,0.000E+00,3.656E-05,0.000E+00,6.627E-06
NB101,0.000E+00,1.848E-04,0.000E+00,3.371E-05
NB102,0.000E+00,7.414E-05,0.000E+00,1.345E-05
NB103,0.000E+00,2.639E-04,0.000E+00,4.770E-05
NB104,0.000E+00,8.679E-06,0.000E+00,1.560E-06
NB105,0.000E+00,4.651E-06,0.000E+00,8.573E-07
