isotope,ST1-charged (g),ST1-discharged (g)
I139,0.00E+00,4.94E-06
I140,0.00E+00,4.74E-07
I141,0.00E+00,3.50E-08
I142,0.00E+00,2.37E-09
I143,0.00E+00,2.63E-10
I144,0.00E+00,8.01E-12
XE127,0.00E+00,2.60E-06
XE128,0.00E+00,4.68E+00
XE129,0.00E+00,2.08E-02
XE129M,0.00E+00,3.48E-05
XE130,0.00E+00,1.08E+01
XE131,0.00E+00,5.84E+02
XE131M,0.00E+00,1.09E-01
XE132,0.00E+00,1.46E+03
XE133,0.00E+00,1.05E+01
XE133M,0.00E+00,1.28E-01
XE134,0.00E+00,1.89E+03
XE134M,0.00E+00,4.64E-08
XE135,0.00E+00,3.79E-01
XE135M,0.00E+00,4.00E-03
XE136,0.00E+00,2.62E+03
XE137,0.00E+00,4.56E-03
XE138,0.00E+00,1.57E-02
XE139,0.00E+00,5.78E-04
XE140,0.00E+00,1.28E-04
XE141,0.00E+00,5.91E-06
XE142,0.00E+00,1.40E-06
XE143,0.00E+00,5.96E-08
XE144,0.00E+00,3.20E-08
XE145,0.00E+00,2.85E-09
XE146,0.00E+00,1.80E-10
XE147,0.00E+00,4.11E-12
CS132,0.00E+00,1.97E-03
CS133,0.00E+00,1.47E+03
CS134,0.00E+00,1.65E+02
CS134M,0.00E+00,4.88E-03
CS135,0.00E+00,8.86E+02
CS135M,0.00E+00,4.73E-04
CS136,0.00E+00,9.04E-01
CS137,0.00E+00,1.55E+03
CS138,0.00E+00,3.96E-02
CS138M,0.00E+00,1.66E-04
CS139,0.00E+00,1.11E-02
CS140,0.00E+00,1.13E-03
CS141,0.00E+00,3.27E-04
CS142,0.00E+00,1.37E-05
CS143,0.00E+00,6.57E-06
CS144,0.00E+00,1.23E-06
CS145,0.00E+00,1.60E-07
CS146,0.00E+00,7.78E-09
CS147,0.00E+00,3.15E-09
CS148,0.00E+00,7.03E-11
CS150,0.00E+00,3.96E-14
BA132,0.00E+00,2.57E-03
BA134,0.00E+00,6.92E+01
BA135,0.00E+00,3.55E-01
BA135M,0.00E+00,1.03E-04
BA136,0.00E+00,3.43E+01
BA136M,0.00E+00,4.06E-08
BA137,0.00E+00,6.21E+01
BA137M,0.00E+00,2.37E-04
BA138,0.00E+00,1.60E+03
BA139,0.00E+00,1.00E-01
BA140,0.00E+00,2.16E+01
BA141,0.00E+00,1.99E-02
BA142,0.00E+00,1.11E-02
BA143,0.00E+00,2.06E-04
BA144,0.00E+00,1.26E-04
BA145,0.00E+00,3.70E-05
BA146,0.00E+00,5.01E-06
BA147,0.00E+00,1.14E-06
BA148,0.00E+00,5.00E-07
BA149,0.00E+00,8.33E-09
BA150,0.00E+00,1.18E-09
BA152,0.00E+00,1.20E-12
LA138,0.00E+00,5.37E-03
LA139,0.00E+00,1.59E+03
LA140,0.00E+00,2.89E+00
LA141,0.00E+00,2.58E-01
LA142,0.00E+00,9.79E-02
LA143,0.00E+00,1.41E-02
LA144,0.00E+00,5.96E-04
LA145,0.00E+00,3.17E-04
LA146,0.00E+00,6.10E-05
LA147,0.00E+00,3.67E-05
LA148,0.00E+00,1.81E-06
LA149,0.00E+00,1.00E-06
LA150,0.00E+00,4.32E-08
LA151,0.00E+00,7.87E-09
LA152,0.00E+00,2.58E-10
LA153,0.00E+00,3.37E-11
LA154,0.00E+00,6.10E-13
CE140,0.00E+00,1.51E+03
CE141,0.00E+00,5.45E+01
CE142,0.00E+00,1.49E+03
CE143,0.00E+00,2.00E+00
CE144,0.00E+00,3.86E+02
CE145,0.00E+00,2.11E-03
CE146,0.00E+00,8.19E-03
CE147,0.00E+00,5.33E-04
CE148,0.00E+00,2.46E-04
CE149,0.00E+00,3.29E-06
CE150,0.00E+00,1.58E-06
CE151,0.00E+00,4.91E-07
CE152,0.00E+00,1.51E-06
CE153,0.00E+00,2.98E-08
CE154,0.00E+00,6.74E-09
CE155,0.00E+00,1.38E-10
CE156,0.00E+00,2.04E-11
CE157,0.00E+00,4.65E-13
PR140,0.00E+00,6.29E-08
PR141,0.00E+00,1.42E+03
PR142,0.00E+00,4.06E-02
PR142M,0.00E+00,8.84E-05
PR143,0.00E+00,2.10E+01
PR144,0.00E+00,1.54E-02
PR144M,0.00E+00,7.68E-05
PR145,0.00E+00,2.53E-01
PR146,0.00E+00,1.40E-02
PR147,0.00E+00,5.63E-03
PR148,0.00E+00,8.79E-04
PR149,0.00E+00,6.30E-04
PR150,0.00E+00,3.97E-05
PR151,0.00E+00,7.40E-06
PR152,0.00E+00,7.13E-06
PR153,0.00E+00,2.18E-06
PR154,0.00E+00,9.16E-08
PR155,0.00E+00,2.57E-08
PR156,0.00E+00,1.27E-09
PR157,0.00E+00,2.29E-10
PR158,0.00E+00,5.91E-12
PR159,0.00E+00,2.58E-13
ND142,0.00E+00,2.02E+01
ND143,0.00E+00,1.13E+03
ND144,0.00E+00,1.15E+03
ND145,0.00E+00,8.77E+02
ND146,0.00E+00,9.03E+02
ND147,0.00E+00,7.91E+00
ND148,0.00E+00,5.05E+02
ND149,0.00E+00,2.98E-02
ND150,0.00E+00,2.58E+02
ND151,0.00E+00,2.00E-03
ND152,0.00E+00,1.34E-03
ND153,0.00E+00,8.10E-05
ND154,0.00E+00,2.65E-05
ND155,0.00E+00,7.08E-06
ND156,0.00E+00,6.11E-06
ND157,0.00E+00,1.24E-07
ND158,0.00E+00,3.60E-08
ND159,0.00E+00,6.06E-10
ND160,0.00E+00,5.75E-11
ND161,0.00E+00,8.43E-13
PM146,0.00E+00,9.73E-03
PM147,0.00E+00,2.33E+02
PM148,0.00E+00,1.17E+00
PM148M,0.00E+00,2.57E+00
PM149,0.00E+00,1.31E+00
PM150,0.00E+00,3.20E-04
PM151,0.00E+00,2.87E-01
PM152,0.00E+00,4.87E-04
PM152M,0.00E+00,1.53E-05
PM153,0.00E+00,4.38E-04
PM154,0.00E+00,1.35E-04
PM154M,0.00E+00,1.38E-05
PM155,0.00E+00,1.92E-05
PM156,0.00E+00,4.11E-06
PM157,0.00E+00,1.11E-05
PM158,0.00E+00,2.14E-07
PM159,0.00E+00,5.70E-08
PM160,0.00E+00,2.06E-09
PM161,0.00E+00,2.62E-10
PM162,0.00E+00,3.54E-12
SM146,0.00E+00,8.79E-03
SM147,0.00E+00,1.09E+02
SM148,0.00E+00,1.93E+02
SM149,0.00E+00,7.39E+00
SM150,0.00E+00,3.83E+02
SM151,0.00E+00,3.80E+01
SM152,0.00E+00,1.71E+02
SM153,0.00E+00,1.06E+00
