isotope,Batch1-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch7-discharged (g),Batch8-charged (g),Batch8-discharged (g)
KR84,5.38E-22,1.57E+02,5.69E-22,4.05E+02,0.00E+00,4.73E+02,0.00E+00,1.89E+02
KR85,5.38E-22,2.55E+01,0.00E+00,6.27E+01,0.00E+00,6.86E+01,0.00E+00,3.49E+01
KR85M,5.38E-22,1.36E-02,0.00E+00,2.12E-02,0.00E+00,1.65E-02,0.00E+00,1.38E-02
KR86,5.38E-22,2.44E+02,5.69E-22,6.23E+02,0.00E+00,7.22E+02,0.00E+00,2.96E+02
KR87,5.38E-22,6.58E-03,0.00E+00,1.02E-02,0.00E+00,7.93E-03,0.00E+00,6.60E-03
KR88,5.38E-22,2.07E-02,0.00E+00,3.21E-02,0.00E+00,2.48E-02,0.00E+00,2.07E-02
KR89,5.38E-22,4.26E-04,0.00E+00,6.55E-04,0.00E+00,5.04E-04,0.00E+00,4.19E-04
KR90,5.38E-22,7.02E-05,0.00E+00,1.07E-04,0.00E+00,8.22E-05,0.00E+00,6.83E-05
KR91,5.38E-22,1.42E-05,0.00E+00,2.12E-05,0.00E+00,1.59E-05,0.00E+00,1.31E-05
KR92,5.38E-22,1.80E-06,0.00E+00,2.58E-06,0.00E+00,1.89E-06,0.00E+00,1.54E-06
KR93,5.38E-22,5.25E-07,0.00E+00,7.32E-07,0.00E+00,5.23E-07,0.00E+00,4.24E-07
KR94,5.38E-22,2.15E-08,0.00E+00,2.95E-08,0.00E+00,2.08E-08,0.00E+00,1.68E-08
KR95,5.38E-22,1.97E-08,0.00E+00,2.57E-08,0.00E+00,1.72E-08,0.00E+00,1.36E-08
KR96,5.38E-22,2.76E-09,0.00E+00,3.58E-09,0.00E+00,2.36E-09,0.00E+00,1.87E-09
KR97,5.38E-22,6.42E-11,0.00E+00,8.30E-11,0.00E+00,5.47E-11,0.00E+00,4.32E-11
KR98,5.38E-22,1.29E-11,0.00E+00,1.66E-11,0.00E+00,1.08E-11,0.00E+00,8.48E-12
RB85,5.38E-22,1.40E+02,5.69E-22,3.51E+02,0.00E+00,4.04E+02,0.00E+00,1.67E+02
RB86,5.38E-22,7.87E-02,0.00E+00,2.80E-01,0.00E+00,3.01E-01,0.00E+00,1.08E-01
RB86M,5.38E-22,3.20E-08,0.00E+00,5.23E-08,0.00E+00,4.17E-08,0.00E+00,3.52E-08
RB87,5.38E-22,3.15E+02,5.69E-22,8.01E+02,0.00E+00,9.27E+02,0.00E+00,3.82E+02
RB88,5.38E-22,2.26E-03,0.00E+00,3.52E-03,0.00E+00,2.73E-03,0.00E+00,2.27E-03
RB89,5.38E-22,2.50E-03,0.00E+00,3.89E-03,0.00E+00,3.01E-03,0.00E+00,2.51E-03
RB90,5.38E-22,3.69E-04,0.00E+00,5.72E-04,0.00E+00,4.41E-04,0.00E+00,3.68E-04
RB90M,5.38E-22,1.90E-04,0.00E+00,3.03E-04,0.00E+00,2.38E-04,0.00E+00,2.00E-04
RB91,5.38E-22,1.94E-04,0.00E+00,3.00E-04,0.00E+00,2.32E-04,0.00E+00,1.93E-04
RB92,5.38E-22,1.34E-05,0.00E+00,2.06E-05,0.00E+00,1.59E-05,0.00E+00,1.32E-05
RB93,5.38E-22,1.35E-05,0.00E+00,2.04E-05,0.00E+00,1.56E-05,0.00E+00,1.30E-05
RB94,5.38E-22,3.36E-06,0.00E+00,5.03E-06,0.00E+00,3.81E-06,0.00E+00,3.15E-06
RB95,5.38E-22,2.43E-07,0.00E+00,3.45E-07,0.00E+00,2.51E-07,0.00E+00,2.04E-07
RB96,5.38E-22,5.39E-08,0.00E+00,7.40E-08,0.00E+00,5.19E-08,0.00E+00,4.19E-08
RB97,5.38E-22,8.70E-09,0.00E+00,1.18E-08,0.00E+00,8.26E-09,0.00E+00,6.64E-09
RB98,5.38E-22,2.46E-09,0.00E+00,3.21E-09,0.00E+00,2.13E-09,0.00E+00,1.69E-09
RB99,5.38E-22,1.48E-10,0.00E+00,1.92E-10,0.00E+00,1.27E-10,0.00E+00,1.00E-10
RB100,5.38E-22,2.09E-11,0.00E+00,2.68E-11,0.00E+00,1.76E-11,0.00E+00,1.38E-11
RB101,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SR86,5.38E-22,5.66E+00,3.00E-01,2.66E+01,1.52E+00,4.03E+01,2.36E+00,9.75E+00
SR87,5.38E-22,7.33E-02,3.83E-03,6.16E-01,3.48E-02,1.19E+00,6.92E-02,2.38E-01
SR87M,5.38E-22,9.10E-07,0.00E+00,5.33E-06,0.00E+00,6.95E-06,0.00E+00,1.53E-06
SR88,5.38E-22,4.16E+02,2.17E+01,1.08E+03,6.07E+01,1.28E+03,7.43E+01,5.72E+02
SR89,5.38E-22,1.19E+01,5.22E-19,1.88E+01,8.87E-19,1.46E+01,7.09E-19,1.22E+01
SR90,5.38E-22,5.39E+02,2.31E+01,1.36E+03,6.30E+01,1.56E+03,7.41E+01,7.50E+02
SR91,5.38E-22,1.31E-01,0.00E+00,2.06E-01,0.00E+00,1.60E-01,0.00E+00,1.33E-01
SR92,5.38E-22,4.43E-02,0.00E+00,6.94E-02,0.00E+00,5.40E-02,0.00E+00,4.51E-02
SR93,5.38E-22,2.48E-03,0.00E+00,3.90E-03,0.00E+00,3.04E-03,0.00E+00,2.54E-03
SR94,5.38E-22,3.99E-04,0.00E+00,6.31E-04,0.00E+00,4.95E-04,0.00E+00,4.15E-04
SR95,5.38E-22,1.29E-04,0.00E+00,2.01E-04,0.00E+00,1.56E-04,0.00E+00,1.31E-04
SR96,5.38E-22,1.31E-05,0.00E+00,2.00E-05,0.00E+00,1.54E-05,0.00E+00,1.28E-05
SR97,5.38E-22,3.57E-07,0.00E+00,5.30E-07,0.00E+00,3.99E-07,0.00E+00,3.29E-07
SR98,5.38E-22,7.07E-07,0.00E+00,9.95E-07,0.00E+00,7.17E-07,0.00E+00,5.83E-07
SR99,5.38E-22,1.69E-07,0.00E+00,2.29E-07,0.00E+00,1.58E-07,0.00E+00,1.27E-07
SR100,5.38E-22,7.42E-08,0.00E+00,9.85E-08,0.00E+00,6.69E-08,0.00E+00,5.33E-08
SR101,5.38E-22,2.80E-09,0.00E+00,3.66E-09,0.00E+00,2.44E-09,0.00E+00,1.94E-09
