Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
196.0,1.0566010162997048,76969.0200129499,9.453158487511324,2447556574716.2383,913661744.0844139,0.23665883387804476,3271987.665359331,3122.8856961139936,43176260571.27302,1.398185983682808e+18,1.9865933239123977e+24
224.0,1.0528990635649769,76969.0200129499,10.803609700012942,2473315784721.5728,923277540.0920871,0.23887952316705308,3302690.377120241,3169.044611557399,43814442546.15343,1.6143624220760207e+18,2.2937446430580356e+24
252.0,1.049662649023842,76969.0200129499,12.154060912514561,2497782348650.3896,932410797.1950601,0.24087063486103638,3330219.0047075106,3210.787697290936,44391572329.969376,1.832746811586329e+18,2.6040330991796813e+24
280.0,1.0439405412822647,76969.0200129499,13.504512125016179,2515084386998.497,938869569.4647799,0.24226047006157114,3349434.529260359,3246.539962909057,44885874487.189606,2.0531625764787013e+18,2.9172078070728824e+24
308.0,1.0410513794170264,76969.0200129499,14.854963337517795,2523655785170.375,942069233.4414409,0.2429670810925399,3359203.962074889,3276.436722773336,45299219841.37377,2.2755605943199813e+18,3.233198971804131e+24
336.0,1.0375294643368962,76969.0200129499,16.205414550019416,2537491319128.1294,947233975.37908,0.2439892489789885,3373336.2074746513,3306.842250618968,45719599298.33043,2.499851518209552e+18,3.551879646058585e+24
365.0,1.032240299948968,76969.0200129499,17.60409616296752,2554989899632.033,953766115.9421852,0.2452265384848506,3390442.6722337296,3338.0872319133887,46151584835.16617,2.734059572473051e+18,3.8846509386021183e+24
396.0,1.0282492885387324,76969.0200129499,19.099238576808595,2565332991868.5303,957627145.2600137,0.24593336668866833,3400215.1076274216,3366.5841343416405,46545576099.799194,2.986455773474547e+18,4.243264609273969e+24
427.0,1.022306965524755,76969.0200129499,20.59438099064967,2575091898669.5474,961270100.8101662,0.24658148379209632,3409175.8175801192,3393.8586124081094,46922666421.55151,3.2409520947357696e+18,4.604862206931267e+24
458.0,1.0187229635740995,76969.0200129499,22.08952340449075,2587768092881.0464,966002066.490254,0.24742179446361962,3420793.7492129225,3421.4654480602244,47304351838.71143,3.4974078470027546e+18,4.969243835182593e+24
488.0,1.014798885261464,76969.0200129499,23.53643541788534,2601745839728.327,971219895.8531312,0.2483534657757158,3433674.810914252,3448.2218333297137,47674279135.05096,3.747442355277962e+18,5.324501927227615e+24
519.0,1.0092636581666228,76969.0200129499,25.031577831726416,2614165690221.6475,975856169.5884218,0.2491747065637565,3445029.0869610272,3474.3352384635273,48035316743.908615,4.0076987095571973e+18,5.694283588573607e+24
549.0,1.0048565977153796,76969.0200129499,26.478489845121008,2622457062980.6187,978951301.3512876,0.24970440097704302,3452352.51350836,3497.627974350212,48357356463.55407,4.261329367603712e+18,6.054651220558837e+24
580.0,1.0007920668668397,76969.0200129499,27.97363225896208,2633828929386.96,983196367.390473,0.25045234140201644,3462693.3565051514,3522.2865497471903,48698279949.15623,4.525180060289528e+18,6.429539848192381e+24
611.0,0.9942803412004267,76969.0200129499,29.46877467280316,2645117443607.4,987410318.4375352,0.25120050456956194,3473037.2790867467,3546.4731770911485,49032678395.38898,4.790796414025917e+18,6.806937191044284e+24
641.0,0.9918363741095279,76969.0200129499,30.915686686197752,2654587391080.2534,990945406.7839355,0.25183300746825243,3481782.110830005,3569.254522660875,49347647756.48557,5.049537316194753e+18,7.174565643103124e+24
672.0,0.9864069653435104,76969.0200129499,32.41082910003883,2666490717927.5303,995388864.5899926,0.25263202265255513,3492829.1010675235,3592.86192396014,49674037963.842834,5.31850461420441e+18,7.556724129035965e+24
731.0,0.9797427214061585,76969.0200129499,35.25642272638152,2683161316402.7373,1001611923.2253401,0.25370334576350195,3507640.9546847804,3633.2767533634906,50232803597.63917,5.834929070185488e+18,8.290478714284221e+24
792.0,0.9714574058755127,76969.0200129499,38.19847715361719,2701310909240.3457,1008387083.7334697,0.25495202261728944,3524904.858155706,3676.242615441279,50826839190.76011,6.374770267138416e+18,9.057504653862554e+24
853.0,0.963538708739189,76969.0200129499,41.14053158085286,2724925502086.6787,1017202303.9039477,0.25662893412737786,3548089.430170186,3721.2865966037916,51449606354.56,6.9202425442757e+18,9.832531436269533e+24
915.0,0.9534703747358158,76969.0200129499,44.13081640853501,2740418183081.92,1022985651.298194,0.25775490684855124,3563656.856050045,3762.6510776683185,52021501642.00516,7.480357233746064e+18,1.0628362688844528e+25
976.0,0.9448619017044528,76969.0200129499,47.07287083577068,2764134380385.1064,1031838799.9505767,0.25948250358594754,3587542.189729956,3806.8338595546775,52632362073.388535,8.036787174761215e+18,1.1418958517257893e+25
1037.0,0.9408351837315545,76969.0200129499,50.01492526300634,2777841628528.914,1036955653.3769866,0.2605440823598757,3602219.320505857,3846.7982966517084,53184900692.3437,8.598180048996978e+18,1.2216605861076332e+25
1097.0,0.9314136271307478,76969.0200129499,52.90874928979552,2792542433632.7344,1042443397.1004014,0.26170233348531574,3618233.01977804,3886.2460055960505,53730295153.12721,9.155351202830849e+18,1.3008254831528347e+25
1158.0,0.924100620247644,76969.0200129499,55.8508037170312,2815706018933.8145,1051090258.2042705,0.2634907913473338,3642959.804612758,3930.251447245265,54338703721.38339,9.726378189798439e+18,1.381959067191178e+25
1219.0,0.9159295806525681,76969.0200129499,58.79285814426686,2837971258753.326,1059401771.0232587,0.2652286413236865,3666986.8970888476,3973.7384543288326,54939944539.01605,1.030186802136182e+19,1.4637267483656049e+25
1281.0,0.9095592952470559,76969.0200129499,61.78314297194902,2854807840225.091,1065686790.3567525,0.2666274044874807,3686325.857497365,4015.7691774062255,55521051127.01789,1.089150799213228e+19,1.5475049326068104e+25
1342.0,0.9031573049654865,76969.0200129499,64.72519739918468,2876134786854.018,1073648042.5926647,0.2683583278483574,3710257.184267062,4059.5025109479375,56125697594.54535,1.1475787674614479e+19,1.6305215076592545e+25
1403.0,0.8961859138487405,76969.0200129499,67.66725182642035,2899851651458.207,1082501440.3454783,0.270297683327262,3737070.242971615,4104.768961106236,56751540560.7491,1.2064083326815355e+19,1.7141086862455108e+25
1523.0,0.8808627419401176,76969.0200129499,73.4548998799987,2917330254795.737,1089026123.5231814,0.2718717561968237,3758832.9928727513,4174.561882946851,57716480578.62124,1.323337493284712e+19,1.8802458758153128e+25
1658.7048683089936,0.0,0.0,0.0,2961939050995.4204,1105678384.3772678,0.27572436605140593,3812098.2427561805,4272.204113246824,59066458383.904945,1.457281943137386e+19,2.0705590050826757e+25
1658.7448683089935,0.0,0.0,0.0,2356006592123.885,879486551.7189729,0.2286771083783785,3161634.263564703,4238.375812600524,58598756499.96937,1.4573224353001775e+19,2.0706165378152382e+25
1659.7448683089935,0.0,0.0,0.0,1789905587401.0786,668163619.8423344,0.16642214843632525,2300912.2795173754,3810.8918659509773,52688467086.064644,1.4577320550786363e+19,2.071198540443448e+25
